osmid,name,highway,oneway,reversed,length,geometry,junction,bridge
122077121,توتونچیان,tertiary,False,False,42.794,"LINESTRING (60.820688 34.8101451, 60.8202803 34.8099552)",,
122077121,توتونچیان,tertiary,False,True,63.118,"LINESTRING (60.820688 34.8101451, 60.8212821 34.8104354)",,
553126450,امیر حمزه,residential,False,False,63.219,"LINESTRING (60.820688 34.8101451, 60.8203474 34.8105089, 60.8202828 34.8106049)",,
553126431,,residential,False,False,45.634,"LINESTRING (60.8261851 34.8102091, 60.8264852 34.8105373)",,
553126515,غزالی,tertiary,True,False,56.546,"LINESTRING (60.8261851 34.8102091, 60.825715 34.8105402)",,
553126554,بلوار امام رضا,secondary,True,False,31.68,"LINESTRING (60.8294883 34.8088726, 60.8294879 34.8085877)",,
553126436,,secondary,True,False,26.173000000000002,"LINESTRING (60.8294879 34.8085877, 60.8294572 34.8085288, 60.8294353 34.8084716, 60.8294288 34.8084142, 60.8294278 34.8083605)",roundabout,
553126419,,residential,False,True,119.746,"LINESTRING (60.8249225 34.8147255, 60.824003 34.8154935)",,
553126425,,residential,False,True,126.451,"LINESTRING (60.8249225 34.8147255, 60.8257654 34.8138231)",,
553126477,غولورآباد,residential,False,False,68.825,"LINESTRING (60.8249225 34.8147255, 60.8243886 34.8142885)",,
553126477,غولورآباد,residential,False,True,71.486,"LINESTRING (60.8249225 34.8147255, 60.8255325 34.8151286)",,
553126419,,residential,False,False,119.746,"LINESTRING (60.824003 34.8154935, 60.8249225 34.8147255)",,
553126474,مولانا,residential,False,False,29.282,"LINESTRING (60.824003 34.8154935, 60.8238101 34.8152831)",,
553126474,مولانا,residential,False,True,248.59699999999998,"LINESTRING (60.824003 34.8154935, 60.8241776 34.8156839, 60.8246818 34.8162168, 60.8252263 34.817047, 60.8256575 34.8171842)",,
553126423,الیاس,residential,False,True,72.991,"LINESTRING (60.8259991 34.8140371, 60.8265352 34.8135501)",,
553126424,حسنی,residential,False,True,31.96,"LINESTRING (60.8259991 34.8140371, 60.8257654 34.8138231)",,
553126424,حسنی,residential,False,False,108.065,"LINESTRING (60.8259991 34.8140371, 60.8262992 34.814312, 60.8268423 34.8147175)",,
553126423,الیاس,residential,False,False,72.991,"LINESTRING (60.8265352 34.8135501, 60.8259991 34.8140371)",,
553126554,بلوار امام رضا,secondary,True,False,55.102,"LINESTRING (60.8268423 34.8147175, 60.8270637 34.8142565)",,
553126424,حسنی,residential,False,True,108.065,"LINESTRING (60.8268423 34.8147175, 60.8262992 34.814312, 60.8259991 34.8140371)",,
553126424,حسنی,residential,False,False,31.96,"LINESTRING (60.8257654 34.8138231, 60.8259991 34.8140371)",,
553126425,,residential,False,False,126.451,"LINESTRING (60.8257654 34.8138231, 60.8249225 34.8147255)",,
553126424,حسنی,residential,False,True,179.26,"LINESTRING (60.8257654 34.8138231, 60.8256796 34.8137329, 60.8252451 34.8134884, 60.8243886 34.8142885)",,
553126427,,residential,False,False,50.853,"LINESTRING (60.8250488 34.811605, 60.8247557 34.8112161)",,
