osmid,highway,junction,oneway,reversed,length,geometry,lanes,ref,name,maxspeed
84488767,tertiary,roundabout,True,False,8.735,"LINESTRING (57.4842433 37.5162317, 57.4842402 37.5162056, 57.4842497 37.5161806, 57.4842705 37.5161602)",,,,
383166235,residential,,False,False,143.653,"LINESTRING (57.4868698 37.513547, 57.4883672 37.5140552)",,,,
383166235,residential,,False,True,10.846,"LINESTRING (57.4868698 37.513547, 57.4867593 37.5135042)",,,,
84488700,tertiary,,True,False,144.346,"LINESTRING (57.4868698 37.513547, 57.4868235 37.5135926, 57.4862891 37.5142034, 57.4861644 37.5143438, 57.4859284 37.5146087)",,,,
383166135,trunk,,True,False,148.128,"LINESTRING (57.4887429 37.5139226, 57.4872069 37.5133839)",2,22,شیروان - بجنورد,60
84488767,tertiary,roundabout,True,False,7.261,"LINESTRING (57.4844083 37.516193, 57.4844102 37.5162256, 57.4843928 37.5162552)",,,,
84488725,residential,,False,True,8.022,"LINESTRING (57.4831131 37.5173543, 57.4831966 37.5173829)",,,,
381325472,residential,,False,True,59.206,"LINESTRING (57.4831131 37.5173543, 57.4827405 37.5169114)",,,,
84488748,tertiary,,True,False,117.65100000000001,"LINESTRING (57.4831131 37.5173543, 57.4831992 37.5172382, 57.4834795 37.5169574, 57.4839328 37.5165213)",,,,
383166135,trunk,,True,False,52.046,"LINESTRING (57.4872069 37.5133839, 57.4866647 37.5131992)",2,22,شیروان - بجنورد,60
998389039,tertiary,,True,False,35.122,"LINESTRING (57.4872069 37.5133839, 57.4870071 37.5134568, 57.4868698 37.513547)",,,,
84488692,residential,,False,True,8.129,"LINESTRING (57.4824107 37.5194103, 57.4824791 37.5194593)",,,,
84488748,tertiary,,True,False,237.728,"LINESTRING (57.4824107 37.5194103, 57.4824737 37.5192795, 57.482644 37.5184732, 57.4828117 37.5179882, 57.4831131 37.5173543)",,,,
84488748,tertiary,,True,False,78.536,"LINESTRING (57.4819171 37.5199858, 57.4819306 37.5199209, 57.4819775 37.519839, 57.4821424 37.5196475, 57.4824107 37.5194103)",,,,
84488725,residential,,False,False,8.022,"LINESTRING (57.4831966 37.5173829, 57.4831131 37.5173543)",,,,
84488752,tertiary,,True,False,240.50300000000001,"LINESTRING (57.4831966 37.5173829, 57.4829471 37.517918, 57.4827446 37.5184775, 57.4826373 37.5188934, 57.4825636 37.5193263, 57.4824791 37.5194593)",,,,
383166235,residential,,False,False,10.846,"LINESTRING (57.4867593 37.5135042, 57.4868698 37.513547)",,,,
"[998389040, 84488804]",tertiary,,True,False,36.055,"LINESTRING (57.4867593 37.5135042, 57.4867759 37.5134411, 57.4867652 37.5133736, 57.4866647 37.5131992)",,,,
84488692,residential,,False,False,8.129,"LINESTRING (57.4824791 37.5194593, 57.4824107 37.5194103)",,,,
84488752,tertiary,,True,False,77.365,"LINESTRING (57.4824791 37.5194593, 57.4822108 37.5196922, 57.4819949 37.5199483, 57.4819171 37.5199858)",,,,
