osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,junction
200341931,True,پیرانشهر,secondary,False,51.01599999999999,"LINESTRING (45.3826202 36.9533971, 45.3828959 36.9534214, 45.3829806 36.9534264, 45.3830543 36.9534296, 45.3831917 36.9534193)",,,,
200342115,True,پاسداران ۱,secondary,False,96.152,"LINESTRING (45.3855983 36.9562511, 45.3846854 36.9567154)",2,30,,
263342750,True,خیابان پاسداران ۲,secondary,False,105.386,"LINESTRING (45.3855983 36.9562511, 45.3867097 36.9559202)",2,30,,
263342751,True,خیابان امام خمینی,secondary,False,77.574,"LINESTRING (45.3855983 36.9562511, 45.3860925 36.9568262)",2,40,permissive,
200341929,False,خیابان رسالت,secondary,False,13.607,"LINESTRING (45.3831917 36.9534193, 45.3832567 36.9535301)",2,40,,
200342125,False,رسالت,secondary,False,82.77799999999999,"LINESTRING (45.3831917 36.9534193, 45.3830476 36.9532565, 45.3825975 36.952847)",2,40,,
200341929,False,خیابان رسالت,secondary,True,13.607,"LINESTRING (45.3832567 36.9535301, 45.3831917 36.9534193)",2,40,,
200341929,False,خیابان رسالت,secondary,False,34.096,"LINESTRING (45.3832567 36.9535301, 45.3833085 36.953587, 45.3834808 36.953779)",2,40,,
200341936,True,پیرانشهر,secondary,False,50.177,"LINESTRING (45.3832567 36.9535301, 45.3831764 36.9535185, 45.3831173 36.9535105, 45.3830342 36.9534992, 45.3827036 36.9534398)",,,,
200342115,True,پاسداران ۱,secondary,False,13.145,"LINESTRING (45.3825397 36.9577967, 45.3824163 36.9578619)",2,30,,
200342120,False,خیابان شهید یدالله خوش نیت,residential,False,49.695,"LINESTRING (45.3825397 36.9577967, 45.3823024 36.957392)",2,30,,
200342122,False,قالا باشی,secondary,False,47.167,"LINESTRING (45.3867097 36.9559202, 45.3866839 36.9557087, 45.3866679 36.9554974)",2,50,,
200342122,False,قالا باشی,secondary,True,189.02400000000003,"LINESTRING (45.3867097 36.9559202, 45.3868218 36.9561655, 45.3868937 36.9563042, 45.3869717 36.9564102, 45.3870468 36.9564949, 45.387176 36.9566202, 45.3873601 36.9567024, 45.3876821 36.9567769, 45.3879761 36.956816, 45.3880843 36.9568192, 45.3882552 36.9567965)",2,50,,
200341926,True,میدان شهدا,secondary,False,16.834,"LINESTRING (45.3842122 36.9548488, 45.3842021 36.9548282, 45.3841969 36.9548066, 45.3841966 36.9547845, 45.3842073 36.9547489, 45.3842183 36.9547344, 45.3842309 36.9547175, 45.3842421 36.9547096)",,,,roundabout
200342118,False,خیابان شهید باهنر,secondary,False,71.831,"LINESTRING (45.3842122 36.9548488, 45.3839126 36.9548925, 45.383416 36.9549605)",2,30,,
753206286,False,کوچه شهید علی باقری,residential,True,96.116,"LINESTRING (45.390037 36.9568869, 45.3901977 36.9577417)",2,30,,
1224958543,False,مسافری,secondary,False,4.407,"LINESTRING (45.390037 36.9568869, 45.3900808 36.9568683)",2,40,,
1224958543,False,مسافری,secondary,True,29.353,"LINESTRING (45.390037 36.9568869, 45.3897578 36.957028)",2,40,,
200342139,False,سربازان گمنام,tertiary,True,32.918,"LINESTRING (45.3926955 36.9568209, 45.3928272 36.9570976)",2,30,,
263345896,False,مسافری,secondary,False,57.253,"LINESTRING (45.3926955 36.9568209, 45.3933391 36.9568456)",2,40,,
263345896,False,مسافری,secondary,True,41.027,"LINESTRING (45.3926955 36.9568209, 45.3922343 36.9568032)",2,40,,
776412308,False,چمران دو,tertiary,False,57.65,"LINESTRING (45.3926955 36.9568209, 45.3924798 36.9563849, 45.392455 36.9563394)",2,30,,
200342124,False,,tertiary,False,6.913,"LINESTRING (45.3867281 36.95476, 45.3866817 36.9547101)",,,,
200342122,False,قالا باشی,secondary,False,108.965,"LINESTRING (45.3867281 36.95476, 45.3868086 36.9545645, 45.3869541 36.9544161, 45.38711 36.9543011, 45.3873512 36.9541218, 45.3875078 36.9540341)",2,50,,
200342122,False,قالا باشی,secondary,True,82.35000000000001,"LINESTRING (45.3867281 36.95476, 45.3867014 36.9549726, 45.3866596 36.9552834, 45.386671 36.9554726, 45.3866679 36.9554974)",2,50,,
200342122,False,قالا باشی,secondary,False,36.11,"LINESTRING (45.3875078 36.9540341, 45.3879014 36.9539533)",2,50,,
200342122,False,قالا باشی,secondary,True,108.96499999999999,"LINESTRING (45.3875078 36.9540341, 45.3873512 36.9541218, 45.38711 36.9543011, 45.3869541 36.9544161, 45.3868086 36.9545645, 45.3867281 36.95476)",2,50,,
1195651390,False,,residential,False,113.98199999999999,"LINESTRING (45.3875078 36.9540341, 45.3873755 36.9538207, 45.3872967 36.9536565, 45.3872829 36.9536386, 45.387252 36.9536242, 45.3872126 36.9536276, 45.3870594 36.9536727, 45.3870456 36.9536739, 45.3870334 36.9536681, 45.3870203 36.9536634, 45.3870059 36.9536641, 45.3868403 36.9537275, 45.3867069 36.9537687, 45.3865911 36.9537762)",,,,
200342122,False,قالا باشی,secondary,True,36.11,"LINESTRING (45.3879014 36.9539533, 45.3875078 36.9540341)",2,50,,
200342122,False,قالا باشی,secondary,False,76.426,"LINESTRING (45.3879014 36.9539533, 45.3880862 36.953971, 45.3883108 36.9540092, 45.3885443 36.954069, 45.3887173 36.9541478)",2,50,,
262374080,False,,residential,False,43.074,"LINESTRING (45.3879014 36.9539533, 45.3879375 36.9538163, 45.3881427 36.9536311)",,30,,
200342122,False,قالا باشی,secondary,False,55.336,"LINESTRING (45.3887173 36.9541478, 45.3888824 36.9542682, 45.389007 36.9543757, 45.3891251 36.9545201)",2,50,,
200342122,False,قالا باشی,secondary,True,76.426,"LINESTRING (45.3887173 36.9541478, 45.3885443 36.954069, 45.3883108 36.9540092, 45.3880862 36.953971, 45.3879014 36.9539533)",2,50,,
