osmid,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,access
180330970,65,میدان انار,trunk,20,roundabout,True,False,14.897,"LINESTRING (50.3703042 35.0186877, 50.3702325 35.0186689, 50.3701608 35.0186267)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,30.214999999999996,"LINESTRING (50.3705624 35.0185478, 50.3705163 35.0186126, 50.3704504 35.0186595, 50.3703787 35.0186854, 50.3703042 35.0186877)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,10.341,"LINESTRING (50.3705995 35.0184599, 50.3705624 35.0185478)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,36.12,"LINESTRING (50.3701608 35.0186267, 50.3701034 35.0185633, 50.3700604 35.0184811, 50.3700375 35.0183942, 50.3700334 35.0183267)",
"[180330979, 60725517]",,امام خمینی,secondary,"['20', '40']",,True,False,82.84700000000001,"LINESTRING (50.3701608 35.0186267, 50.3700482 35.0186034, 50.3698953 35.0185972, 50.3696235 35.0186298, 50.3692717 35.018712)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,2.95,"LINESTRING (50.3700334 35.0183267, 50.3700318 35.0183002)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,28.911,"LINESTRING (50.3700318 35.0183002, 50.3700432 35.018211, 50.3700776 35.0181241, 50.3701264 35.018056)",
180338247,,بلوار قائم,tertiary,40,,True,False,64.837,"LINESTRING (50.3700318 35.0183002, 50.3696086 35.0180344, 50.3694667 35.0179455)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,3.355,"LINESTRING (50.3701264 35.018056, 50.3701542 35.0180362)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,33.419000000000004,"LINESTRING (50.3701542 35.0180362, 50.3701923 35.0180091, 50.370264 35.0179832, 50.3703386 35.0179809, 50.3704103 35.0179997, 50.3704819 35.0180419)",
180330975,65,بلوار سید اسحاق,trunk,60,,True,False,56.349999999999994,"LINESTRING (50.3701542 35.0180362, 50.3702083 35.0178674, 50.3702271 35.0177327, 50.3702435 35.0175365)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,8.776,"LINESTRING (50.3704819 35.0180419, 50.3705393 35.0181053)",
180330970,65,میدان انار,trunk,20,roundabout,True,False,40.504000000000005,"LINESTRING (50.3705393 35.0181053, 50.3705823 35.0181899, 50.3706052 35.0182768, 50.370611 35.0183707, 50.3705995 35.0184599)",
180330995,,,secondary,,,True,False,38.664,"LINESTRING (50.3659955 35.0230864, 50.3657749 35.0227893)",
180330999,,شهید اسدی (هلالی),tertiary,30,,True,False,128.941,"LINESTRING (50.3644067 35.0183884, 50.3645094 35.0186353, 50.3645936 35.0188818, 50.3647002 35.019194, 50.3647409 35.0192889, 50.3648461 35.0194892)",
483204497,,شهید اسدی ۷,residential,,,False,True,28.742,"LINESTRING (50.3644067 35.0183884, 50.3645918 35.0183952, 50.364722 35.0184)",
180330999,,شهید اسدی (هلالی),tertiary,30,,True,False,57.49999999999999,"LINESTRING (50.3640449 35.0178451, 50.3641923 35.0180281, 50.3642521 35.0181177, 50.3643107 35.0182055, 50.3643537 35.0182945)",
590051314,,شهید اسدی ۶,residential,,,False,False,68.574,"LINESTRING (50.3640449 35.0178451, 50.3639956 35.0179172, 50.3640115 35.0184511)",
180330999,,شهید اسدی (هلالی),tertiary,30,,True,False,11.511,"LINESTRING (50.3638282 35.0176275, 50.3639106 35.017706)",
1115290388,,شهید اسدی ۳,residential,,,False,True,54.253,"LINESTRING (50.3634478 35.017387, 50.3640433 35.0173727)",
180330999,,شهید اسدی (هلالی),tertiary,30,,True,False,43.831,"LINESTRING (50.3634478 35.017387, 50.3636562 35.0175049, 50.3637743 35.0175891, 50.3638282 35.0176275)",
180330994,,بلوار شهید مطهری,secondary,,,True,False,17.215,"LINESTRING (50.3660243 35.022742, 50.3660382 35.0228964)",
180330991,,میدان مدرس,secondary,20,roundabout,True,False,26.424,"LINESTRING (50.3660243 35.022742, 50.3659894 35.02278, 50.3659408 35.0228059, 50.3658842 35.0228166, 50.3658267 35.0228109, 50.3657749 35.0227893)",
180330991,,میدان مدرس,secondary,20,roundabout,True,False,10.091,"LINESTRING (50.3657749 35.0227893, 50.3657353 35.0227546, 50.3657146 35.0227148)",
180330991,,میدان مدرس,secondary,20,roundabout,True,False,43.025,"LINESTRING (50.3657146 35.0227148, 50.3656322 35.0223338)",
180375995,,بلوار تعاون,tertiary,30,,False,False,142.12199999999999,"LINESTRING (50.3657146 35.0227148, 50.3651735 35.0229088, 50.364829 35.0230524, 50.3646718 35.0231415, 50.364418 35.0233865)",
180330991,,میدان مدرس,secondary,20,roundabout,True,False,23.273,"LINESTRING (50.3656072 35.0221779, 50.3656392 35.0221326, 50.3656945 35.0221065, 50.3657584 35.0221065, 50.3658137 35.0221328)",
180330992,,بلوار شهید مطهری,secondary,,,True,False,78.093,"LINESTRING (50.3656072 35.0221779, 50.3655883 35.022106, 50.3655486 35.0219543, 50.3653963 35.0214974)",
