osmid,oneway,highway,junction,reversed,length,geometry,name,maxspeed,lanes
665453272,True,secondary,roundabout,False,6.433,"LINESTRING (52.4923035 33.4436318, 52.4923386 33.4436282, 52.4923723 33.4436318)",,,
222703397,True,secondary,,False,80.89999999999999,"LINESTRING (52.4922141 33.4437174, 52.4920128 33.4436416, 52.4914766 33.4434911, 52.4913957 33.4434684)",جانباز,60,
665453272,True,secondary,roundabout,False,13.175,"LINESTRING (52.4922141 33.4437174, 52.4922273 33.4436893, 52.4922434 33.4436648, 52.4922698 33.4436465, 52.4923035 33.4436318)",,,
222703426,False,tertiary,,True,86.838,"LINESTRING (52.4966396 33.4451906, 52.4962269 33.4454612, 52.4959293 33.4456978)",خیابان منتظری,,
541639927,True,secondary,roundabout,False,35.513,"LINESTRING (52.4966396 33.4451906, 52.4965855 33.4451624, 52.4965418 33.4451236, 52.4965114 33.4450768, 52.4964965 33.4450251, 52.4964979 33.4449719, 52.4965156 33.4449207)",میدان جمهوری اسلامی,,
222703403,True,secondary,,False,121.682,"LINESTRING (52.4968034 33.4448032, 52.4969941 33.4447167, 52.4973617 33.4445085, 52.4978777 33.4441785)",امام رضا,,
541639927,True,secondary,roundabout,False,21.316,"LINESTRING (52.4968034 33.4448032, 52.4968737 33.4448285, 52.4969314 33.4448704, 52.496971 33.4449252)",میدان جمهوری اسلامی,,
541639927,True,secondary,roundabout,False,28.442,"LINESTRING (52.496971 33.4449252, 52.4969869 33.4449746, 52.4969877 33.4450257, 52.4969735 33.4450755, 52.4969449 33.4451208, 52.4969039 33.4451588)",میدان جمهوری اسلامی,,
665453272,True,secondary,roundabout,False,23.142,"LINESTRING (52.49245 33.4437748, 52.4924324 33.4438005, 52.4924075 33.4438188, 52.4923723 33.4438335, 52.4923386 33.443836, 52.4923035 33.4438335, 52.4922698 33.4438188, 52.4922434 33.4438005)",,,
222703422,False,tertiary,,True,178.478,"LINESTRING (52.4922434 33.4438005, 52.4920398 33.4439435, 52.4908187 33.4448787)",طالقانی,,
