osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,maxspeed,access
4750984,True,2,سبزه میدان,secondary,roundabout,False,78.363,"LINESTRING (49.5807728 37.2758685, 49.5808517 37.275957, 49.5809462 37.2761833, 49.581088 37.2765228)",,
83905471,True,,استادسرا,tertiary,,False,47.163,"LINESTRING (49.5804529 37.2778501, 49.5806084 37.2782558)",,
4750984,True,2,سبزه میدان,secondary,roundabout,False,49.115,"LINESTRING (49.5804529 37.2778501, 49.5803945 37.2778271, 49.5803714 37.2778115, 49.5803448 37.2777935, 49.5803069 37.2777513, 49.5801866 37.2774817)",,
83905471,True,,استادسرا,tertiary,,False,89.721,"LINESTRING (49.5792657 37.279802, 49.5791935 37.2800173, 49.5791652 37.2803044, 49.5791163 37.2805979)",,
400460167,True,,آیت الله طالقانی,secondary,,False,11.875,"LINESTRING (49.5801866 37.2774817, 49.5800575 37.2774525)",,
4750984,True,2,سبزه میدان,secondary,roundabout,False,27.653,"LINESTRING (49.5801866 37.2774817, 49.5801595 37.2774098, 49.5800968 37.2772435)",,
83905471,True,,استادسرا,tertiary,,False,62.119,"LINESTRING (49.5806084 37.2782558, 49.5803146 37.2785634, 49.5802476 37.2786967, 49.5802258 37.2787196)",,
"[554676972, 554676927]",False,,مهتاب,residential,,False,142.731,"LINESTRING (49.5806084 37.2782558, 49.5812123 37.2790824, 49.5811838 37.2794091)",30,
83905471,True,,استادسرا,tertiary,,False,55.709,"LINESTRING (49.5797889 37.2790289, 49.5796703 37.2792462, 49.5795569 37.2794944)",,
400460170,False,,استادسرا,tertiary,,True,44.636,"LINESTRING (49.5828244 37.2814892, 49.5823199 37.2814909)",,
272475643,True,,سهیل ۱,tertiary,,False,134.21699999999998,"LINESTRING (49.5828244 37.2814892, 49.5828262 37.282089, 49.5828152 37.282328, 49.5826916 37.2826827)",30,
"[255096378, 400460166]",True,,"['اقتصاد', 'استادسرا']",tertiary,,False,156.766,"LINESTRING (49.5828244 37.2814892, 49.5830816 37.2814993, 49.5831282 37.2815011, 49.5837312 37.2815247, 49.5841094 37.2815367, 49.5844917 37.2815444, 49.584591 37.2815225)",,
400460170,False,,استادسرا,tertiary,,False,15.703,"LINESTRING (49.5808153 37.2811633, 49.5809785 37.2812188)",,
400460170,False,,استادسرا,tertiary,,True,78.634,"LINESTRING (49.5808153 37.2811633, 49.580011 37.2808624)",,
1104563966,True,,دی,residential,,False,33.593,"LINESTRING (49.5808153 37.2811633, 49.5807485 37.2808659)",30,
83905471,True,,استادسرا,tertiary,,False,42.822,"LINESTRING (49.5795569 37.2794944, 49.5792657 37.279802)",,
