osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,tunnel,junction
941389338,شهید ابوتراب کارچانی,residential,False,False,212.548,"LINESTRING (49.9342562 34.1047984, 49.9352027 34.1032958, 49.9353238 34.1031036)",,,,,
176641852,بزرگراه قم - اراک,trunk,True,False,184.944,"LINESTRING (49.9306279 34.102791, 49.9289773 34.1018432)",2,56,50,,
343885043,,tertiary,True,False,83.86900000000001,"LINESTRING (49.9306279 34.102791, 49.9303441 34.1026912, 49.9302395 34.102668, 49.930142 34.1026603, 49.9300678 34.1026747, 49.9299766 34.1026992, 49.9298801 34.1027535, 49.9298059 34.102818)",,,,,
889158799,,tertiary,True,False,28.988,"LINESTRING (49.9298059 34.102818, 49.9297515 34.1028937, 49.9297198 34.1030643)",,,,,
889158800,,tertiary_link,True,False,15.939,"LINESTRING (49.9298059 34.102818, 49.9297366 34.1028179, 49.9296923 34.1027979, 49.9296571 34.1027647)",,,,,
889158801,,tertiary,True,False,33.811,"LINESTRING (49.9297198 34.1030643, 49.9296571 34.1027647)",,,,,
"[463719047, 343885045, 343885047]",شهدا,tertiary,False,True,291.983,"LINESTRING (49.9297198 34.1030643, 49.929775 34.1031914, 49.9298743 34.1032919, 49.9300173 34.1033586, 49.9301602 34.1033729, 49.930311 34.1033467, 49.9304335 34.1032931, 49.9305379 34.1032124, 49.9306925 34.1030241, 49.9309634 34.1026717, 49.9313003 34.1017841, 49.9313349 34.1016171)",,,,yes,
"[889158801, 343885044]",,tertiary,True,False,121.85300000000001,"LINESTRING (49.9296571 34.1027647, 49.9295944 34.102577, 49.9295144 34.1024242, 49.9293305 34.1021753, 49.9291684 34.1020116, 49.9289773 34.1018432)",,,,,
563002996,بزرگراه اراک - قم,trunk,True,False,56.009,"LINESTRING (49.9303392 34.1024769, 49.9308396 34.1027633)",2,56,50,,
343885048,,trunk_link,True,False,66.374,"LINESTRING (49.9303392 34.1024769, 49.9305137 34.1025006, 49.9306097 34.1025037, 49.9306911 34.1024928, 49.9307683 34.1024655, 49.9308354 34.102429, 49.9308942 34.1023797, 49.9309692 34.1023047)",,,,,
343885048,,trunk_link,True,False,52.75200000000001,"LINESTRING (49.9309692 34.1023047, 49.9309154 34.102427, 49.9308832 34.1025037, 49.9308604 34.1025714, 49.9308483 34.1026491, 49.9308396 34.1027633)",,,,,
908988633,شهدا,tertiary,False,True,84.49199999999999,"LINESTRING (49.9309692 34.1023047, 49.931193 34.101763, 49.9313349 34.1016171)",,,,,
463719047,شهدا,tertiary,False,True,56.232,"LINESTRING (49.9313349 34.1016171, 49.9315253 34.1011366)",,,,,
