osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,name,junction,tunnel
562258260,residential,False,False,38.288,"LINESTRING (53.1892047 30.6125173, 53.1890583 30.6125375, 53.1889558 30.6125237, 53.1888409 30.6124433)",,,,,,
"[372275008, 372275009, 852082751]",trunk,True,False,216.348,"LINESTRING (53.1892047 30.6125173, 53.189209 30.6120386, 53.1892109 30.611831, 53.1892223 30.6105717)",65,110,yes,,,
803015223,residential,False,True,65.784,"LINESTRING (53.1893296 30.6149523, 53.1892425 30.6148322, 53.1890921 30.6146809, 53.1888674 30.614521)",,,,,,
852082751,trunk,True,False,251.905,"LINESTRING (53.1893296 30.6149523, 53.1892359 30.6133737, 53.1891979 30.6126897)",65,110,,,,
82251913,trunk,True,False,34.665,"LINESTRING (53.1893939 30.6091839, 53.1893795 30.6094954)",65,110,,شیراز - اصفهان,,
573309449,trunk_link,True,False,56.582,"LINESTRING (53.1893939 30.6091839, 53.1894416 30.6092581, 53.1895111 30.6093182, 53.1895972 30.6093595, 53.1896931 30.609379, 53.1897916 30.609375, 53.1898849 30.6093479)",,,,,,
644677298,secondary,True,False,7.994,"LINESTRING (53.1957984 30.6108194, 53.1957522 30.6107595)",,,,بلوار امام خمینی,,
786214501,tertiary,True,False,128.977,"LINESTRING (53.1957984 30.6108194, 53.1946598 30.61144)",,,,ولی عصر,,
786214500,secondary,True,False,16.759,"LINESTRING (53.1937309 30.6119888, 53.1936993 30.6120311, 53.1936474 30.612054, 53.1935891 30.6120516)",,,,,roundabout,
786214500,secondary,True,False,11.174,"LINESTRING (53.1935996 30.6118643, 53.1936579 30.6118667, 53.193707 30.6118939)",,,,,roundabout,
301693673,tertiary,False,False,63.532000000000004,"LINESTRING (53.1931444 30.6125792, 53.1930033 30.6129405, 53.1929376 30.6131221)",,,,خیابان ولی عصر,,
301693673,tertiary,False,True,72.894,"LINESTRING (53.1931444 30.6125792, 53.193251 30.6124016, 53.1933885 30.612243, 53.1935891 30.6120516)",,,,خیابان ولی عصر,,
562264352,residential,False,False,236.52699999999996,"LINESTRING (53.1931444 30.6125792, 53.1926568 30.6121618, 53.1923245 30.6118395, 53.1920828 30.6115763, 53.1920271 30.6115574, 53.1919752 30.6115528, 53.1919324 30.6115763, 53.1914454 30.612045)",,,,,,
301693673,tertiary,False,False,24.58,"LINESTRING (53.1929376 30.6131221, 53.1928599 30.6133328)",,,,خیابان ولی عصر,,
562264350,residential,False,True,76.386,"LINESTRING (53.1929376 30.6131221, 53.1923093 30.6126984)",,,,,,
301693673,tertiary,False,True,63.532000000000004,"LINESTRING (53.1929376 30.6131221, 53.1930033 30.6129405, 53.1931444 30.6125792)",,,,خیابان ولی عصر,,
301693673,tertiary,False,False,18.529,"LINESTRING (53.1927487 30.6135388, 53.1926493 30.6136818)",,,,خیابان ولی عصر,,
301693673,tertiary,False,True,25.257,"LINESTRING (53.1927487 30.6135388, 53.1928599 30.6133328)",,,,خیابان ولی عصر,,
562264387,residential,False,False,93.519,"LINESTRING (53.1927487 30.6135388, 53.192368 30.6132633, 53.1919939 30.6130047)",,,,ولیعصر نهم,,
301693673,tertiary,False,False,42.509,"LINESTRING (53.1923033 30.6141132, 53.1920338 30.6144171)",,,,خیابان ولی عصر,,
301693673,tertiary,False,True,36.241,"LINESTRING (53.1923033 30.6141132, 53.1925273 30.6138504)",,,,خیابان ولی عصر,,
562264349,residential,False,False,103.019,"LINESTRING (53.1923033 30.6141132, 53.191471 30.6135256)",,,,,,
301693673,tertiary,False,True,40.294,"LINESTRING (53.1914607 30.6150082, 53.1917247 30.6147259)",,,,خیابان ولی عصر,,
573289539,residential,False,True,75.575,"LINESTRING (53.1910157 30.6108514, 53.190634 30.6114464)",,,,,,
"[674975929, 562258229, 674975918]",secondary,True,False,451.355,"LINESTRING (53.1910157 30.6108514, 53.1906826 30.6107216, 53.1895455 30.6102081, 53.1890278 30.6099643, 53.1882656 30.6095961, 53.187248 30.6090913, 53.1868656 30.6089262)",,,,بلوار خرمشهر,,
674975932,secondary,True,False,45.936,"LINESTRING (53.1910157 30.6108514, 53.1908492 30.6108503, 53.1907033 30.6107959, 53.1905684 30.6107311)",,,,جاده اقلید - صفاشهر,,
562260048,residential,False,True,96.964,"LINESTRING (53.1932161 30.6117492, 53.1937772 30.6110231)",,,,,,
1265777717,secondary,True,False,38.868,"LINESTRING (53.1932161 30.6117492, 53.1935996 30.6118643)",,,,بلوار خرمشهر,,
562258261,residential,False,False,114.521,"LINESTRING (53.191156 30.6152169, 53.1909723 30.6141992)",,,,,,
562264377,residential,False,True,53.858,"LINESTRING (53.191156 30.6152169, 53.1906716 30.6154635)",,,,,,
301693799,tertiary,True,False,37.713,"LINESTRING (53.191156 30.6152169, 53.1912037 30.6151602, 53.1912646 30.6151132, 53.1914607 30.6150082)",,,,خیابان ولی عصر,,
301693673,tertiary,False,True,18.529,"LINESTRING (53.1926493 30.6136818, 53.1927487 30.6135388)",,,,خیابان ولی عصر,,
301693673,tertiary,False,False,22.095000000000002,"LINESTRING (53.1926493 30.6136818, 53.1925627 30.6138063, 53.1925273 30.6138504)",,,,خیابان ولی عصر,,
372275006,residential,False,False,73.922,"LINESTRING (53.1926493 30.6136818, 53.1927153 30.6137999, 53.1928099 30.6143274)",,,,کوچه 8,,
301693673,tertiary,False,False,40.294,"LINESTRING (53.1917247 30.6147259, 53.1914607 30.6150082)",,,,خیابان ولی عصر,,
1026017148,residential,False,True,92.813,"LINESTRING (53.1917247 30.6147259, 53.1909723 30.6141992)",,,,,,
301693673,tertiary,False,True,45.333,"LINESTRING (53.1917247 30.6147259, 53.1918908 30.6145672, 53.1920338 30.6144171)",,,,خیابان ولی عصر,,
