osmid,oneway,ref,name,highway,maxspeed,reversed,length,junction,geometry,bridge
121940840,True,18,باهنر,primary,60,False,10.733,,"LINESTRING (54.4610885 37.0091076, 54.461091 37.0090111)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,20.776,roundabout,"LINESTRING (54.4610885 37.0091076, 54.4611818 37.0091017, 54.4613179 37.0091292)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,24.96,roundabout,"LINESTRING (54.4613179 37.0091292, 54.4614442 37.0092091, 54.4615054 37.0092915)",
229864436,True,18,مصطفی خمینی,primary,,False,22.19,,"LINESTRING (54.4615054 37.0092915, 54.461755 37.0092816)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,24.329,roundabout,"LINESTRING (54.4615054 37.0092915, 54.4615225 37.0094042, 54.4614914 37.0095065)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,32.032000000000004,roundabout,"LINESTRING (54.4614914 37.0095065, 54.4614304 37.0095811, 54.4613431 37.0096374, 54.4612136 37.009673)",
"[383773879, 383751775]",False,,"['مختومقلی یکم', 'خزانه یکم']",residential,,"[False, True]",189.949,,"LINESTRING (54.4614914 37.0095065, 54.4615057 37.0102499, 54.4627105 37.0101778)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,9.105,roundabout,"LINESTRING (54.4609457 37.0096173, 54.4608737 37.009559)",
121940821,True,,باهنر,primary,,False,132.123,,"LINESTRING (54.4612136 37.009673, 54.4610846 37.0098569, 54.4607946 37.0108065)",
134994155,True,18,میدان مختومقلی فراغی,primary,,False,25.065,roundabout,"LINESTRING (54.4612136 37.009673, 54.4610842 37.0096688, 54.4609457 37.0096173)",
387308403,False,,ارمک چوبین,residential,,True,168.802,,"LINESTRING (54.4601907 37.0123515, 54.4599011 37.0123077, 54.4595673 37.0122696, 54.459314 37.0122815, 54.4583036 37.0123624)",
"[1236220088, 211770480, 211770476]",True,,باهنر,primary,,False,172.35799999999998,,"LINESTRING (54.4601907 37.0123515, 54.4603355 37.0120102, 54.4605211 37.0114607, 54.4606638 37.0109164, 54.460683 37.0108538)",yes
