osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
575103701,True,2,79,بلوار امام رضا,trunk,50,False,27.498,"LINESTRING (52.7766431 35.7601405, 52.7763544 35.7600613)",,
224142285,True,,,,trunk_link,,False,20.618,"LINESTRING (52.7766431 35.7601405, 52.7766419 35.7601096, 52.77665 35.7600794, 52.7766669 35.7600517, 52.7766914 35.7600281, 52.7767223 35.76001, 52.7767576 35.7599984)",,
203504886,True,3,79,میدان امام خمینی,trunk,50,False,11.455,"LINESTRING (52.7763544 35.7600613, 52.7762331 35.7600309)",roundabout,
224142345,True,2,79,بسیج,trunk,50,False,13.564,"LINESTRING (52.7753948 35.7595998, 52.775281 35.7595201)",,
203504886,True,3,79,میدان امام خمینی,trunk,50,False,34.277,"LINESTRING (52.7753948 35.7595998, 52.7753651 35.7595143, 52.7753789 35.7594359, 52.7754193 35.7593904, 52.7755148 35.7593576)",roundabout,
224142345,True,2,79,بسیج,trunk,50,False,89.625,"LINESTRING (52.7751236 35.75941, 52.7748126 35.7592317, 52.7742836 35.7589812)",,
224142111,True,,,سردار شهید سلیمانی,secondary,,False,35.185,"LINESTRING (52.7683688 35.7563238, 52.7681549 35.756312, 52.7679957 35.756372)",,
224142345,True,2,79,بسیج,trunk,50,False,69.521,"LINESTRING (52.7683688 35.7563238, 52.7681767 35.7562571, 52.7676605 35.7560778)",,
224142344,True,2,79,بسیج,trunk,50,False,31.731,"LINESTRING (52.7749015 35.7591427, 52.7752136 35.7592742)",,
224142211,False,,,بن بست سادات,residential,,True,71.931,"LINESTRING (52.7749015 35.7591427, 52.7750313 35.7587255, 52.7749766 35.7585135)",,
224142344,True,2,79,بسیج,trunk,50,False,28.717,"LINESTRING (52.7752136 35.7592742, 52.7755148 35.7593576)",,
203504887,True,,,,trunk_link,,False,20.036,"LINESTRING (52.7752136 35.7592742, 52.7752269 35.759318, 52.7752133 35.7593616, 52.7751759 35.7593949, 52.7751236 35.75941)",,
224142301,True,,,خیابان پاسداران,secondary,,False,22.759,"LINESTRING (52.7755148 35.7593576, 52.7756448 35.7591822)",,
203504886,True,3,79,میدان امام خمینی,trunk,50,False,83.306,"LINESTRING (52.7755148 35.7593576, 52.7758249 35.759425, 52.7760933 35.7595229, 52.7763455 35.7596663)",roundabout,
203504886,True,3,79,میدان امام خمینی,trunk,50,False,27.411,"LINESTRING (52.7763455 35.7596663, 52.7765524 35.7598468)",roundabout,
224142346,True,2,79,بلوار امام رضا,trunk,50,False,25.04,"LINESTRING (52.7765524 35.7598468, 52.7767576 35.7599984)",,
203504886,True,3,79,میدان امام خمینی,trunk,50,False,35.647999999999996,"LINESTRING (52.7765524 35.7598468, 52.7765669 35.7599208, 52.7765404 35.7599954, 52.7764603 35.7600419, 52.7763544 35.7600613)",roundabout,
224142124,True,,,خیابان پاسداران,secondary,,False,32.013000000000005,"LINESTRING (52.7736621 35.7518144, 52.773585 35.7516216, 52.7735422 35.7515438)",,
1079718167,True,,,ولیعصر,residential,,False,117.793,"LINESTRING (52.7736621 35.7518144, 52.7740546 35.751991, 52.7741641 35.7520095, 52.7744894 35.7520213, 52.7747114 35.752061, 52.774903 35.7520667)",,
224142108,False,,,,residential,,False,11.734,"LINESTRING (52.774903 35.7520667, 52.7750328 35.7520604)",,
