osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry,width,bridge
54740153,True,2,شهید رجایی,tertiary,70,False,84.929,,"LINESTRING (58.2902764 35.2529691, 58.289522 35.2534206)",,
54740157,True,2,میدان انقلاب,tertiary,40,False,8.381,roundabout,"LINESTRING (58.2902764 35.2529691, 58.2902341 35.2529216, 58.2902267 35.2529061)",,
115878158,False,,ارشاد,tertiary,,False,77.555,,"LINESTRING (58.2905174 35.252752, 58.2913076 35.2524873)",,
54740157,True,2,میدان انقلاب,tertiary,40,False,38.216,roundabout,"LINESTRING (58.2905174 35.252752, 58.2905614 35.2528015, 58.2905767 35.2528561, 58.2905654 35.2529123, 58.2905287 35.2529607, 58.2904722 35.252994, 58.2904059 35.2530072)",,
115878344,False,,,tertiary,,False,85.965,,"LINESTRING (58.2904059 35.2530072, 58.2906983 35.2537425)",,
54740157,True,2,میدان انقلاب,tertiary,40,False,12.745000000000001,roundabout,"LINESTRING (58.2904059 35.2530072, 58.2903335 35.2529978, 58.2902764 35.2529691)",,
115877954,False,2,خیابان شهید باهنر,secondary,70,False,58.573,,"LINESTRING (58.2876583 35.2571881, 58.2879908 35.2576395)",,
115877954,False,2,خیابان شهید باهنر,secondary,70,True,54.282,,"LINESTRING (58.2876583 35.2571881, 58.2873429 35.2567734)",,
"[256007236, 256007238]",False,,باهنر ۶,residential,30,True,141.074,,"LINESTRING (58.2876583 35.2571881, 58.2869752 35.2574944, 58.2868654 35.2573514, 58.2867277 35.257155, 58.2865899 35.2569644, 58.2865802 35.2569506)",,
"[543352272, 543352259, 256002740]",False,,"['باهنر ۱', 'باهنر ۷']",residential,30,True,340.386,,"LINESTRING (58.2876583 35.2571881, 58.2879219 35.2570577, 58.2881874 35.2569161, 58.2884422 35.2567629, 58.2883083 35.2566028, 58.2881086 35.2563606, 58.2879401 35.256152, 58.2877809 35.2559506, 58.2876095 35.2557306, 58.2873946 35.2554567, 58.2866239 35.2558279)",,
54740155,False,2,خیابان انقلاب,tertiary,70,False,68.072,,"LINESTRING (58.2903549 35.2527186, 58.2901161 35.2521383)",,
54740157,True,2,میدان انقلاب,tertiary,40,False,15.751000000000001,roundabout,"LINESTRING (58.2903549 35.2527186, 58.290391 35.2527145, 58.290461 35.2527239, 58.2905174 35.252752)",,
115878041,False,,خیابان شهید عباسپور,tertiary,50,True,35.967,,"LINESTRING (58.2910643 35.2546631, 58.2906682 35.254665)",,
115878344,False,,,tertiary,,True,61.634,,"LINESTRING (58.2910643 35.2546631, 58.2908547 35.2541359)",,
115878190,False,2,خیابان شهید مطهری,tertiary,70,False,26.887999999999998,,"LINESTRING (58.2849881 35.2555973, 58.284822 35.2556022, 58.2847026 35.255644)",,
115878262,True,2,میدان مرکزی,secondary,40,False,33.828,roundabout,"LINESTRING (58.2849881 35.2555973, 58.2851101 35.2555451, 58.2853181 35.2554561)",,
115877954,False,2,خیابان شهید باهنر,secondary,70,False,49.005,,"LINESTRING (58.2863392 35.2554535, 58.2866239 35.2558279)",,
115878262,True,2,میدان مرکزی,secondary,40,False,116.097,roundabout,"LINESTRING (58.2863392 35.2554535, 58.2856107 35.2557651, 58.2853362 35.2558826, 58.2852066 35.255938)",,
115878041,False,,خیابان شهید عباسپور,tertiary,50,False,46.463,,"LINESTRING (58.2873527 35.255021, 58.2874751 35.2550339, 58.287594 35.2550266, 58.287853 35.2549671)",,
115878262,True,2,میدان مرکزی,secondary,40,False,103.83500000000001,roundabout,"LINESTRING (58.2873527 35.255021, 58.2872822 35.2550511, 58.2865082 35.2553814, 58.2863392 35.2554535)",,
