osmid,highway,oneway,reversed,length,name,maxspeed,geometry,junction,ref
562383011,residential,False,False,77.891,,,"LINESTRING (53.1371432 30.079586, 53.1377655 30.079138)",,
184629792,primary,True,False,102.09299999999999,بلوار امام خمینی,60,"LINESTRING (53.1371432 30.079586, 53.1375457 30.0796845, 53.1379234 30.0797343, 53.138184 30.0797401)",,
184629792,primary,True,False,45.857,بلوار امام خمینی,60,"LINESTRING (53.13993 30.0797927, 53.1404064 30.0798042)",,
803487753,residential,False,True,75.936,,,"LINESTRING (53.13993 30.0797927, 53.1404376 30.0792698)",,
184629855,tertiary,False,False,98.053,خیابان باقری,,"LINESTRING (53.137174 30.0835269, 53.1372582 30.0826481)",,
184629853,tertiary,True,False,60.617000000000004,میدان سعدی,,"LINESTRING (53.137174 30.0835269, 53.1372339 30.0835583, 53.1372796 30.0836042, 53.1373066 30.0836601, 53.1373124 30.0837204, 53.1372964 30.0837794, 53.13726 30.0838312, 53.137207 30.0838707, 53.1371424 30.0838941, 53.1370727 30.0838991)",roundabout,
184629855,tertiary,False,False,126.553,خیابان باقری,,"LINESTRING (53.1373425 30.0817681, 53.1374299 30.0806325)",,
184629855,tertiary,False,True,98.187,خیابان باقری,,"LINESTRING (53.1373425 30.0817681, 53.1372582 30.0826481)",,
562383014,residential,False,True,41.984,,,"LINESTRING (53.1373425 30.0817681, 53.1377211 30.0819558)",,
803487011,residential,False,False,150.701,,,"LINESTRING (53.1373425 30.0817681, 53.1368009 30.0815948, 53.1361696 30.081224, 53.1360214 30.0810766)",,
147332903,residential,False,True,75.304,امام زاده,,"LINESTRING (53.1333874 30.0778073, 53.1340135 30.0778603, 53.1341643 30.0778852)",,
184629792,primary,True,False,180.906,بلوار امام خمینی,60,"LINESTRING (53.1333874 30.0778073, 53.1347145 30.0786015, 53.1349405 30.0787238)",,
147332919,residential,False,False,20.882,خیابان فلسطین,,"LINESTRING (53.1324322 30.0778249, 53.1324421 30.0780125)",,
184629841,tertiary,False,False,33.612,جاده قصر دشت,,"LINESTRING (53.1324322 30.0778249, 53.1320885 30.0778789)",,
184629841,tertiary,False,True,16.013,جاده قصر دشت,,"LINESTRING (53.1324322 30.0778249, 53.1325944 30.0777927)",,
147332903,residential,False,False,45.284,امام زاده,,"LINESTRING (53.1394407 30.0784681, 53.1389879 30.0785791)",,
147332903,residential,False,True,33.645,امام زاده,,"LINESTRING (53.1394407 30.0784681, 53.1397777 30.0783874)",,
803487756,residential,False,True,62.805,,,"LINESTRING (53.1394407 30.0784681, 53.1395954 30.0786768, 53.1398168 30.0789292)",,
147332903,residential,False,False,136.775,امام زاده,,"LINESTRING (53.1389879 30.0785791, 53.1375793 30.0787442)",,
147332903,residential,False,True,45.284,امام زاده,,"LINESTRING (53.1389879 30.0785791, 53.1394407 30.0784681)",,
803487757,residential,False,True,60.328,کوچه نشاط,,"LINESTRING (53.1389879 30.0785791, 53.1391213 30.0788414, 53.1393156 30.0790344)",,
147332919,residential,False,False,43.466,خیابان فلسطین,,"LINESTRING (53.1331408 30.0786914, 53.1334547 30.0789725)",,
147332919,residential,False,True,101.087,خیابان فلسطین,,"LINESTRING (53.1331408 30.0786914, 53.1324421 30.0780125)",,
562449536,residential,False,True,86.795,حسینیه,,"LINESTRING (53.1331408 30.0786914, 53.1337973 30.0781561)",,
562449536,residential,False,False,108.357,حسینیه,,"LINESTRING (53.1331408 30.0786914, 53.1329775 30.0788308, 53.1326063 30.0792572, 53.1324672 30.0794673)",,
147332903,residential,False,True,136.775,امام زاده,,"LINESTRING (53.1375793 30.0787442, 53.1389879 30.0785791)",,
147332903,residential,False,False,62.474,امام زاده,,"LINESTRING (53.1375793 30.0787442, 53.1372465 30.0788288, 53.1369572 30.078905)",,
803487754,residential,False,False,83.688,,,"LINESTRING (53.1375793 30.0787442, 53.1375378 30.0783576, 53.1375486 30.0783089, 53.1375834 30.078281, 53.1378758 30.0781766)",,
562449542,residential,False,False,121.605,شهید گندم کار,,"LINESTRING (53.1328181 30.0799703, 53.1337988 30.0792805)",,
562449545,residential,False,False,92.497,,,"LINESTRING (53.1328181 30.0799703, 53.1332081 30.0802609, 53.1336192 30.080412)",,
562449545,residential,False,True,141.386,,,"LINESTRING (53.1328181 30.0799703, 53.1319375 30.0794465, 53.1316842 30.0791777)",,
184629850,tertiary,True,False,20.308,,,"LINESTRING (53.1374798 30.0799834, 53.1374132 30.0798101)",,
184629855,tertiary,False,True,72.336,خیابان باقری,,"LINESTRING (53.1374798 30.0799834, 53.1374299 30.0806325)",,
147332919,residential,False,False,10.647,خیابان فلسطین,,"LINESTRING (53.1351676 30.0815781, 53.1352448 30.0816467)",,
147332919,residential,False,True,44.044,خیابان فلسطین,,"LINESTRING (53.1351676 30.0815781, 53.1349098 30.0812508)",,
297807889,residential,False,False,67.149,پاچنار,,"LINESTRING (53.1351676 30.0815781, 53.1357354 30.081227)",,
297807889,residential,False,True,156.997,پاچنار,,"LINESTRING (53.1351676 30.0815781, 53.1345177 30.0820062, 53.1344586 30.0820647, 53.134473 30.0821268, 53.1348335 30.0825968)",,
147332919,residential,False,False,68.995,خیابان فلسطین,,"LINESTRING (53.1366227 30.083011, 53.1370361 30.083518)",,
147332919,residential,False,True,21.299,خیابان فلسطین,,"LINESTRING (53.1366227 30.083011, 53.136477 30.0828668)",,
884255925,residential,False,False,73.261,,,"LINESTRING (53.1366227 30.083011, 53.1372582 30.0826481)",,
884255925,residential,False,True,118.569,,,"LINESTRING (53.1366227 30.083011, 53.1356267 30.0836389)",,
147332919,residential,False,True,68.995,خیابان فلسطین,,"LINESTRING (53.1370361 30.083518, 53.1366227 30.083011)",,
184629853,tertiary,True,False,13.471,میدان سعدی,,"LINESTRING (53.1370361 30.083518, 53.1371059 30.083513, 53.137174 30.0835269)",roundabout,
184629853,tertiary,True,False,26.950000000000003,میدان سعدی,,"LINESTRING (53.1370727 30.0838991, 53.1370045 30.0838852, 53.1369447 30.0838538, 53.136899 30.0838079, 53.1368719 30.083752)",roundabout,
