osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,bridge,lanes
233785194,شهید مطهری,tertiary,False,False,47.558,"LINESTRING (50.1577518 37.1922358, 50.1572904 37.1920171)",,,,
233785413,شهید مطهری,tertiary,False,False,78.132,"LINESTRING (50.1577518 37.1922358, 50.1584166 37.1926976)",,,,
69993175,آیت الله طالقانی,tertiary,True,False,90.092,"LINESTRING (50.1577518 37.1922358, 50.1575002 37.1925233, 50.1571279 37.1928746)",,,,
165331484,بلوار شهید بهشتی,secondary,True,False,234.553,"LINESTRING (50.1516795 37.1955134, 50.1513245 37.195093, 50.1511076 37.194836, 50.1502018 37.193763)",30,,,
233785314,میدان نماز,secondary,True,False,6.0600000000000005,"LINESTRING (50.1516795 37.1955134, 50.1517043 37.1954947, 50.1517347 37.1954821)",30,roundabout,,
1009801837,بلوار امام خمینی,secondary,True,False,355.975,"LINESTRING (50.1554954 37.1911341, 50.1554081 37.1912388, 50.1545959 37.192212, 50.1539699 37.1929618, 50.1537944 37.1931732, 50.1532776 37.1938038)",30,,,
864553799,,secondary,False,False,8.16,"LINESTRING (50.1532121 37.1937522, 50.1532776 37.1938038)",,,,
233785447,بلوار امام خمینی,secondary,True,False,209.897,"LINESTRING (50.1532121 37.1937522, 50.1532638 37.193687, 50.1538342 37.192989, 50.1539547 37.1928302, 50.1545047 37.1921703)",30,,,
864553799,,secondary,False,True,8.16,"LINESTRING (50.1532776 37.1938038, 50.1532121 37.1937522)",,,,
233785501,بلوار امام خمینی,secondary,True,False,230.166,"LINESTRING (50.1532776 37.1938038, 50.1527768 37.1944168, 50.1523716 37.1949128, 50.1520016 37.1953608, 50.151922 37.1955048, 50.1518955 37.1955536)",30,,,
"[233785522, 1009801838]",مدرس,secondary,False,"[False, True]",67.477,"LINESTRING (50.1532776 37.1938038, 50.1536862 37.1941802, 50.1537691 37.1942672)",,,,
233785314,میدان نماز,secondary,True,False,16.997,"LINESTRING (50.1517493 37.1954787, 50.1517973 37.195478, 50.1518419 37.195492, 50.1518764 37.1955185, 50.1518955 37.1955536)",30,roundabout,,
233785447,بلوار امام خمینی,secondary,True,False,142.37900000000002,"LINESTRING (50.1517493 37.1954787, 50.1519234 37.1953201, 50.1523821 37.1947553, 50.1526561 37.1944236)",30,,,
"[275381108, 275381109]",خیابان مدرس,secondary,True,False,45.644999999999996,"LINESTRING (50.1549522 37.1954997, 50.1547559 37.1953014, 50.1546874 37.1952311, 50.1546647 37.1951994, 50.1546447 37.1951711)",,,,
233785314,میدان نماز,secondary,True,False,43.535000000000004,"LINESTRING (50.1518955 37.1955536, 50.1518976 37.1955842, 50.1518876 37.1956139, 50.1518667 37.1956396, 50.1518367 37.1956588, 50.1518017 37.1956696, 50.1517643 37.1956714, 50.1517279 37.1956641, 50.151696 37.1956484, 50.1516716 37.1956258, 50.1516568 37.1955984, 50.1516532 37.1955686, 50.151661 37.1955394, 50.1516795 37.1955134)",30,roundabout,,
233785399,خیابان منجم باشی,residential,True,False,36.355,"LINESTRING (50.153981 37.1965336, 50.1542287 37.1962729)",30,,,
275381112,رسالت,residential,True,False,85.614,"LINESTRING (50.153981 37.1965336, 50.1535514 37.1962403, 50.1534231 37.1961596, 50.1535707 37.1960116)",30,,,
275381105,مدرس,secondary,False,True,35.411,"LINESTRING (50.1566911 37.1971386, 50.1564155 37.1969079)",,,,
233785018,میدان بسیج,secondary,True,False,31.552,"LINESTRING (50.1566911 37.1971386, 50.1567276 37.1971055, 50.1567796 37.1970932, 50.156865 37.1970928, 50.1569357 37.1971148, 50.1569981 37.1971612)",,roundabout,,
233785018,میدان بسیج,secondary,True,False,9.629000000000001,"LINESTRING (50.1569981 37.1971612, 50.1570259 37.1971983, 50.1570223 37.1972416)",,roundabout,,
759655099,خیابان صنایع پرکار,tertiary,False,True,145.801,"LINESTRING (50.1569981 37.1971612, 50.1571173 37.1969934, 50.1571432 37.1967619, 50.1571714 37.1963128, 50.1572305 37.1961676, 50.1573876 37.195913)",,,,
233785018,میدان بسیج,secondary,True,False,10.581,"LINESTRING (50.1567071 37.1972329, 50.1566911 37.1971386)",,roundabout,,
660094457,شهید محمدرضا شعبانی,residential,False,True,72.177,"LINESTRING (50.1567071 37.1972329, 50.1560527 37.1976197)",,,,
233785018,میدان بسیج,secondary,True,False,17.201,"LINESTRING (50.1570223 37.1972416, 50.1569881 37.1972755, 50.1569361 37.1972877, 50.1568507 37.1972881)",,roundabout,,
233785017,خیابان شریعتی,tertiary,False,False,75.827,"LINESTRING (50.1568507 37.1972881, 50.1573191 37.1978589)",,,,
233785000,پروین اعتصامی,tertiary,False,True,82.764,"LINESTRING (50.1568507 37.1972881, 50.1568192 37.1975454, 50.1566113 37.1980021)",,,,
233785018,میدان بسیج,secondary,True,False,14.161,"LINESTRING (50.1568507 37.1972881, 50.15678 37.1972661, 50.1567071 37.1972329)",,roundabout,,
660094455,خیابان مولوی,residential,False,False,67.567,"LINESTRING (50.1534261 37.1974445, 50.1538539 37.1979476)",,,,
1069627836,,residential,False,False,10.716,"LINESTRING (50.1534261 37.1974445, 50.1533492 37.1973701)",,,,
233785399,خیابان منجم باشی,residential,True,False,38.734,"LINESTRING (50.1534261 37.1974445, 50.1535701 37.1972942, 50.1536645 37.1971538)",30,,,
233785017,خیابان شریعتی,tertiary,False,False,21.172,"LINESTRING (50.1573191 37.1978589, 50.1573838 37.1980422)",,,,
233785017,خیابان شریعتی,tertiary,False,True,75.827,"LINESTRING (50.1573191 37.1978589, 50.1568507 37.1972881)",,,,
1069538333,شریعتی اول,residential,False,False,29.926000000000002,"LINESTRING (50.1573191 37.1978589, 50.1574772 37.1978369, 50.1575746 37.19784, 50.1576542 37.1978455)",,,,
233785000,پروین اعتصامی,tertiary,False,True,18.104,"LINESTRING (50.1565598 37.1982631, 50.1564749 37.1984112)",,,,
1069627842,اعتصامی دو,residential,False,False,31.989,"LINESTRING (50.1565598 37.1982631, 50.1568976 37.1983649)",,,,
233785000,پروین اعتصامی,tertiary,False,False,29.748,"LINESTRING (50.1565598 37.1982631, 50.156565 37.1981038, 50.1566113 37.1980021)",,,,
