osmid,oneway,name,highway,reversed,length,maxspeed,geometry,bridge,junction,lanes
1089848680,True,خیابان شریعتی,primary,False,10.879,,"LINESTRING (51.720206 35.3066689, 51.7200893 35.3066465)",,,
406644829,False,خیابان آموزش و پرورش,residential,False,406.043,30,"LINESTRING (51.720206 35.3066689, 51.7203513 35.3078205, 51.7203197 35.3081548, 51.7202619 35.3084731, 51.7201742 35.3086827, 51.7201683 35.3088034, 51.7202362 35.308923, 51.7214771 35.309835)",,,
554093103,False,كوچه شهيد كاشاني,residential,False,88.629,30,"LINESTRING (51.7175795 35.3059997, 51.7178793 35.3055591, 51.7180193 35.3052892)",,,
"[1084171489, 1084171490, 526990847]",True,خیابان شریعتی,primary,False,264.638,,"LINESTRING (51.7175795 35.3059997, 51.7181593 35.306003, 51.7182564 35.3060178, 51.71835 35.306047, 51.7198417 35.3065266, 51.7202181 35.3066052, 51.7203638 35.3066065)",yes,,
406644836,False,ابوذر,residential,False,43.251,30,"LINESTRING (51.7203638 35.3066065, 51.7204683 35.306227)",,,
526990847,True,خیابان شریعتی,primary,False,70.447,,"LINESTRING (51.7203638 35.3066065, 51.7205155 35.3065912, 51.7207154 35.3065551, 51.7209204 35.3065155, 51.7210121 35.3064921, 51.7211148 35.3064556)",,,
406644807,False,خیابان بیست متری بهار,secondary,True,13.989,30,"LINESTRING (51.722678 35.3084818, 51.7225835 35.3085812)",,,
983844518,True,,secondary,False,58.964000000000006,,"LINESTRING (51.722678 35.3084818, 51.7227991 35.3083442, 51.7228751 35.3082423, 51.7229131 35.3081255, 51.7229198 35.3080049)",,,
653412804,False,,residential,True,89.929,30,"LINESTRING (51.7263546 35.302092, 51.7264678 35.3023139, 51.7265662 35.3024334, 51.7268786 35.3027727)",,,
1136534467,True,,primary,False,2.313,,"LINESTRING (51.7253576 35.3095722, 51.7253424 35.3095555)",,,
730117724,False,,residential,True,46.812,,"LINESTRING (51.7245801 35.3089481, 51.7244368 35.309073, 51.7242028 35.3092342)",,,
1136534468,True,خیابان دکتر وحید دستجردی,primary,False,39.967,,"LINESTRING (51.7245801 35.3089481, 51.7244351 35.3088731, 51.7242145 35.3087478)",,,
1136534469,True,خیابان دکتر وحید دستجردی,primary,False,45.817,,"LINESTRING (51.7227361 35.3076676, 51.7230697 35.3079769)",,,
406644828,False,,residential,False,201.91,30,"LINESTRING (51.7227361 35.3076676, 51.7233444 35.307255, 51.7234927 35.3070919, 51.7241969 35.3063139)",,,
406644827,False,محور,residential,False,77.414,30,"LINESTRING (51.7230697 35.3079769, 51.7237438 35.3075502)",,,
