osmid,name,highway,junction,oneway,reversed,length,maxspeed,geometry
135320143,میدان امام خمینی,secondary,roundabout,True,False,5.842,,"LINESTRING (57.1908517 27.4410375, 57.1909107 27.4410332)"
254694772,,tertiary,,True,False,135.28,,"LINESTRING (57.1908517 27.4410375, 57.1904728 27.4398683)"
481189939,,residential,,True,False,156.435,30,"LINESTRING (57.1912038 27.4411857, 57.1925758 27.440481)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,17.531,,"LINESTRING (57.1912038 27.4411857, 57.1912285 27.4412334, 57.1912434 27.4412843, 57.1912482 27.4413367)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,29.213,,"LINESTRING (57.1906154 27.4411822, 57.1906497 27.4411394, 57.1906919 27.4411025, 57.1907406 27.4410726, 57.1907944 27.4410507, 57.1908517 27.4410375)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,11.693000000000001,,"LINESTRING (57.1911252 27.4415669, 57.1910764 27.4415968, 57.1910226 27.4416187)"
254694634,خیابان کشاورز,tertiary,,True,False,152.012,,"LINESTRING (57.1910226 27.4416187, 57.191283 27.4429661)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,11.684,,"LINESTRING (57.1910226 27.4416187, 57.1909653 27.4416319, 57.1909063 27.4416362)"
248112462,خیابان شهید سقایی,unclassified,,False,False,12.81,,"LINESTRING (57.1892278 27.444913, 57.1893472 27.4449582)"
248112459,بلوار شهدا,secondary,,True,False,242.101,,"LINESTRING (57.1892278 27.444913, 57.1893564 27.4446486, 57.1901384 27.4428914)"
248112462,خیابان شهید سقایی,unclassified,,False,True,185.395,,"LINESTRING (57.1892278 27.444913, 57.1880238 27.4445187, 57.187479 27.4443056)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,23.373,,"LINESTRING (57.1906884 27.4415644, 57.1906469 27.441527, 57.1906132 27.4414837, 57.1905885 27.4414359, 57.1905736 27.4413851)"
135320143,میدان امام خمینی,secondary,roundabout,True,False,23.377,,"LINESTRING (57.1909063 27.4416362, 57.1908473 27.4416312, 57.1907902 27.4416173, 57.1907367 27.4415948, 57.1906884 27.4415644)"
248112460,بلوار شهدا,secondary,,True,False,161.242,,"LINESTRING (57.1909063 27.4416362, 57.1907431 27.4418722, 57.1902654 27.4429661)"
673959613,,residential,,False,False,87.151,,"LINESTRING (57.187479 27.4443056, 57.1878137 27.4435803)"
