osmid,highway,oneway,reversed,length,ref,geometry,name,junction,access
175874955,residential,False,True,36.776,,"LINESTRING (47.1279661 38.0783439, 47.1275618 38.0784339)",,,
176129065,secondary,False,False,16.786,165,"LINESTRING (47.1279661 38.0783439, 47.1278922 38.0782046)",,,
176129065,secondary,False,True,27.485,165,"LINESTRING (47.1279661 38.0783439, 47.1280336 38.0785853)",,,
176129065,secondary,False,False,57.302,165,"LINESTRING (47.1281742 38.0790886, 47.1280336 38.0785853)",,,
176129065,secondary,False,True,40.011,165,"LINESTRING (47.1281742 38.0790886, 47.1282875 38.0794372)",,,
121235340,unclassified,False,True,143.96800000000002,,"LINESTRING (47.1281742 38.0790886, 47.1274901 38.0795833, 47.1270035 38.0799966)",,,
121235340,unclassified,False,False,15.178,,"LINESTRING (47.1268856 38.0800967, 47.1270035 38.0799966)",,,
121235340,unclassified,False,True,64.698,,"LINESTRING (47.1268856 38.0800967, 47.1261942 38.0803025)",,,
398235853,unclassified,False,True,132.487,,"LINESTRING (47.1268856 38.0800967, 47.127522 38.0804348, 47.1278242 38.0806728, 47.1278958 38.080917)",,,
176129139,residential,False,False,48.628,,"LINESTRING (47.1278958 38.080917, 47.1280585 38.0809155, 47.1281489 38.080871, 47.1282431 38.0807613, 47.1282959 38.0806782)",,,
398235853,unclassified,False,False,132.487,,"LINESTRING (47.1278958 38.080917, 47.1278242 38.0806728, 47.127522 38.0804348, 47.1268856 38.0800967)",,,
398235853,unclassified,False,True,108.719,,"LINESTRING (47.1278958 38.080917, 47.1278163 38.0813803, 47.127732 38.0818862)",,,
176129065,secondary,False,False,5.635,165,"LINESTRING (47.1295265 38.0833651, 47.1295116 38.0833158)",,,
176129065,secondary,False,True,68.002,165,"LINESTRING (47.1295265 38.0833651, 47.1298116 38.083934)",,,
176129082,residential,False,True,67.04,,"LINESTRING (47.1295265 38.0833651, 47.1296865 38.0834454, 47.130236 38.0835819)",,,
175874950,residential,False,True,46.546,,"LINESTRING (47.1298116 38.083934, 47.1301776 38.0836303)",,,
176129065,secondary,False,False,68.002,165,"LINESTRING (47.1298116 38.083934, 47.1295265 38.0833651)",,,
176129065,secondary,False,True,5.419,165,"LINESTRING (47.1298116 38.083934, 47.1298412 38.0839768)",,,
176129065,secondary,False,False,134.196,165,"LINESTRING (47.1305661 38.0850402, 47.1303537 38.0847175, 47.1298412 38.0839768)",,,
