osmid,oneway,highway,reversed,length,geometry,name,lanes,ref,junction,tunnel
667912241,True,tertiary,False,8.804,"LINESTRING (51.2681544 34.1811077, 51.2681154 34.1810354)",,,,,
667912237,True,primary_link,False,98.13,"LINESTRING (51.2681544 34.1811077, 51.2678192 34.1810195, 51.2675136 34.1810195, 51.2673535 34.1810737, 51.2671776 34.1812044)",,,,,
667912240,False,tertiary_link,False,9.888,"LINESTRING (51.2685496 34.1812098, 51.2685165 34.1812944)",,,,,
667912236,True,tertiary,False,23.926,"LINESTRING (51.268213 34.1810214, 51.2684284 34.181142)",بلوار شهدا,,,,
353674935,True,primary_link,False,120.264,"LINESTRING (51.2678791 34.1800663, 51.267801 34.1805078, 51.2678738 34.1806824, 51.2679539 34.1808359, 51.268213 34.1810214)",,,,,
667912282,True,primary,False,142.069,"LINESTRING (51.2678791 34.1800663, 51.2675816 34.1805289, 51.2671776 34.1812044)",بلوار امام خمینی,2,71,,
667912240,False,tertiary_link,True,9.888,"LINESTRING (51.2685165 34.1812944, 51.2685496 34.1812098)",,,,,
353674930,True,tertiary,False,39.251,"LINESTRING (51.2685165 34.1812944, 51.2683323 34.1811971, 51.2681544 34.1811077)",بلوار شهدا,,,,
353674944,False,residential,False,61.292,"LINESTRING (51.2685165 34.1812944, 51.2683832 34.181609, 51.2683263 34.1818217)",شهید رمضانی,,,,
353674944,False,residential,True,61.292,"LINESTRING (51.2683263 34.1818217, 51.2683832 34.181609, 51.2685165 34.1812944)",شهید رمضانی,,,,
353687682,False,residential,True,92.453,"LINESTRING (51.2633903 34.180906, 51.2642955 34.1812673)",شهرداری,,,,
353687731,False,residential,True,44.156,"LINESTRING (51.2633903 34.180906, 51.2635788 34.1805408)",,,,,
667912235,False,residential,False,48.552,"LINESTRING (51.2633903 34.180906, 51.2631664 34.1813014)",,,,,
353687682,False,residential,False,74.848,"LINESTRING (51.2633903 34.180906, 51.2627557 34.1807025, 51.262631 34.1806641)",شهرداری,,,,
353687720,False,residential,False,37.823,"LINESTRING (51.2612059 34.1799447, 51.2614243 34.1796565)",حکمت,,,,
353687720,False,residential,True,33.904,"LINESTRING (51.2612059 34.1799447, 51.2610042 34.1801999)",حکمت,,,,
353687682,False,residential,True,70.471,"LINESTRING (51.2612059 34.1799447, 51.2614039 34.1800556, 51.2618502 34.1802874)",شهرداری,,,,
353687727,False,residential,False,32.912,"LINESTRING (51.262631 34.1806641, 51.262763 34.180389)",,,,,
353687682,False,residential,False,83.225,"LINESTRING (51.262631 34.1806641, 51.2620833 34.1804172, 51.2618502 34.1802874)",شهرداری,,,,
353687682,False,residential,True,74.848,"LINESTRING (51.262631 34.1806641, 51.2627557 34.1807025, 51.2633903 34.180906)",شهرداری,,,,
353687683,False,residential,False,49.15,"LINESTRING (51.262631 34.1806641, 51.2624693 34.1809131, 51.2623709 34.1810501)",,,,,
667912206,False,tertiary_link,False,11.03,"LINESTRING (51.2619697 34.1816072, 51.2618761 34.1816692)",,,,,
353687683,False,residential,True,72.107,"LINESTRING (51.2619697 34.1816072, 51.2622713 34.1811889, 51.2623709 34.1810501)",,,,,
353687720,False,residential,False,45.01,"LINESTRING (51.2605075 34.1808661, 51.2607644 34.1805216)",حکمت,,,,
667912198,True,tertiary,False,70.871,"LINESTRING (51.2605075 34.1808661, 51.2611642 34.1811994)",بلوار چهار امامزاده,,,,
353687719,False,residential,False,53.012,"LINESTRING (51.2597461 34.1804868, 51.2600718 34.1800935)",تربیت,,,,
667912198,True,tertiary,False,81.758,"LINESTRING (51.2597461 34.1804868, 51.2605075 34.1808661)",بلوار چهار امامزاده,,,,
353687684,True,tertiary,False,43.511,"LINESTRING (51.2589286 34.1763576, 51.2588414 34.1767422)",,,,,
353687687,False,residential,False,90.697,"LINESTRING (51.2628962 34.178124, 51.2629819 34.1779692, 51.2631754 34.1776568, 51.2632769 34.1775256, 51.2633467 34.1773996)",,,,,
372557925,True,tertiary,False,50.495000000000005,"LINESTRING (51.2628962 34.178124, 51.2631944 34.1782185, 51.2634064 34.1782914)",بلوار نشاط,,,,
