osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed
177670948,میدان امام خمینی,secondary,roundabout,True,False,3.558,"LINESTRING (50.7962339 32.2256096, 50.7961987 32.2256213)",
177670961,شهید مظلوم,secondary,,True,False,8.762,"LINESTRING (50.7961624 32.2251218, 50.7962236 32.2250624)",
177670948,میدان امام خمینی,secondary,roundabout,True,False,28.284,"LINESTRING (50.7961624 32.2251218, 50.796187 32.2251258, 50.7962108 32.2251324, 50.7962339 32.2251405, 50.7962562 32.2251502, 50.7962775 32.2251614, 50.7962976 32.2251741, 50.7963164 32.2251881, 50.7963338 32.2252033, 50.7963497 32.2252197, 50.7963639 32.2252371, 50.7963765 32.2252555, 50.7963864 32.225275)",
177670948,میدان امام خمینی,secondary,roundabout,True,False,6.0969999999999995,"LINESTRING (50.7963864 32.225275, 50.7963949 32.2252917, 50.7964012 32.2253093, 50.7964048 32.2253273)",
177670948,میدان امام خمینی,secondary,roundabout,True,False,38.156,"LINESTRING (50.7964048 32.2253273, 50.7964106 32.2253554, 50.7964114 32.225384, 50.7964085 32.2254125, 50.7964019 32.2254406, 50.7963917 32.2254679, 50.796378 32.225494, 50.796361 32.2255187, 50.7963409 32.2255417, 50.796318 32.2255627, 50.7962924 32.2255815, 50.7962646 32.2255977, 50.7962339 32.2256096)",
177670958,شهدا,secondary,,True,False,43.655,"LINESTRING (50.7964048 32.2253273, 50.7965733 32.2254432, 50.7967959 32.2255336)",
455147622,,secondary_link,,False,True,8.833,"LINESTRING (50.797101 32.2239881, 50.7971815 32.224029)",
177670961,شهید مظلوم,secondary,,True,False,235.323,"LINESTRING (50.797101 32.2239881, 50.7978979 32.2229462, 50.7984683 32.2222159)",
177670969,شهید مظلوم,secondary,,True,False,34.957,"LINESTRING (50.7971815 32.224029, 50.7969781 32.2242921)",
455147622,,secondary_link,,False,False,8.833,"LINESTRING (50.7971815 32.224029, 50.797101 32.2239881)",
304067039,نواب غربی,secondary,,False,False,10.818,"LINESTRING (50.7948682 32.2294719, 50.7948084 32.229474, 50.7947533 32.229476)",
304067051,نواب شرقی,secondary,,False,True,56.45,"LINESTRING (50.7948682 32.2294719, 50.7949792 32.2294693, 50.7954681 32.2294577)",
454529206,۲۰,residential,,False,False,39.191,"LINESTRING (50.7912106 32.2232909, 50.7908383 32.2234491)",30
455514171,کاشانی,secondary,,True,False,5.477,"LINESTRING (50.7912106 32.2232909, 50.7911719 32.2232541)",
454007630,خیابان کاشانی,secondary,,False,False,70.057,"LINESTRING (50.7902466 32.2223753, 50.7896991 32.2219482)",
455781748,امام حسین,tertiary,,False,True,100.035,"LINESTRING (50.7902466 32.2223753, 50.790555 32.2219352, 50.790733 32.2215776)",
177670961,شهید مظلوم,secondary,,True,False,81.551,"LINESTRING (50.7984683 32.2222159, 50.7989462 32.221604)",
304067033,شهید چمران,tertiary,,False,False,59.509,"LINESTRING (50.7984683 32.2222159, 50.7979333 32.2219303)",
304067035,۲۲ بهمن,tertiary,,False,True,94.14,"LINESTRING (50.7930473 32.2249614, 50.7934056 32.2241709)",
455514171,کاشانی,secondary,,True,False,62.19199999999999,"LINESTRING (50.7930473 32.2249614, 50.7928541 32.2248505, 50.7925416 32.2246035)",
454007132,ولیعصر,secondary,,True,False,29.729,"LINESTRING (50.7959406 32.2258634, 50.7959752 32.225773, 50.7959756 32.2257127, 50.7959662 32.2256614, 50.7959552 32.225602)",
304067038,مفتح,tertiary,,False,False,61.224000000000004,"LINESTRING (50.7955119 32.2272129, 50.7953973 32.2271974, 50.7948688 32.2271281)",
454007132,ولیعصر,secondary,,True,False,68.77,"LINESTRING (50.7955119 32.2272129, 50.7955209 32.2271848, 50.7957037 32.2266161)",
304067038,مفتح,tertiary,,False,False,55.077,"LINESTRING (50.7909352 32.2268492, 50.7903696 32.2267211)",
