osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes
519746667,میدان بسیج,secondary,60,roundabout,True,False,94.56299999999999,"LINESTRING (60.0390655 31.5409804, 60.0390804 31.5409377, 60.0391223 31.5408173, 60.039187 31.5407375, 60.0392357 31.5406774, 60.0393945 31.5405743, 60.0395829 31.5405183, 60.0397824 31.540515)",
114982741,بلوار امام خمینی,secondary,60,,True,False,11.676,"LINESTRING (60.0303276 31.5453621, 60.0304479 31.5453848)",3
519750666,بلوار استقلال,secondary,60,,True,False,66.426,"LINESTRING (60.0303276 31.5453621, 60.0302705 31.5447667)",2
114982689,استقلال ۱۱,residential,30,,False,False,157.441,"LINESTRING (60.0334012 31.5446546, 60.0317853 31.5443255)",
114982689,استقلال ۱۱,residential,30,,False,True,161.082,"LINESTRING (60.0334012 31.5446546, 60.0350545 31.5449912)",
114982767,رجائی ۵,residential,30,,False,False,64.545,"LINESTRING (60.0334012 31.5446546, 60.0335656 31.5440913)",
114982767,رجائی ۵,residential,30,,False,True,35.917,"LINESTRING (60.0334012 31.5446546, 60.0333128 31.5449687)",
114982634,شهدا ۱۴,residential,30,,False,False,162.76,"LINESTRING (60.037061 31.5416367, 60.0353438 31.5416108)",
537902487,خیابان شهدا,tertiary,40,,False,False,45.46,"LINESTRING (60.037061 31.5416367, 60.0370323 31.5420448)",
537902487,خیابان شهدا,tertiary,40,,False,True,63.343,"LINESTRING (60.037061 31.5416367, 60.0370998 31.541068)",
114982739,هاشمی پور ۲۰,residential,30,,False,False,41.382,"LINESTRING (60.0325514 31.5390689, 60.0325827 31.5386977)",
521161324,خیابان هاشمی پور,tertiary,40,,False,False,34.621,"LINESTRING (60.0325514 31.5390689, 60.0329136 31.5391095)",
521161324,خیابان هاشمی پور,tertiary,40,,False,True,129.691,"LINESTRING (60.0325514 31.5390689, 60.0311909 31.5389431)",
1156947922,هاشمی پور ۷,residential,30,,False,True,94.627,"LINESTRING (60.0325514 31.5390689, 60.0324444 31.539915)",
114982681,شهدا ۱۶,residential,30,,False,False,160.809,"LINESTRING (60.0353129 31.5423306, 60.037009 31.542375)",
114982681,شهدا ۱۶,residential,30,,False,True,159.966,"LINESTRING (60.0353129 31.5423306, 60.0336257 31.5422864)",
114982717,رجائی ۶,residential,30,,False,False,80.092,"LINESTRING (60.0353129 31.5423306, 60.0353438 31.5416108)",
114982717,رجائی ۶,residential,30,,False,True,76.984,"LINESTRING (60.0353129 31.5423306, 60.0352811 31.5430224)",
114982578,رجائی ۳,residential,30,,False,True,64.77,"LINESTRING (60.0352155 31.5444251, 60.0350545 31.5449912)",
114982717,رجائی ۶,residential,30,,False,False,6.366,"LINESTRING (60.0352155 31.5444251, 60.0352184 31.5443679)",
527832378,خیابان شهید رجایی,tertiary,40,,True,False,160.697,"LINESTRING (60.0352155 31.5444251, 60.0335656 31.5440913)",
519746676,بلوار دانشگاه,secondary,60,,True,False,68.182,"LINESTRING (60.0392717 31.5427384, 60.0390983 31.5433335)",
114982562,شهدا ۱۸,residential,30,,False,False,159.116,"LINESTRING (60.0336026 31.5429861, 60.0352811 31.5430224)",
114982562,شهدا ۱۸,residential,30,,False,True,123.671,"LINESTRING (60.0336026 31.5429861, 60.032298 31.5429579)",
114982734,رجائی ۸,residential,30,,False,False,77.834,"LINESTRING (60.0336026 31.5429861, 60.0336257 31.5422864)",
114982734,رجائی ۸,residential,30,,False,True,70.736,"LINESTRING (60.0336026 31.5429861, 60.033582 31.543622)",
54756433,بلوار امام خمینی,secondary,60,,True,False,203.299,"LINESTRING (60.0325793 31.5461158, 60.0304896 31.5457021)",3
114982550,,residential,30,,False,True,123.617,"LINESTRING (60.0325793 31.5461158, 60.0322685 31.5471955)",
114982700,دانشگاه ۲ - شهدا۱۵,residential,30,,False,False,201.69,"LINESTRING (60.0370323 31.5420448, 60.0391409 31.5422909)",
537902487,خیابان شهدا,tertiary,40,,False,False,36.783,"LINESTRING (60.0370323 31.5420448, 60.037009 31.542375)",
537902487,خیابان شهدا,tertiary,40,,False,True,45.46,"LINESTRING (60.0370323 31.5420448, 60.037061 31.5416367)",
1144244523,,tertiary_link,,,True,False,6.429,"LINESTRING (60.0304117 31.5434323, 60.0304261 31.5433758)",
527832378,خیابان شهید رجایی,tertiary,40,,True,False,14.061,"LINESTRING (60.0304117 31.5434323, 60.0303456 31.5434341, 60.0302685 31.5434585)",
114982684,شهدا ۲۴,residential,30,,False,True,160.018,"LINESTRING (60.0331566 31.5455231, 60.0347982 31.5458603)",
114982767,رجائی ۵,residential,30,,False,False,63.399,"LINESTRING (60.0331566 31.5455231, 60.0333128 31.5449687)",
114982767,رجائی ۵,residential,30,,False,True,47.948,"LINESTRING (60.0331566 31.5455231, 60.0330385 31.5459424)",
