osmid,ref,name,highway,oneway,reversed,length,geometry,junction,lanes,maxspeed,width,bridge
458585782,313;315,۲۲ بهمن,primary,False,True,54.44,"LINESTRING (48.5231627 37.6202575, 48.5231114 37.6197696)",,,,,
1046846847,,,residential,False,False,28.503,"LINESTRING (48.5231627 37.6202575, 48.523449 37.620377)",,,,,
1078917276,313;315,۲۲ بهمن,primary,False,False,18.03,"LINESTRING (48.5231627 37.6202575, 48.5232232 37.6204124)",,,,,
1078917276,313;315,۲۲ بهمن,primary,False,True,18.03,"LINESTRING (48.5232232 37.6204124, 48.5231627 37.6202575)",,,,,
201338980,313;315,۲۲ بهمن,primary,True,False,69.914,"LINESTRING (48.5232232 37.6204124, 48.523326 37.6205227, 48.5234103 37.6206085, 48.5235032 37.6206875, 48.5236253 37.6207707, 48.5237835 37.6208483)",,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,7.602,"LINESTRING (48.5246894 37.6213991, 48.5246058 37.6214161)",roundabout,,,,
898294436,313;315,۲۲ بهمن,primary,True,False,46.9,"LINESTRING (48.5243556 37.6213085, 48.5239568 37.621029)",,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,41.11,"LINESTRING (48.5243556 37.6213085, 48.5243296 37.6212504, 48.5243264 37.6211888, 48.5243464 37.6211293, 48.5243879 37.6210772, 48.5244469 37.6210371, 48.5245184 37.6210127)",roundabout,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,7.727,"LINESTRING (48.5245184 37.6210127, 48.5246058 37.6210067)",roundabout,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,20.71,"LINESTRING (48.5246058 37.6210067, 48.524682 37.6210211, 48.5247493 37.621053, 48.5248015 37.6210993)",roundabout,,,,
201338987,313;315,,primary,True,False,164.435,"LINESTRING (48.5246058 37.6210067, 48.5246913 37.6209856, 48.5248043 37.6209367, 48.5249355 37.6208044, 48.5258247 37.619911)",,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,1.952,"LINESTRING (48.5248015 37.6210993, 48.5248128 37.6211144)",roundabout,,,,
201338979,,میدان مخابرات - جانبازان,primary,True,False,37.391000000000005,"LINESTRING (48.5248128 37.6211144, 48.5248401 37.6211781, 48.5248399 37.6212454, 48.5248123 37.621309, 48.5247603 37.6213621, 48.5246894 37.6213991)",roundabout,,,,
201338994,,,secondary,True,False,61.128,"LINESTRING (48.5248128 37.6211144, 48.5250242 37.6212275, 48.5251908 37.6213204, 48.5253997 37.621406)",,,,,
201338980,313;315,۲۲ بهمن,primary,True,False,25.767,"LINESTRING (48.5237835 37.6208483, 48.5239934 37.6209328, 48.5240433 37.6209548)",,,,,
611697171,,فلاحی,residential,False,True,101.012,"LINESTRING (48.5237835 37.6208483, 48.5237559 37.6207213, 48.5240999 37.6203457, 48.524469 37.6204644)",,,,,
201338980,313;315,۲۲ بهمن,primary,True,False,12.673,"LINESTRING (48.5240433 37.6209548, 48.5241836 37.6209801)",,,,,
600500656,,,primary_link,True,False,16.933,"LINESTRING (48.5240433 37.6209548, 48.5240578 37.6209656, 48.5240637 37.6209762, 48.5240669 37.6209879, 48.5240645 37.6210057, 48.524043 37.6210245, 48.5240243 37.6210309, 48.5240034 37.6210314, 48.5239568 37.621029)",,,,,
201338982,,میدان آزادی,primary,True,False,29.786,"LINESTRING (48.5258509 37.6197093, 48.5259135 37.6196512, 48.5259842 37.6196102, 48.5260631 37.6195887, 48.5261338 37.6195887)",roundabout,,,,
374720275,,کارگر جنوبی,secondary,False,False,48.499,"LINESTRING (48.5258509 37.6197093, 48.5255121 37.6195245, 48.5253962 37.6194633)",,,,,
843231531,313;315,امام خمینی,primary,True,False,132.195,"LINESTRING (48.5261338 37.6195887, 48.5270579 37.6186519)",,,,,
201338982,,میدان آزادی,primary,True,False,9.325,"LINESTRING (48.5261338 37.6195887, 48.5261909 37.6196102, 48.5262162 37.6196374)",roundabout,,,,
