osmid,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed
380855757,residential,roundabout,True,False,11.655,"LINESTRING (45.2649518 36.8088295, 45.2649705 36.8088148, 45.264994 36.8088056, 45.2650199 36.8088027, 45.2650457 36.8088066, 45.2650686 36.8088167)",,,
380855762,residential,,False,False,132.06,"LINESTRING (45.2649518 36.8088295, 45.264864 36.808728, 45.2647044 36.808509, 45.2644895 36.8083369, 45.2641313 36.8080918, 45.2639977 36.8080083, 45.2639718 36.8079581)",,,
380855760,residential,,False,True,11.514,"LINESTRING (45.265078 36.8089137, 45.2651677 36.8089883)",,,
380855757,residential,roundabout,True,False,12.428,"LINESTRING (45.265078 36.8089137, 45.2650558 36.8089272, 45.2650291 36.8089339, 45.2650012 36.8089332, 45.2649753 36.808925, 45.2649542 36.8089103)",,,
380855757,residential,roundabout,True,False,12.118,"LINESTRING (45.2650686 36.8088167, 45.2650864 36.808832, 45.2650973 36.8088511, 45.2651001 36.8088733, 45.2650934 36.808895, 45.265078 36.8089137)",,,
380855761,residential,,False,False,187.232,"LINESTRING (45.2650686 36.8088167, 45.2651181 36.8085898, 45.2651604 36.8083708, 45.265079 36.8080005, 45.2649389 36.8075416, 45.2647533 36.8072261, 45.2647254 36.8071995)",,,
380855757,residential,roundabout,True,False,9.629999999999999,"LINESTRING (45.2649542 36.8089103, 45.2649405 36.8088908, 45.2649357 36.8088688, 45.2649398 36.8088481, 45.2649518 36.8088295)",,,
380855760,residential,,False,False,42.003,"LINESTRING (45.2656201 36.8093659, 45.2652935 36.8090933)",,,
380855766,primary_link,,False,False,5.355,"LINESTRING (45.2656201 36.8093659, 45.2656534 36.809406)",,,
373415259,primary,,True,False,319.941,"LINESTRING (45.2656201 36.8093659, 45.2659785 36.8091558, 45.2670246 36.8086683, 45.2676898 36.8084192, 45.2682987 36.8082431, 45.2688344 36.8081199)",26,بلوار امام,95
380855761,residential,,False,True,145.35500000000002,"LINESTRING (45.26447 36.8059927, 45.2644211 36.8061309, 45.2643625 36.8064595, 45.2643495 36.8067202, 45.2644048 36.8068402, 45.2645514 36.8070331, 45.2647254 36.8071995)",,,
