osmid,oneway,highway,reversed,length,maxspeed,geometry,name
552595360,False,residential,True,158.607,30,"LINESTRING (51.9607186 27.877613, 51.9595503 27.8766291)",تعاون
552452172,False,residential,True,22.942,30,"LINESTRING (51.9586707 27.8781523, 51.9584763 27.8780381)",
552452174,False,residential,False,40.975,30,"LINESTRING (51.9586707 27.8781523, 51.9584624 27.8784715)",
552452183,False,residential,True,67.049,30,"LINESTRING (51.9578052 27.8772855, 51.9572054 27.8769983)",
552452185,False,residential,False,52.022,30,"LINESTRING (51.9578052 27.8772855, 51.9580906 27.8768915)",
552452185,False,residential,True,20.692,30,"LINESTRING (51.9578052 27.8772855, 51.9576962 27.8774447)",
552452180,False,tertiary,False,37.204,,"LINESTRING (51.9586624 27.8777836, 51.9588793 27.8775094)",مهاجر
552452180,False,tertiary,True,6.171,,"LINESTRING (51.9586624 27.8777836, 51.9586283 27.8778302)",مهاجر
552452188,False,residential,True,99.141,30,"LINESTRING (51.9586624 27.8777836, 51.9594011 27.8781701, 51.9595486 27.8781448)",
552452180,False,tertiary,False,18.729,,"LINESTRING (51.9618056 27.8732413, 51.9619585 27.8731408)",مهاجر
552452180,False,tertiary,True,107.728,,"LINESTRING (51.9618056 27.8732413, 51.961337 27.8741171)",مهاجر
552452164,False,residential,True,110.485,30,"LINESTRING (51.9618056 27.8732413, 51.961262 27.8730474, 51.9608339 27.8727596)",
552452167,False,residential,False,101.108,30,"LINESTRING (51.9610939 27.8772223, 51.9618598 27.8778293)",معلم
552452167,False,residential,True,164.036,30,"LINESTRING (51.9610939 27.8772223, 51.9598403 27.8762485)",معلم
552452187,False,tertiary,False,70.924,30,"LINESTRING (51.9610939 27.8772223, 51.9615576 27.8767336)",امام خمینی
552452187,False,tertiary,True,56.992,30,"LINESTRING (51.9610939 27.8772223, 51.9607186 27.877613)",امام خمینی
552452181,False,residential,False,85.336,30,"LINESTRING (51.9638457 27.8740623, 51.9646114 27.874424)",
552452181,False,residential,True,35.535,30,"LINESTRING (51.9638457 27.8740623, 51.9635257 27.8739136)",
552452187,False,tertiary,False,38.885,30,"LINESTRING (51.9638457 27.8740623, 51.9640378 27.8737566)",امام خمینی
552452187,False,tertiary,True,106.723,30,"LINESTRING (51.9638457 27.8740623, 51.9633184 27.8749013)",امام خمینی
552452177,False,residential,False,106.013,30,"LINESTRING (51.9601668 27.8758686, 51.9593238 27.8752739)",
552452177,False,residential,True,167.151,30,"LINESTRING (51.9601668 27.8758686, 51.9615576 27.8767336)",
552452180,False,tertiary,False,56.282,,"LINESTRING (51.9601668 27.8758686, 51.9604762 27.8754427)",مهاجر
552452180,False,tertiary,True,53.051,,"LINESTRING (51.9601668 27.8758686, 51.9598403 27.8762485)",مهاجر
552452179,False,residential,False,32.909,30,"LINESTRING (51.9612432 27.8699876, 51.9613289 27.8697015)",
552452179,False,residential,True,19.456,30,"LINESTRING (51.9612432 27.8699876, 51.9611687 27.8701497)",
552453774,False,residential,False,94.66,30,"LINESTRING (51.9612432 27.8699876, 51.9621363 27.870306)",
552453774,False,residential,True,117.16499999999999,30,"LINESTRING (51.9612432 27.8699876, 51.9606639 27.8698224, 51.9601538 27.8695724)",
552452188,False,residential,False,99.141,30,"LINESTRING (51.9595486 27.8781448, 51.9594011 27.8781701, 51.9586624 27.8777836)",
552452180,False,tertiary,False,51.025,,"LINESTRING (51.9595503 27.8766291, 51.9598403 27.8762485)",مهاجر
552452180,False,tertiary,True,76.907,,"LINESTRING (51.9595503 27.8766291, 51.9591131 27.8772027)",مهاجر
552595360,False,residential,False,158.607,30,"LINESTRING (51.9595503 27.8766291, 51.9607186 27.877613)",تعاون
552595360,False,residential,True,115.483,30,"LINESTRING (51.9595503 27.8766291, 51.9585389 27.8761006)",تعاون
552452178,False,residential,False,137.842,30,"LINESTRING (51.9596616 27.8749514, 51.9585428 27.874204)",
552452178,False,residential,True,96.931,30,"LINESTRING (51.9596616 27.8749514, 51.9604762 27.8754427)",
552453772,False,residential,False,54.532,30,"LINESTRING (51.9596616 27.8749514, 51.9600525 27.8746034)",
552453772,False,residential,True,48.872,30,"LINESTRING (51.9596616 27.8749514, 51.9593238 27.8752739)",
552452166,False,residential,False,32.153,30,"LINESTRING (51.9584624 27.8784715, 51.958324 27.8782095)",
552452174,False,residential,True,40.975,30,"LINESTRING (51.9584624 27.8784715, 51.9586707 27.8781523)",
552452177,False,residential,False,47.509,30,"LINESTRING (51.9576731 27.8740011, 51.9572852 27.8737462)",
552452177,False,residential,True,84.249,30,"LINESTRING (51.9576731 27.8740011, 51.9583083 27.8745098)",
552453781,False,residential,False,34.965,30,"LINESTRING (51.9576731 27.8740011, 51.9579153 27.8737708)",
552453781,False,residential,True,45.371,30,"LINESTRING (51.9576731 27.8740011, 51.9574021 27.8743314)",
552452178,False,residential,False,40.447,30,"LINESTRING (51.9574907 27.8734657, 51.9577182 27.8731626)",
552452178,False,residential,True,53.785,30,"LINESTRING (51.9574907 27.8734657, 51.9579153 27.8737708)",
1083110513,False,residential,False,37.16,,"LINESTRING (51.9574907 27.8734657, 51.9572852 27.8737462)",
193310016,True,secondary,False,84.907,,"LINESTRING (51.9566951 27.8751642, 51.9566255 27.8759253)",
552595360,False,residential,False,74.504,30,"LINESTRING (51.9566951 27.8751642, 51.9573679 27.8754728)",تعاون
552452168,False,residential,False,103.546,30,"LINESTRING (51.9580906 27.8768915, 51.9590327 27.8773082)",
552452168,False,residential,True,75.901,30,"LINESTRING (51.9580906 27.8768915, 51.9573828 27.8766186)",
552452185,False,residential,False,98.366,30,"LINESTRING (51.9580906 27.8768915, 51.9585389 27.8761006)",
552452185,False,residential,True,52.022,30,"LINESTRING (51.9580906 27.8768915, 51.9578052 27.8772855)",
552452178,False,residential,False,96.931,30,"LINESTRING (51.9604762 27.8754427, 51.9596616 27.8749514)",
552452178,False,residential,True,174.008,30,"LINESTRING (51.9604762 27.8754427, 51.9618998 27.8763729)",
552452180,False,tertiary,False,53.744,,"LINESTRING (51.9604762 27.8754427, 51.9607608 27.87503)",مهاجر
552452180,False,tertiary,True,56.282,,"LINESTRING (51.9604762 27.8754427, 51.9601668 27.8758686)",مهاجر
552452184,False,residential,False,84.646,30,"LINESTRING (51.963651 27.8769888, 51.9629986 27.8764919)",
552452187,False,tertiary,False,15.453,30,"LINESTRING (51.9642973 27.8728286, 51.9642923 27.8726897)",امام خمینی
552452187,False,tertiary,True,63.927,30,"LINESTRING (51.9642973 27.8728286, 51.9641412 27.8733867)",امام خمینی
552595115,False,residential,False,22.149,30,"LINESTRING (51.9642973 27.8728286, 51.9640872 27.8727566)",
552452180,False,tertiary,False,59.063,,"LINESTRING (51.9607608 27.87503, 51.9610634 27.8745711)",مهاجر
552452180,False,tertiary,True,53.744,,"LINESTRING (51.9607608 27.87503, 51.9604762 27.8754427)",مهاجر
552452182,False,residential,False,80.777,30,"LINESTRING (51.9607608 27.87503, 51.9614803 27.875381)",مادر
552452182,False,residential,True,84.245,30,"LINESTRING (51.9607608 27.87503, 51.9600525 27.8746034)",مادر
193310016,True,secondary,False,112.767,,"LINESTRING (51.9568112 27.8738822, 51.9567196 27.8748931)",
552452167,False,residential,False,26.876,30,"LINESTRING (51.9568112 27.8738822, 51.9570185 27.8740398)",معلم
399192421,False,tertiary,False,175.15,,"LINESTRING (51.961337 27.8741171, 51.9629616 27.8747642)",دانش آموز
399192421,False,tertiary,True,80.25,,"LINESTRING (51.961337 27.8741171, 51.9606272 27.8737605)",دانش آموز
552452180,False,tertiary,False,107.728,,"LINESTRING (51.961337 27.8741171, 51.9618056 27.8732413)",مهاجر
552452180,False,tertiary,True,57.199,,"LINESTRING (51.961337 27.8741171, 51.9610634 27.8745711)",مهاجر
552452179,False,residential,False,52.865,30,"LINESTRING (51.9592268 27.8735805, 51.9595256 27.8731852)",
552452179,False,residential,True,51.963,30,"LINESTRING (51.9592268 27.8735805, 51.9588595 27.8739166)",
552452186,False,residential,False,93.426,30,"LINESTRING (51.9592268 27.8735805, 51.9584543 27.873091)",
552452186,False,residential,True,131.212,30,"LINESTRING (51.9592268 27.8735805, 51.9603573 27.874208)",
552452178,False,residential,False,174.008,30,"LINESTRING (51.9618998 27.8763729, 51.9604762 27.8754427)",
552452178,False,residential,True,91.322,30,"LINESTRING (51.9618998 27.8763729, 51.9626009 27.8769118)",
552452187,False,tertiary,False,52.002,30,"LINESTRING (51.9618998 27.8763729, 51.9622398 27.8760146)",امام خمینی
552452187,False,tertiary,True,52.345,30,"LINESTRING (51.9618998 27.8763729, 51.9615576 27.8767336)",امام خمینی
552452187,False,tertiary,False,42.368,30,"LINESTRING (51.9640378 27.8737566, 51.9641412 27.8733867)",امام خمینی
552452187,False,tertiary,True,38.885,30,"LINESTRING (51.9640378 27.8737566, 51.9638457 27.8740623)",امام خمینی
552453770,False,residential,False,48.344,30,"LINESTRING (51.9640378 27.8737566, 51.9636098 27.8735424)",
552452177,False,residential,False,131.081,30,"LINESTRING (51.9593238 27.8752739, 51.9583083 27.8745098)",
552452177,False,residential,True,106.013,30,"LINESTRING (51.9593238 27.8752739, 51.9601668 27.8758686)",
552453772,False,residential,False,48.872,30,"LINESTRING (51.9593238 27.8752739, 51.9596616 27.8749514)",
552453772,False,residential,True,46.811,30,"LINESTRING (51.9593238 27.8752739, 51.9589736 27.8755592)",
552452179,False,residential,False,98.431,30,"LINESTRING (51.9573679 27.8754728, 51.9580286 27.8748076)",
552452179,False,residential,True,114.985,30,"LINESTRING (51.9573679 27.8754728, 51.9569261 27.8764303)",
552595360,False,residential,False,55.637,30,"LINESTRING (51.9573679 27.8754728, 51.9578502 27.8757347)",تعاون
552595360,False,residential,True,74.504,30,"LINESTRING (51.9573679 27.8754728, 51.9566951 27.8751642)",تعاون
552452187,False,tertiary,False,38.301,30,"LINESTRING (51.962625 27.8756164, 51.9628927 27.8753661)",امام خمینی
552452187,False,tertiary,True,38.943,30,"LINESTRING (51.962625 27.8756164, 51.9623661 27.8758815)",امام خمینی
552595351,False,residential,False,88.637,30,"LINESTRING (51.962625 27.8756164, 51.9633572 27.8760817)",
552452173,False,residential,True,108.493,30,"LINESTRING (51.9578502 27.8757347, 51.9573828 27.8766186)",
552595360,False,residential,False,78.98,30,"LINESTRING (51.9578502 27.8757347, 51.9585389 27.8761006)",تعاون
552595360,False,residential,True,55.637,30,"LINESTRING (51.9578502 27.8757347, 51.9573679 27.8754728)",تعاون
552452164,False,residential,False,88.152,30,"LINESTRING (51.9582078 27.8712215, 51.95906 27.8714684)",
552452164,False,residential,True,15.255,30,"LINESTRING (51.9582078 27.8712215, 51.9580693 27.8711596)",
