osmid,highway,oneway,reversed,length,name,geometry,bridge,junction,maxspeed
540412511,secondary,False,False,32.155,,"LINESTRING (61.678893 30.8952211, 61.6790213 30.8954885)",,,
545215541,secondary,True,False,208.192,بلوار امام خمینی,"LINESTRING (61.678893 30.8952211, 61.6788125 30.895083, 61.678775 30.8949104, 61.678791 30.8941255, 61.6788071 30.8938885, 61.6788849 30.8933729)",,,
"[593347345, 936194204, 936194205]",residential,False,True,92.011,,"LINESTRING (61.678893 30.8952211, 61.6789736 30.8955226, 61.6790111 30.8958416, 61.6789775 30.8958679, 61.6788702 30.8959513, 61.6788408 30.8959745)",yes,,
540412537,secondary,True,False,4.934,میدان نماز,"LINESTRING (61.6788674 30.897581, 61.678825 30.8975556)",,roundabout,
540412537,secondary,True,False,37.076,میدان نماز,"LINESTRING (61.6791904 30.8974939, 61.6791427 30.8975574, 61.6790698 30.8975998, 61.6789834 30.8976144, 61.6788972 30.8975988, 61.6788674 30.897581)",,roundabout,
540412537,secondary,True,False,8.407,میدان نماز,"LINESTRING (61.6792054 30.8974194, 61.6791904 30.8974939)",,roundabout,
540412537,secondary,True,False,50.414,میدان نماز,"LINESTRING (61.6788163 30.8973026, 61.6788855 30.8972558, 61.6789704 30.897236, 61.6790577 30.8972462, 61.6791334 30.8972849, 61.6791854 30.8973459, 61.6792054 30.8974194)",,roundabout,
540412537,secondary,True,False,30.655,میدان نماز,"LINESTRING (61.678825 30.8975556, 61.6787811 30.8974979, 61.6787641 30.8974305, 61.6787764 30.8973624, 61.6788163 30.8973026)",,roundabout,
540412538,secondary,True,False,35.082,تربیت,"LINESTRING (61.678825 30.8975556, 61.678673 30.8975296, 61.6784665 30.8974859)",,,
540412538,secondary,True,False,39.131,تربیت,"LINESTRING (61.6784665 30.8974859, 61.6786596 30.8973777, 61.6788163 30.8973026)",,,
540412546,residential,False,True,174.713,,"LINESTRING (61.6864085 30.891596, 61.6858479 30.8912899, 61.685518 30.8910942, 61.685459 30.8910022, 61.6853625 30.8904566)",,,30
540412548,tertiary,False,False,678.3709999999999,,"LINESTRING (61.6864085 30.891596, 61.6863093 30.8920747, 61.6862449 30.8925489, 61.6862154 30.8934281, 61.6862985 30.8939322, 61.6863844 30.8943442, 61.6864407 30.8950807, 61.6865051 30.8953431, 61.6864514 30.8956101, 61.6862369 30.8958218, 61.6857111 30.8961763, 61.6853034 30.8963696, 61.6847831 30.8964847, 61.6843969 30.8965492)",,,
540412548,tertiary,False,True,195.118,,"LINESTRING (61.6864085 30.891596, 61.6865587 30.8911955, 61.6868269 30.890574, 61.6868591 30.8903208, 61.6868269 30.8901183, 61.686666 30.8899572)",,,
540412546,residential,False,False,174.713,,"LINESTRING (61.6853625 30.8904566, 61.685459 30.8910022, 61.685518 30.8910942, 61.6858479 30.8912899, 61.6864085 30.891596)",,,30
540412546,residential,False,True,141.637,,"LINESTRING (61.6853625 30.8904566, 61.6853383 30.8903185, 61.6853356 30.890093, 61.6853732 30.8897822, 61.6854885 30.8895705, 61.6857058 30.8892597)",,,30
540412547,residential,False,True,122.586,,"LINESTRING (61.6853625 30.8904566, 61.685451 30.8904313, 61.6862047 30.8896395)",,,30
540412548,tertiary,False,True,56.441,,"LINESTRING (61.686666 30.8899572, 61.6862047 30.8896395)",,,
593347327,residential,False,True,111.061,,"LINESTRING (61.686666 30.8899572, 61.6874378 30.8892096)",,,
540412548,tertiary,False,False,195.118,,"LINESTRING (61.686666 30.8899572, 61.6868269 30.8901183, 61.6868591 30.8903208, 61.6868269 30.890574, 61.6865587 30.8911955, 61.6864085 30.891596)",,,
540412548,tertiary,False,False,56.441,,"LINESTRING (61.6862047 30.8896395, 61.686666 30.8899572)",,,
540412548,tertiary,False,True,16.119,,"LINESTRING (61.6862047 30.8896395, 61.6860813 30.8895405)",,,
540412547,residential,False,False,122.586,,"LINESTRING (61.6862047 30.8896395, 61.685451 30.8904313, 61.6853625 30.8904566)",,,30
540412548,tertiary,False,False,47.527,,"LINESTRING (61.6857058 30.8892597, 61.6860813 30.8895405)",,,
540412546,residential,False,False,141.637,,"LINESTRING (61.6857058 30.8892597, 61.6854885 30.8895705, 61.6853732 30.8897822, 61.6853356 30.890093, 61.6853383 30.8903185, 61.6853625 30.8904566)",,,30
