osmid,highway,oneway,reversed,length,geometry,name,junction,maxspeed,lanes
510877004,residential,False,False,34.526,"LINESTRING (48.5561891 34.8849467, 48.5565379 34.8848261)",,,,
510877004,residential,False,True,83.401,"LINESTRING (48.5561891 34.8849467, 48.555331 34.885003, 48.5552785 34.8849945)",,,,
541681565,residential,False,False,97.526,"LINESTRING (48.5561891 34.8849467, 48.5564222 34.8852879, 48.5566793 34.8857257)",,,,
541681669,residential,False,False,260.683,"LINESTRING (48.5561891 34.8849467, 48.5561244 34.8855097, 48.5561212 34.8857755, 48.5557626 34.8858783, 48.5562005 34.8867212, 48.5563548 34.8869768)",شهید حسنی ۳,,,
510877007,tertiary,False,True,40.567,"LINESTRING (48.5541542 34.8815118, 48.5542114 34.8818736)",آزادی,,,
541681560,residential,False,False,84.532,"LINESTRING (48.5541542 34.8815118, 48.5533104 34.8818261)",,,,
510877006,residential,False,False,16.561,"LINESTRING (48.5572596 34.8866516, 48.5573124 34.8867941)",,,,
510877006,residential,False,True,240.63799999999998,"LINESTRING (48.5572596 34.8866516, 48.5589256 34.8861654, 48.5597579 34.8859578)",,,,
541681565,residential,False,True,126.052,"LINESTRING (48.5572596 34.8866516, 48.5571014 34.8863717, 48.5568221 34.8862936, 48.5567967 34.8860434, 48.5566793 34.8857257)",,,,
510877005,residential,False,False,56.427,"LINESTRING (48.5551523 34.8843451, 48.5552156 34.8848499)",,,,
510877005,residential,False,True,43.278,"LINESTRING (48.5551523 34.8843451, 48.5547806 34.8841032)",,,,
1245991462,residential,False,True,160.832,"LINESTRING (48.5551523 34.8843451, 48.5557558 34.8844698, 48.5564114 34.8844425, 48.5565379 34.8848261)",,,,
510877005,residential,False,True,17.072,"LINESTRING (48.5552785 34.8849945, 48.5552156 34.8848499)",,,,
510877004,residential,False,False,83.401,"LINESTRING (48.5552785 34.8849945, 48.555331 34.885003, 48.5561891 34.8849467)",,,,
510877005,residential,False,False,87.645,"LINESTRING (48.5552785 34.8849945, 48.5549968 34.8854042, 48.5548481 34.8856977)",,,,
541681560,residential,False,True,84.532,"LINESTRING (48.5533104 34.8818261, 48.5541542 34.8815118)",,,,
510877003,tertiary,True,False,30.719,"LINESTRING (48.55441 34.8833175, 48.5545262 34.8835768)",,roundabout,,
510877007,tertiary,False,False,42.069,"LINESTRING (48.55441 34.8833175, 48.5543462 34.8829428)",آزادی,,,
510877004,residential,False,False,44.857,"LINESTRING (48.5592129 34.8845645, 48.5595642 34.8848468)",,,,
510877004,residential,False,True,126.43100000000001,"LINESTRING (48.5592129 34.8845645, 48.5583178 34.884486, 48.557838 34.8845489)",,,,
541681627,residential,False,False,134.165,"LINESTRING (48.5592129 34.8845645, 48.5593738 34.8841375, 48.5596446 34.8839777, 48.5600793 34.8836475)",جامع,,,
541681644,residential,False,False,74.633,"LINESTRING (48.5530595 34.8840583, 48.5532348 34.8847139)",حمید احمدی,,,
541681711,tertiary,False,False,27.977,"LINESTRING (48.5530595 34.8840583, 48.5532614 34.8838689)",امام خمینی,,,
541681711,tertiary,False,True,22.384,"LINESTRING (48.5530595 34.8840583, 48.5528141 34.8840592)",امام خمینی,,,
1185098959,residential,False,False,75.998,"LINESTRING (48.5541977 34.8889977, 48.5545465 34.8896184)",,,,
1200741066,residential,False,False,31.318,"LINESTRING (48.5541977 34.8889977, 48.5539529 34.8891952)",اول راه امزاجرد,,,
1200741066,residential,False,True,21.7,"LINESTRING (48.5541977 34.8889977, 48.5543413 34.8888421)",اول راه امزاجرد,,,
510877005,residential,False,False,31.956,"LINESTRING (48.5545028 34.8839281, 48.5547806 34.8841032)",,,,
510877003,tertiary,True,False,48.215,"LINESTRING (48.5545028 34.8839281, 48.5544027 34.8838989, 48.5543019 34.8838462, 48.5542215 34.8837899, 48.5541363 34.8836441)",,roundabout,,
541681711,tertiary,False,False,57.959,"LINESTRING (48.5521804 34.8840974, 48.5528141 34.8840592)",امام خمینی,,,
541681631,residential,False,False,113.46799999999999,"LINESTRING (48.5521804 34.8840974, 48.5519701 34.8836082, 48.5518135 34.8836708, 48.551661 34.8833345)",,,,
541681711,tertiary,False,True,72.132,"LINESTRING (48.5521804 34.8840974, 48.5518717 34.8841475, 48.5514841 34.8843743)",امام خمینی,,,
541681589,residential,False,False,77.088,"LINESTRING (48.5514841 34.8843743, 48.5518147 34.884732, 48.5516809 34.8848375, 48.5515996 34.8849011)",,,,
541681711,tertiary,False,False,72.132,"LINESTRING (48.5514841 34.8843743, 48.5518717 34.8841475, 48.5521804 34.8840974)",امام خمینی,,,
510877005,residential,False,False,55.156,"LINESTRING (48.5543038 34.8860779, 48.5545608 34.8865269)",,,,
