osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,bridge,maxspeed
26923331,میدان امام خمینی,secondary,roundabout,True,False,87.481,"LINESTRING (53.3286973 35.7734016, 53.3286616 35.7734378, 53.3286157 35.7734652, 53.3285625 35.773482, 53.3285059 35.7734871, 53.3284495 35.7734801, 53.3283972 35.7734615, 53.3283527 35.7734326, 53.328319 35.7733953, 53.3282983 35.7733522, 53.328292 35.7733062, 53.3283007 35.7732604, 53.3283236 35.773218, 53.3283593 35.7731819, 53.3284053 35.7731546, 53.3284585 35.7731378, 53.3285152 35.7731328, 53.3285715 35.7731398)",,,
26923331,میدان امام خمینی,secondary,roundabout,True,False,4.841,"LINESTRING (53.3285715 35.7731398, 53.3286208 35.773157)",,,
26923337,خیابان دکتر بهشتی,tertiary,,False,False,34.106,"LINESTRING (53.3285715 35.7731398, 53.3285858 35.7728333)",,,
203027419,امام خمینی,secondary,,True,False,131.38,"LINESTRING (53.3286208 35.773157, 53.3297265 35.7723881)",2,,
26923331,میدان امام خمینی,secondary,roundabout,True,False,8.566,"LINESTRING (53.3286208 35.773157, 53.3286663 35.7731858, 53.3286886 35.77321)",,,
26923335,ساری,secondary,,False,False,12.289,"LINESTRING (53.3290912 35.7735666, 53.3292108 35.7735137)",,,
1038229466,شهید جاوید پور,secondary,,False,False,15.302,"LINESTRING (53.3290912 35.7735666, 53.3289382 35.773626)",,,
26923333,تیرانداز - شهید مطهری,tertiary,,False,True,129.525,"LINESTRING (53.3290912 35.7735666, 53.3289975 35.7739658, 53.3289299 35.7743069, 53.3289492 35.7744935, 53.3290223 35.7746432, 53.3290574 35.7747013)",,,
26923336,شهید جاوید پور,tertiary,,False,False,73.858,"LINESTRING (53.3289382 35.773626, 53.3281553 35.7738202)",,,
1038229466,شهید جاوید پور,secondary,,False,True,15.302,"LINESTRING (53.3289382 35.773626, 53.3290912 35.7735666)",,,
"[203027441, 1023542694, 1023542695]",,secondary,,True,False,33.119,"LINESTRING (53.3289382 35.773626, 53.3288446 35.7735294, 53.3287809 35.7734741, 53.3286973 35.7734016)",,yes,
26923336,شهید جاوید پور,tertiary,,False,True,73.858,"LINESTRING (53.3281553 35.7738202, 53.3289382 35.773626)",,,
26923336,شهید جاوید پور,tertiary,,False,False,117.221,"LINESTRING (53.3281553 35.7738202, 53.3278768 35.7739094, 53.3277534 35.7739431, 53.327642 35.7739639, 53.3271728 35.7740458, 53.3269024 35.7740885)",,,
705166237,شاهین,unclassified,,False,True,229.345,"LINESTRING (53.3281553 35.7738202, 53.3281768 35.7738958, 53.3282197 35.7740982, 53.3282251 35.7742287, 53.3277054 35.7744688, 53.3275466 35.7750054, 53.3273504 35.7755963)",,,
26923333,تیرانداز - شهید مطهری,tertiary,,False,False,35.304,"LINESTRING (53.3296934 35.7757889, 53.3295679 35.7755434, 53.3295475 35.7754944)",,,
26923333,تیرانداز - شهید مطهری,tertiary,,False,True,28.42,"LINESTRING (53.3296934 35.7757889, 53.329868 35.7759253, 53.329904 35.7759765)",,,
