osmid,oneway,highway,maxspeed,reversed,length,geometry,junction
563838307,True,secondary,40,False,30.933,"LINESTRING (52.9618983 28.3481822, 52.9619482 28.3484569)",
563897342,False,residential,,True,74.059,"LINESTRING (52.9618983 28.3481822, 52.9626435 28.3480661)",
563838308,True,secondary,40,False,24.155,"LINESTRING (52.961725 28.3478375, 52.9618411 28.3476458)",
563897308,True,residential,,False,12.741,"LINESTRING (52.961725 28.3478375, 52.9616581 28.3477392)",
563838307,True,secondary,40,False,60.783,"LINESTRING (52.9619569 28.3476606, 52.9618422 28.3478949, 52.9618983 28.3481822)",
563838308,True,secondary,40,False,137.219,"LINESTRING (52.9618037 28.3496666, 52.9619402 28.3494929, 52.9619593 28.3493372, 52.9619724 28.3492305, 52.961925 28.3489209, 52.961838 28.348481)",
563838307,True,secondary,40,False,55.408,"LINESTRING (52.9620951 28.3492442, 52.9620238 28.3494852, 52.9619048 28.3497114)",
563897294,False,residential,,True,78.375,"LINESTRING (52.9620951 28.3492442, 52.9627605 28.3491184, 52.9628789 28.3491372)",
563897315,False,residential,,True,110.52199999999999,"LINESTRING (52.9619048 28.3497114, 52.9623159 28.3497963, 52.9629969 28.3496287)",
563838307,True,secondary,40,False,70.617,"LINESTRING (52.9624307 28.3471816, 52.9619569 28.3476606)",
563839733,True,tertiary,30,False,165.10399999999998,"LINESTRING (52.9624307 28.3471816, 52.9623994 28.3473302, 52.9624432 28.3473899, 52.9625245 28.3474055, 52.9627489 28.3473909, 52.9638557 28.3472066)",
563838308,True,secondary,40,False,88.98,"LINESTRING (52.9618411 28.3476458, 52.9619722 28.3474666, 52.9623979 28.3470146)",
563839744,False,residential,,False,27.368,"LINESTRING (52.9677196 28.3467004, 52.9677806 28.3469406)",
563839744,False,residential,,True,15.256,"LINESTRING (52.9677196 28.3467004, 52.9676856 28.3465665)",
658688682,True,tertiary,,False,89.357,"LINESTRING (52.9677196 28.3467004, 52.9671108 28.3467885, 52.9668186 28.3468308)",
563839729,True,residential,,False,113.883,"LINESTRING (52.9698018 28.344061, 52.9686546 28.3442328)",
563839731,True,residential,,False,16.666,"LINESTRING (52.9698018 28.344061, 52.9697812 28.3440211, 52.9697754 28.3439777, 52.9697807 28.3439469, 52.9697935 28.3439178)",roundabout
563839730,True,tertiary,,False,37.012,"LINESTRING (52.9664633 28.346534, 52.966557 28.3465451, 52.966644 28.3465778, 52.966718 28.3466296, 52.9667737 28.3466968)",roundabout
563839731,True,residential,,False,12.975999999999999,"LINESTRING (52.9698322 28.3438752, 52.9698696 28.3438544, 52.9699119 28.3438433, 52.9699561 28.3438428)",roundabout
563839728,False,residential,,False,30.945,"LINESTRING (52.9689831 28.3458831, 52.9690378 28.3461572)",
563839728,False,residential,,True,30.426,"LINESTRING (52.9689831 28.3458831, 52.9689293 28.3456136)",
563839738,False,residential,,True,122.14,"LINESTRING (52.9689831 28.3458831, 52.9702125 28.3456938)",
563838307,True,secondary,40,False,51.677,"LINESTRING (52.9659377 28.3445188, 52.9656736 28.3447202, 52.9655623 28.3448276, 52.9655522 28.3448354)",
563839728,False,residential,,False,18.275,"LINESTRING (52.9686212 28.3440711, 52.9686546 28.3442328)",
563839736,True,residential,,False,115.986,"LINESTRING (52.9686212 28.3440711, 52.9697935 28.3439178)",
563839728,False,residential,,True,182.375,"LINESTRING (52.9686212 28.3440711, 52.9683672 28.3430658, 52.968252 28.3427248, 52.9681033 28.3425065)",
