osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,junction
69995132,True,بلوار پاسداران,secondary,60,False,19.308,,"LINESTRING (54.0695064 36.8923921, 54.06971 36.8924524)",
122797451,False,,primary,,False,10.491,,"LINESTRING (54.067267 36.8936752, 54.0671498 36.893686)",
122797609,True,آزادی,primary,40,False,121.531,18,"LINESTRING (54.067267 36.8936752, 54.0674635 36.8947568)",
53396973,False,,primary,,False,10.215,,"LINESTRING (54.0669775 36.8926912, 54.0670913 36.8926787)",
122797496,True,بلوار آزادی,primary,,False,78.768,18,"LINESTRING (54.0669775 36.8926912, 54.0668589 36.8919892)",
122797451,False,,primary,,True,10.491,,"LINESTRING (54.0671498 36.893686, 54.067267 36.8936752)",
408540728,True,آزادی,primary,40,False,70.463,18,"LINESTRING (54.0671498 36.893686, 54.0670411 36.8930583)",
122797458,True,پاسداران ۳,residential,30,False,102.239,,"LINESTRING (54.0688655 36.8896808, 54.0677252 36.8897976)",
122797600,True,بلوار پاسداران,secondary,60,False,100.625,,"LINESTRING (54.0688655 36.8896808, 54.0687008 36.8887855)",
122797549,False,,residential,30,True,129.011,,"LINESTRING (54.0719745 36.8885055, 54.071814 36.8896586)",
"[970258922, 122797556]",False,"['پاسداران ۶', 'امیرکبیر ۷']",residential,30,True,97.117,,"LINESTRING (54.0719745 36.8885055, 54.0713891 36.8885646, 54.0708918 36.8886192)",
122797439,False,پاسداران ۵,residential,30,False,113.843,,"LINESTRING (54.0687008 36.8887855, 54.0674312 36.8889163)",
69995132,True,بلوار پاسداران,secondary,60,False,96.414,,"LINESTRING (54.068881 36.8888455, 54.0690348 36.8897038)",
122797556,False,پاسداران ۶,residential,30,False,180.603,,"LINESTRING (54.068881 36.8888455, 54.0696332 36.8887513, 54.0708918 36.8886192)",
122797439,False,پاسداران ۵,residential,30,True,52.476,,"LINESTRING (54.0664698 36.8889983, 54.0670565 36.888948)",
373408781,True,بلوار آزادی,primary,,False,102.344,18,"LINESTRING (54.0664698 36.8889983, 54.0666042 36.8899124)",
1157356639,False,,primary_link,,True,10.238,,"LINESTRING (54.0664698 36.8889983, 54.0663557 36.8890105)",
122797549,False,,residential,30,False,129.011,,"LINESTRING (54.071814 36.8896586, 54.0719745 36.8885055)",
539472811,False,پاسداران ۴ -امیرکبیر ۵,residential,30,False,100.064,,"LINESTRING (54.071814 36.8896586, 54.0706891 36.8896779)",
539472811,False,پاسداران ۴ -امیرکبیر ۵,residential,30,True,31.401,,"LINESTRING (54.071814 36.8896586, 54.072167 36.8896525)",
69995132,True,بلوار پاسداران,secondary,60,False,107.806,,"LINESTRING (54.0690348 36.8897038, 54.0692069 36.8906635)",
539472811,False,پاسداران ۴ -امیرکبیر ۵,residential,30,True,136.805,,"LINESTRING (54.0690348 36.8897038, 54.0694513 36.8896992, 54.0705728 36.8896799)",
373408781,True,بلوار آزادی,primary,,False,192.083,18,"LINESTRING (54.0666042 36.8899124, 54.0669024 36.8916233)",
408541915,False,امیر کبیر۳,residential,30,False,54.972,,"LINESTRING (54.0736086 36.8908217, 54.0729947 36.8908795)",
1011224949,False,امیرکبیر,tertiary,,False,92.357,,"LINESTRING (54.0736086 36.8908217, 54.0736767 36.8916505)",
1011224949,False,امیرکبیر,tertiary,,True,134.844,,"LINESTRING (54.0736086 36.8908217, 54.0735544 36.8896098)",
122797477,True,پاسداران ۱,residential,30,False,62.235,,"LINESTRING (54.0691716 36.8913442, 54.0684799 36.8914292)",
122797600,True,بلوار پاسداران,secondary,60,False,186.954,,"LINESTRING (54.0691716 36.8913442, 54.0688655 36.8896808)",
1190533017,False,,secondary_link,,True,13.519,,"LINESTRING (54.0691716 36.8913442, 54.0693209 36.8913213)",
373408781,True,بلوار آزادی,primary,,False,39.685,18,"LINESTRING (54.0669024 36.8916233, 54.0669656 36.8919766)",
1011224949,False,امیرکبیر,tertiary,,True,77.178,,"LINESTRING (54.0737575 36.892341, 54.0737151 36.8921178, 54.0736767 36.8916505)",
