osmid,highway,oneway,reversed,length,geometry,ref,name,junction,bridge
544944842,residential,False,False,240.41400000000002,"LINESTRING (50.6714023 32.315526, 50.6714572 32.3151993, 50.6714703 32.3151491, 50.671521 32.3151019, 50.6716914 32.3150407, 50.6717302 32.3149682, 50.6717126 32.3148788, 50.6716071 32.3146647, 50.6716403 32.3143103, 50.6716144 32.3141944, 50.671521 32.3141483, 50.6709282 32.3138301)",,,,
1215695539,trunk,True,False,12.295,"LINESTRING (50.6714023 32.315526, 50.671503 32.3155771, 50.6715141 32.3155834)",514,بلوار انقلاب,,
1215695537,trunk,True,False,4.971,"LINESTRING (50.676255 32.3166685, 50.6762729 32.316652, 50.6762951 32.3166399)",,,roundabout,
177634491,trunk,True,False,13.78,"LINESTRING (50.6764085 32.3166534, 50.6765491 32.3166182)",514,بلوار انقلاب,,
1215695537,trunk,True,False,11.346,"LINESTRING (50.6764085 32.3166534, 50.6764328 32.3166805, 50.6764431 32.3167134, 50.6764377 32.3167471)",,,roundabout,
875372432,residential,False,True,51.608,"LINESTRING (50.6765491 32.3166182, 50.6764219 32.3161667)",,,,
177634491,trunk,True,False,50.978,"LINESTRING (50.6765491 32.3166182, 50.6768251 32.3165113, 50.6770346 32.3164143)",514,بلوار انقلاب,,
1033865340,residential,False,False,45.418,"LINESTRING (50.6784143 32.3157758, 50.6781497 32.315434)",,,,
177634491,trunk,True,False,232.749,"LINESTRING (50.6784143 32.3157758, 50.680477 32.314808, 50.6805794 32.3147593)",514,بلوار انقلاب,,
177634504,trunk,True,False,18.7,"LINESTRING (50.6766295 32.3167023, 50.6764377 32.3167471)",514,بلوار انقلاب,,
751224056,residential,False,False,64.266,"LINESTRING (50.6766295 32.3167023, 50.6772552 32.3169356)",,,,
1215695537,trunk,True,False,11.805,"LINESTRING (50.6764377 32.3167471, 50.6764164 32.3167776, 50.6763826 32.3167985, 50.6763418 32.3168063)",,,roundabout,
1215695537,trunk,True,False,10.311,"LINESTRING (50.6762466 32.3167571, 50.6762367 32.3167273, 50.6762396 32.3166965, 50.676255 32.3166685)",,,roundabout,
1215695538,trunk,True,False,62.884,"LINESTRING (50.6762466 32.3167571, 50.6760838 32.3167479, 50.6759272 32.3167302, 50.6757338 32.3166894, 50.6755903 32.3166565)",514,بلوار انقلاب,,
258462239,residential,False,True,8.981,"LINESTRING (50.674522 32.3207293, 50.6744447 32.3207768)",,صاحب الزمان,,
258462239,residential,False,False,100.66000000000001,"LINESTRING (50.674522 32.3207293, 50.6743665 32.3203757, 50.674227 32.3202148, 50.6740714 32.3200992, 50.6739159 32.3200199)",,صاحب الزمان,,
258462239,residential,False,False,60.799,"LINESTRING (50.6739159 32.3200199, 50.6734974 32.3204369)",,صاحب الزمان,,
1060247308,unclassified,False,False,23.7,"LINESTRING (50.6739159 32.3200199, 50.6740539 32.3198415)",,,,
258462239,residential,False,True,100.66,"LINESTRING (50.6739159 32.3200199, 50.6740714 32.3200992, 50.674227 32.3202148, 50.6743665 32.3203757, 50.674522 32.3207293)",,صاحب الزمان,,
258462239,residential,False,True,60.799,"LINESTRING (50.6734974 32.3204369, 50.6739159 32.3200199)",,صاحب الزمان,,
