osmid,highway,oneway,reversed,length,geometry,junction,bridge
147046470,residential,False,False,175.25799999999998,"LINESTRING (57.0014439 37.6477626, 57.0016563 37.6478329, 57.0019073 37.6479338, 57.0022471 37.6480714, 57.0024904 37.6482059, 57.0027298 37.6483282, 57.003004 37.6484475, 57.0030661 37.6486003)",,
147046449,residential,False,False,184.591,"LINESTRING (57.0013639 37.6483371, 57.0017258 37.6484995, 57.0020617 37.6486615, 57.0025754 37.6488725, 57.0030001 37.6490804, 57.0031902 37.6491498)",,
584527979,residential,False,False,186.30200000000002,"LINESTRING (57.0013639 37.6483371, 57.0014055 37.6482158, 57.001877 37.6483369, 57.0024578 37.6485924, 57.003186 37.6488493)",,
584527979,residential,False,True,40.589,"LINESTRING (57.0013639 37.6483371, 57.0013297 37.648437, 57.0013342 37.6486985)",,
584527984,residential,False,True,29.632,"LINESTRING (57.0030661 37.6486003, 57.003186 37.6488493)",,
147046470,residential,False,True,175.25799999999998,"LINESTRING (57.0030661 37.6486003, 57.003004 37.6484475, 57.0027298 37.6483282, 57.0024904 37.6482059, 57.0022471 37.6480714, 57.0019073 37.6479338, 57.0016563 37.6478329, 57.0014439 37.6477626)",,
584530016,residential,False,False,110.533,"LINESTRING (57.0030661 37.6486003, 57.003699 37.6485139, 57.0037914 37.6489939)",,
584527984,residential,False,False,29.632,"LINESTRING (57.003186 37.6488493, 57.0030661 37.6486003)",,
584527979,residential,False,True,186.302,"LINESTRING (57.003186 37.6488493, 57.0024578 37.6485924, 57.001877 37.6483369, 57.0014055 37.6482158, 57.0013639 37.6483371)",,
584527984,residential,False,True,33.421,"LINESTRING (57.003186 37.6488493, 57.003186 37.6490664, 57.0031902 37.6491498)",,
147046419,residential,False,False,58.286,"LINESTRING (57.0037914 37.6489939, 57.0031937 37.6492193)",,
584530016,residential,False,False,39.019,"LINESTRING (57.0037914 37.6489939, 57.0038582 37.6493408)",,
584530016,residential,False,True,110.533,"LINESTRING (57.0037914 37.6489939, 57.003699 37.6485139, 57.0030661 37.6486003)",,
584527984,residential,False,True,7.734,"LINESTRING (57.0031902 37.6491498, 57.0031937 37.6492193)",,
147046449,residential,False,True,184.591,"LINESTRING (57.0031902 37.6491498, 57.0030001 37.6490804, 57.0025754 37.6488725, 57.0020617 37.6486615, 57.0017258 37.6484995, 57.0013639 37.6483371)",,
584527984,residential,False,False,33.421,"LINESTRING (57.0031902 37.6491498, 57.003186 37.6490664, 57.003186 37.6488493)",,
147046419,residential,False,False,41.61,"LINESTRING (57.0031937 37.6492193, 57.0027739 37.6493912)",,
147046419,residential,False,True,58.286,"LINESTRING (57.0031937 37.6492193, 57.0037914 37.6489939)",,
584527984,residential,False,False,7.734,"LINESTRING (57.0031937 37.6492193, 57.0031902 37.6491498)",,
584527984,residential,False,True,48.949,"LINESTRING (57.0031937 37.6492193, 57.00317 37.649466, 57.00317 37.6496588)",,
751022932,residential,True,False,11.997,"LINESTRING (57.0038908 37.6516205, 57.0038176 37.6515295)",,
751022934,residential,True,False,17.461,"LINESTRING (57.0038908 37.6516205, 57.0038885 37.6515728, 57.0039462 37.6515017, 57.0039714 37.651487)",roundabout,
