osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,maxspeed
175074246,True,بلوار جمهوری اسلامی,secondary,False,29.851,,"LINESTRING (51.2076217 29.2669846, 51.2077095 29.2672419)",,
175073969,True,میدان چمران,secondary,False,29.582,roundabout,"LINESTRING (51.2076217 29.2669846, 51.2074797 29.2670332, 51.2073273 29.2670306)",,
175073969,True,میدان چمران,secondary,False,14.786,roundabout,"LINESTRING (51.2073273 29.2670306, 51.2071876 29.2669774)",,
682813257,False,,residential,False,59.723,,"LINESTRING (51.2073273 29.2670306, 51.206979 29.2674735)",,
175073969,True,میدان چمران,secondary,False,44.373,roundabout,"LINESTRING (51.2071876 29.2669774, 51.2070819 29.2668815, 51.2070262 29.2667577, 51.2070291 29.2666247)",,
175073969,True,میدان چمران,secondary,False,44.367000000000004,roundabout,"LINESTRING (51.2070291 29.2666247, 51.2070902 29.2665029, 51.2072 29.2664106, 51.207342 29.2663621)",,
175073969,True,میدان چمران,secondary,False,29.576999999999998,roundabout,"LINESTRING (51.207342 29.2663621, 51.2074944 29.2663646, 51.2076341 29.2664179)",,
175073969,True,میدان چمران,secondary,False,44.365,roundabout,"LINESTRING (51.2076341 29.2664179, 51.2077398 29.2665137, 51.2077955 29.2666375, 51.2077925 29.2667705)",,
766946047,True,چمران,secondary,False,56.134,,"LINESTRING (51.2076341 29.2664179, 51.2080089 29.2664522, 51.2082103 29.2664407)",2,
175073969,True,میدان چمران,secondary,False,29.573,roundabout,"LINESTRING (51.2077925 29.2667705, 51.2077315 29.2668924, 51.2076217 29.2669846)",,
175074014,True,,secondary,False,5.943,roundabout,"LINESTRING (51.2165865 29.2706206, 51.2166052 29.2705964, 51.2166241 29.2705786)",,
762387677,False,مزارعی ۶,residential,True,62.247,,"LINESTRING (51.2166241 29.2705786, 51.2159826 29.2705635)",,30
175074014,True,,secondary,False,17.173,roundabout,"LINESTRING (51.2166241 29.2705786, 51.2166668 29.2705581, 51.2167085 29.2705496, 51.2167512 29.2705516, 51.2167916 29.2705637)",,
175074022,True,بلوار شهدا,secondary,False,49.229,,"LINESTRING (51.2166241 29.2705786, 51.2166507 29.2704045, 51.2166427 29.2701375)",,
175074014,True,,secondary,False,2.859,roundabout,"LINESTRING (51.2167916 29.2705637, 51.2168164 29.2705776)",,
175074022,True,بلوار شهدا,secondary,False,63.098,,"LINESTRING (51.2166427 29.2701375, 51.2166335 29.2695701)",,
346304649,False,مزارعی ۸,residential,False,63.231,,"LINESTRING (51.2166427 29.2701375, 51.215991 29.2701241)",,30
1089112304,False,,secondary_link,False,12.379,,"LINESTRING (51.2165718 29.2671692, 51.2166994 29.2671676)",,
175074069,True,بلوار طالقانی,secondary,False,115.15599999999999,,"LINESTRING (51.2165718 29.2671692, 51.2165814 29.2668671, 51.2165801 29.2665472, 51.2165785 29.2661337)",,
1089112304,False,,secondary_link,True,12.379,,"LINESTRING (51.2166994 29.2671676, 51.2165718 29.2671692)",,
175074029,True,بلوار شهدا,secondary,False,78.42,,"LINESTRING (51.2166994 29.2671676, 51.2167028 29.2675003, 51.2167088 29.2678728)",,
175074040,True,چمران,secondary,False,38.214,,"LINESTRING (51.2110364 29.2671224, 51.2114271 29.2671665)",2,
347094476,False,چمران ۹+بحرینی,residential,True,80.648,,"LINESTRING (51.2110364 29.2671224, 51.2110974 29.2667624, 51.2111322 29.2664023)",,
175074040,True,چمران,secondary,False,59.591,,"LINESTRING (51.2104331 29.2670213, 51.2110364 29.2671224)",2,
530588103,False,امان الله رنجبر,residential,False,148.422,,"LINESTRING (51.2104331 29.2670213, 51.2104465 29.2680085, 51.2104512 29.268356)",,30
175074040,True,چمران,secondary,False,56.059,,"LINESTRING (51.2091589 29.2667137, 51.2097154 29.2668497)",2,
