osmid,oneway,highway,reversed,length,geometry,ref,junction,name
977437246,True,primary_link,False,30.192999999999998,"LINESTRING (60.3119453 34.9986658, 60.3117523 34.9987278, 60.3117174 34.9986971, 60.3117254 34.9986377)",,,
385104635,True,primary,False,102.16799999999999,"LINESTRING (60.3164379 34.9968994, 60.3162208 34.9970008, 60.315958 34.9970843, 60.3156522 34.9971261, 60.3153745 34.9971542)",36,,
93792516,True,secondary,False,14.143,"LINESTRING (60.3131321 34.9965217, 60.313059 34.9965004, 60.3130014 34.9964577)",,roundabout,
93792516,True,secondary,False,35.392,"LINESTRING (60.3130014 34.9964577, 60.3129682 34.9964001, 60.3129645 34.9963365, 60.312991 34.9962766, 60.3130433 34.9962297, 60.3131137 34.9962027)",,roundabout,
381756571,True,tertiary,False,66.256,"LINESTRING (60.3130014 34.9964577, 60.3127364 34.9963614, 60.3125904 34.9963393, 60.3123014 34.9963408)",,,
93792516,True,secondary,False,7.315,"LINESTRING (60.3133577 34.9963824, 60.3133312 34.9964445)",,roundabout,
381756550,True,tertiary,False,26.194,"LINESTRING (60.3133312 34.9964445, 60.313371 34.9966778)",,,
93792516,True,secondary,False,21.133,"LINESTRING (60.3133312 34.9964445, 60.3132793 34.9964914, 60.3132094 34.9965185, 60.3131321 34.9965217)",,roundabout,
93792515,True,secondary,False,114.706,"LINESTRING (60.3131912 34.9962, 60.3136135 34.9961687, 60.3137932 34.9961034, 60.3139475 34.9960179, 60.3140613 34.9959128, 60.3142239 34.9957252)",,,بلوار امام خمینی
93792516,True,secondary,False,27.879,"LINESTRING (60.3131912 34.9962, 60.3132639 34.9962217, 60.313321 34.9962645, 60.3133537 34.9963218, 60.3133577 34.9963824)",,roundabout,
93792516,True,secondary,False,7.066,"LINESTRING (60.3131137 34.9962027, 60.3131912 34.9962)",,roundabout,
381756565,False,secondary,False,51.134,"LINESTRING (60.3131137 34.9962027, 60.3128813 34.9957841)",,,
723080133,True,primary,False,11.086,"LINESTRING (60.3172128 34.9918129, 60.3172752 34.9917273)",36,,
819324130,True,tertiary,False,12.171,"LINESTRING (60.3172128 34.9918129, 60.3171408 34.9917207)",,,
385104634,True,secondary,False,37.507,"LINESTRING (60.315376 34.996269, 60.3156539 34.9965179)",,,
723083975,False,residential,True,227.653,"LINESTRING (60.315376 34.996269, 60.315631 34.9957537, 60.3152948 34.9955809, 60.3160998 34.9946191)",,,
93792566,True,primary,False,11.616,"LINESTRING (60.3173874 34.9917737, 60.317317 34.9918608)",36,,
