osmid,oneway,lanes,name,highway,reversed,length,junction,geometry,maxspeed
198953517,True,2,بلوار الغدیر,secondary,False,16.598,,"LINESTRING (49.0533984 33.4998331, 49.0534451 33.4999772)",
198953506,True,3,میدان شهرداری,secondary,False,46.471999999999994,roundabout,"LINESTRING (49.0533984 33.4998331, 49.0533298 33.4999324, 49.0532335 33.4999821, 49.0531177 33.5000112, 49.0529906 33.4999902)",
198953506,True,3,میدان شهرداری,secondary,False,40.848,roundabout,"LINESTRING (49.0529906 33.4999902, 49.0528978 33.4999405, 49.0527824 33.4998787, 49.0526615 33.4997956, 49.0526334 33.4997763)",
198953506,True,3,میدان شهرداری,secondary,False,113.05,roundabout,"LINESTRING (49.0526334 33.4997763, 49.052526 33.4996701, 49.0524141 33.4995133, 49.0523401 33.4993346, 49.0523127 33.4991976, 49.0523133 33.4991643, 49.0523157 33.4990366, 49.0523349 33.4989174, 49.0523487 33.4988321)",
371079910,True,2,بلوار امام علی,secondary,False,153.566,,"LINESTRING (49.0526334 33.4997763, 49.0522344 33.4996663, 49.051993 33.4996574, 49.0517718 33.499682, 49.0515706 33.4997379, 49.0513886 33.499828, 49.0511488 33.5000376)",
198953506,True,3,میدان شهرداری,secondary,False,6.354,roundabout,"LINESTRING (49.0523487 33.4988321, 49.0523823 33.4987823)",
198953506,True,3,میدان شهرداری,secondary,False,5.633,roundabout,"LINESTRING (49.0529647 33.4987865, 49.0530116 33.4988187)",
198953507,True,,(بلوار معلم (۴۵ متری,secondary,False,56.03999999999999,,"LINESTRING (49.0522962 33.4983489, 49.0522701 33.4983034, 49.0521745 33.4981974, 49.0518834 33.4979875)",
522463696,False,,معلم ۲۱,residential,True,225.38,,"LINESTRING (49.0522962 33.4983489, 49.0518936 33.4986887, 49.0517729 33.4987905, 49.0516443 33.498899, 49.0505877 33.4997906)",30
198953508,True,,بلوار معلم,secondary,False,68.879,,"LINESTRING (49.0525646 33.4982702, 49.0526754 33.4983801, 49.0527188 33.4984232, 49.0528453 33.498565, 49.0529647 33.4987865)",
522463713,False,,مالیات,residential,False,117.928,,"LINESTRING (49.0525646 33.4982702, 49.0526955 33.4981539, 49.0530939 33.4977997, 49.0534347 33.4974967)",30
522463705,False,,بنفشه ۱,residential,False,110.155,,"LINESTRING (49.0534451 33.4999772, 49.0545982 33.4997389)",30
198953517,True,2,بلوار الغدیر,secondary,False,56.17,,"LINESTRING (49.0534451 33.4999772, 49.0534574 33.5003601, 49.0534694 33.5004818)",
647404410,False,,بنفشه ۱۱,residential,True,84.161,,"LINESTRING (49.0535114 33.5021885, 49.0543928 33.5020077)",
198953517,True,2,بلوار الغدیر,secondary,False,54.608000000000004,,"LINESTRING (49.0535114 33.5021885, 49.0535299 33.5024763, 49.0535708 33.5026763)",
198990397,True,2,بلوار امیرکبیر,secondary,False,128.468,,"LINESTRING (49.0542741 33.4989456, 49.0555558 33.4988907, 49.0556573 33.4988817)",
522464315,False,,,secondary_link,False,10.35,,"LINESTRING (49.0580387 33.498719, 49.0580456 33.4988119)",
522464315,False,,,secondary_link,True,10.35,,"LINESTRING (49.0580456 33.4988119, 49.0580387 33.498719)",
198990398,True,2,بلوار امیرکبیر,secondary,False,121.40800000000002,,"LINESTRING (49.0580456 33.4988119, 49.0571419 33.4988531, 49.0567388 33.4988789)",
198990398,True,2,بلوار امیرکبیر,secondary,False,120.57,,"LINESTRING (49.0542914 33.4990393, 49.054069 33.4991085, 49.0539043 33.4992036, 49.0537682 33.4993103, 49.0536407 33.499464, 49.053406 33.4997858)",
522464317,True,,,secondary_link,False,10.771,,"LINESTRING (49.0542914 33.4990393, 49.0542761 33.4990096, 49.0542702 33.4989777, 49.0542741 33.4989456)",
371079906,False,2,خیابان چال آزادگان,tertiary,False,56.684,,"LINESTRING (49.0543454 33.4952308, 49.0547522 33.4956113)",
371079906,False,2,خیابان چال آزادگان,tertiary,True,51.372,,"LINESTRING (49.0543454 33.4952308, 49.0539732 33.4948886)",
668609304,False,,خیابان نرگس,tertiary,True,111.809,,"LINESTRING (49.0543454 33.4952308, 49.0534723 33.4959243)",
"[505161585, 371079906]",False,2,"['فردوس', 'خیابان چال آزادگان']",tertiary,True,159.539,,"LINESTRING (49.0577431 33.4956145, 49.0573776 33.495572, 49.0571871 33.4955731, 49.0569069 33.4956134, 49.0565568 33.4956839, 49.0560666 33.4958195)",
371079920,False,2,خیابان علوی,tertiary,False,29.288,,"LINESTRING (49.0510053 33.4965, 49.050933 33.4967564)",
371079920,False,2,خیابان علوی,tertiary,True,50.486,,"LINESTRING (49.0510053 33.4965, 49.0511021 33.4960532)",
505161707,False,,شریعت ۲,residential,True,209.239,,"LINESTRING (49.0510053 33.4965, 49.0532282 33.4968235)",30
522463719,False,,معلم ۸,residential,True,84.671,,"LINESTRING (49.0510053 33.4965, 49.0501074 33.4963616)",30
371079920,False,2,خیابان علوی,tertiary,True,27.488,,"LINESTRING (49.0507867 33.4969714, 49.050933 33.4967564)",
198953508,True,,بلوار معلم,secondary,False,219.20000000000002,,"LINESTRING (49.0507867 33.4969714, 49.0523124 33.4980711, 49.05244 33.4981732, 49.0525646 33.4982702)",
371079923,True,,خیام شرقی,tertiary,False,91.496,,"LINESTRING (49.0566765 33.5020333, 49.0576347 33.5018367)",
522463408,False,,,tertiary_link,True,8.491,,"LINESTRING (49.0566765 33.5020333, 49.0566986 33.5021074)",
522463409,False,,خیام ۱۰,residential,True,53.382,,"LINESTRING (49.0566765 33.5020333, 49.0565179 33.5015718)",30
505161679,False,,میعاد ۷,residential,False,42.232,,"LINESTRING (49.0479039 33.4986362, 49.0482271 33.4989038)",30
674051967,False,,انتظار ۱۱,residential,False,47.448,,"LINESTRING (49.0479039 33.4986362, 49.0482636 33.4983327)",
505161692,False,,معلم ۴,residential,False,61.149,,"LINESTRING (49.0498158 33.4949874, 49.0493356 33.4953643)",30
505161722,False,,میعاد ۱,residential,False,17.524,,"LINESTRING (49.0498158 33.4949874, 49.0496888 33.4948707)",30
505161722,False,,میعاد ۱,residential,True,14.204,,"LINESTRING (49.0498158 33.4949874, 49.0499251 33.4950769)",30
505161596,False,,,residential,False,26.471,,"LINESTRING (49.0504541 33.4955295, 49.0506502 33.4957025)",30
505161722,False,,میعاد ۱,residential,False,11.5,,"LINESTRING (49.0504541 33.4955295, 49.0503671 33.4954558)",30
522463882,False,,معلم ۴,residential,False,15.623,,"LINESTRING (49.0504541 33.4955295, 49.0502882 33.495505)",30
505161645,False,,شریعت ۳,residential,False,107.343,,"LINESTRING (49.0533441 33.4963967, 49.0522056 33.496222)",30
668609481,False,,,tertiary,False,48.66,,"LINESTRING (49.0533441 33.4963967, 49.0532282 33.4968235)",
668609481,False,,,tertiary,True,53.857,,"LINESTRING (49.0533441 33.4963967, 49.0534723 33.4959243)",
198953507,True,,(بلوار معلم (۴۵ متری,secondary,False,51.504,,"LINESTRING (49.0484805 33.4955345, 49.0480603 33.4952316)",
505161597,False,,شریعت ۱,residential,False,214.946,,"LINESTRING (49.053217 33.4970865, 49.050933 33.4967564)",30
668609481,False,,,tertiary,False,49.88,,"LINESTRING (49.053217 33.4970865, 49.0534347 33.4974967)",
668609481,False,,,tertiary,True,29.263,,"LINESTRING (49.053217 33.4970865, 49.0532282 33.4968235)",
505161662,False,,میعاد ۳,tertiary,True,55.541,,"LINESTRING (49.0505877 33.4997906, 49.0501586 33.4994421)",
522463696,False,,معلم ۲۱,residential,False,225.38,,"LINESTRING (49.0505877 33.4997906, 49.0516443 33.498899, 49.0517729 33.4987905, 49.0518936 33.4986887, 49.0522962 33.4983489)",30
522463696,False,,معلم ۲۱,residential,True,85.024,,"LINESTRING (49.0505877 33.4997906, 49.0504931 33.4998705, 49.0501838 33.5001315, 49.0499432 33.5003345)",30
371079906,False,2,خیابان چال آزادگان,tertiary,False,51.372,,"LINESTRING (49.0539732 33.4948886, 49.0543454 33.4952308)",
649090726,False,,سرو ۱۵,residential,True,149.653,,"LINESTRING (49.0539732 33.4948886, 49.0528147 33.4958256)",
649084280,False,,فرزانگان,tertiary,False,49.136,,"LINESTRING (49.0528147 33.4958256, 49.0522888 33.4957715)",
649084280,False,,فرزانگان,tertiary,True,61.958,,"LINESTRING (49.0528147 33.4958256, 49.0534723 33.4959243)",
649090726,False,,سرو ۱۵,residential,False,149.653,,"LINESTRING (49.0528147 33.4958256, 49.0539732 33.4948886)",
649084280,False,,فرزانگان,tertiary,False,61.958,,"LINESTRING (49.0534723 33.4959243, 49.0528147 33.4958256)",
668609304,False,,خیابان نرگس,tertiary,False,111.809,,"LINESTRING (49.0534723 33.4959243, 49.0543454 33.4952308)",
668609481,False,,,tertiary,False,53.857,,"LINESTRING (49.0534723 33.4959243, 49.0533441 33.4963967)",
522463704,False,,بنفشه ۵,residential,False,147.752,,"LINESTRING (49.0550257 33.5006285, 49.0534854 33.5009689)",30
522463888,False,2,خیابان ایران,residential,False,5.422,,"LINESTRING (49.0550257 33.5006285, 49.055012 33.5005811)",
522463888,False,2,خیابان ایران,residential,True,41.149,,"LINESTRING (49.0550257 33.5006285, 49.05513 33.5009882)",
668609302,False,2,خیابان دانشجو,tertiary,False,31.435,,"LINESTRING (49.0541254 33.4978278, 49.0544629 33.4978012)",
"[668610037, 522463519]",False,,بهشت ۵,residential,True,98.52600000000001,,"LINESTRING (49.0541254 33.4978278, 49.0542195 33.4977408, 49.0547329 33.4972664, 49.0548858 33.4972417)",30
668609481,False,,,tertiary,True,76.368,,"LINESTRING (49.0541254 33.4978278, 49.0537073 33.4977276, 49.0534347 33.4974967)",
505161662,False,,میعاد ۳,tertiary,False,57.534,,"LINESTRING (49.0485232 33.498114, 49.0489677 33.498475)",
505161662,False,,میعاد ۳,tertiary,True,54.498,,"LINESTRING (49.0485232 33.498114, 49.0481021 33.4977721)",
674051967,False,,انتظار ۱۱,residential,True,34.217,,"LINESTRING (49.0485232 33.498114, 49.0482636 33.4983327)",
674051968,False,,معلم ۱۱,residential,False,214.898,,"LINESTRING (49.0485232 33.498114, 49.0501548 33.4967415)",
647398064,False,,سرو ۱۰,residential,True,91.725,,"LINESTRING (49.0510663 33.4948723, 49.0503671 33.4954558)",
649084280,False,,فرزانگان,tertiary,True,38.747,,"LINESTRING (49.0510663 33.4948723, 49.0513535 33.4951254)",
198953507,True,,(بلوار معلم (۴۵ متری,secondary,False,49.623,,"LINESTRING (49.0492962 33.4961225, 49.0488913 33.4958307)",
505161561,False,,معلم ۷,residential,False,208.659,,"LINESTRING (49.0492962 33.4961225, 49.0477203 33.497462)",30
198953507,True,,(بلوار معلم (۴۵ متری,secondary,False,50.357,,"LINESTRING (49.0488913 33.4958307, 49.0487927 33.4957595, 49.0484805 33.4955345)",
505161635,False,,معلم ۹,residential,True,211.721,,"LINESTRING (49.0481021 33.4977721, 49.0497149 33.4964243)",30
505161662,False,,میعاد ۳,tertiary,False,54.498,,"LINESTRING (49.0481021 33.4977721, 49.0485232 33.498114)",
505161662,False,,میعاد ۳,tertiary,True,49.42,,"LINESTRING (49.0481021 33.4977721, 49.0477203 33.497462)",
505161561,False,,معلم ۷,residential,True,208.659,,"LINESTRING (49.0477203 33.497462, 49.0492962 33.4961225)",30
505161662,False,,میعاد ۳,tertiary,False,49.42,,"LINESTRING (49.0477203 33.497462, 49.0481021 33.4977721)",
371079906,False,2,خیابان چال آزادگان,tertiary,True,56.684,,"LINESTRING (49.0547522 33.4956113, 49.0543454 33.4952308)",
371079906,False,2,خیابان چال آزادگان,tertiary,False,47.983000000000004,,"LINESTRING (49.0547522 33.4956113, 49.0550494 33.4958662, 49.0551259 33.4959075)",
522463524,False,,امیر کبیر ۲-,residential,False,36.418,,"LINESTRING (49.0568036 33.497698, 49.0568208 33.4980252)",30
668609302,False,2,خیابان دانشجو,tertiary,False,14.123,,"LINESTRING (49.0568036 33.497698, 49.0569557 33.4976913)",
668609302,False,2,خیابان دانشجو,tertiary,True,178.095,,"LINESTRING (49.0568036 33.497698, 49.0548858 33.4977853)",
647398176,False,,سرو ۱۲,residential,True,91.493,,"LINESTRING (49.0513535 33.4951254, 49.0506502 33.4957025)",
