osmid,name,highway,oneway,reversed,length,geometry,junction
242948839,خیابان شریعتی,tertiary,False,True,80.303,"LINESTRING (55.2696314 30.8763596, 55.2694534 30.8764524, 55.2688793 30.8766816)",
1111055618,شریعتی ۲۴,residential,False,False,41.263999999999996,"LINESTRING (55.2696314 30.8763596, 55.2694126 30.8760555, 55.2694108 30.8760419)",
242949006,ابن سینا,tertiary,False,False,28.473,"LINESTRING (55.2689399 30.8743641, 55.2687103 30.8745276)",
242949006,ابن سینا,tertiary,False,True,33.214,"LINESTRING (55.2689399 30.8743641, 55.269206 30.8741716)",
"[1111063788, 407423271]","['ابن سینا ۸', 'شریعتی ۱۸']",residential,False,True,222.243,"LINESTRING (55.2689399 30.8743641, 55.2697756 30.8751637, 55.270521 30.8758311)",
1111063789,ابن سینا ۶,residential,False,False,36.424,"LINESTRING (55.2687437 30.8749294, 55.2684982 30.8746786)",
242949006,ابن سینا,tertiary,False,False,31.909,"LINESTRING (55.2684982 30.8746786, 55.2682445 30.8748655)",
242949006,ابن سینا,tertiary,False,True,26.3,"LINESTRING (55.2684982 30.8746786, 55.2687103 30.8745276)",
1111063789,ابن سینا ۶,residential,False,True,36.424,"LINESTRING (55.2684982 30.8746786, 55.2687437 30.8749294)",
242949006,ابن سینا,tertiary,False,False,12.5,"LINESTRING (55.2682445 30.8748655, 55.2681451 30.8749387)",
242949006,ابن سینا,tertiary,False,True,31.909,"LINESTRING (55.2682445 30.8748655, 55.2684982 30.8746786)",
"[1111063790, 242948863]",ابن سینا ۱,residential,False,"[False, True]",131.196,"LINESTRING (55.2682445 30.8748655, 55.2676725 30.8744195, 55.2672239 30.8740751)",
242949006,ابن سینا,tertiary,False,False,26.3,"LINESTRING (55.2687103 30.8745276, 55.2684982 30.8746786)",
242949006,ابن سینا,tertiary,False,True,28.473,"LINESTRING (55.2687103 30.8745276, 55.2689399 30.8743641)",
"[242948905, 1111063791]",ابن سینا ۳,residential,False,True,138.81799999999998,"LINESTRING (55.2687103 30.8745276, 55.2682132 30.8741173, 55.2676563 30.8736673)",
242949006,ابن سینا,tertiary,False,False,43.693,"LINESTRING (55.269836 30.8737162, 55.2694863 30.8739698)",
242949006,ابن سینا,tertiary,False,True,39.116,"LINESTRING (55.269836 30.8737162, 55.2701494 30.8734895)",
1111063797,ابن سینا ۱۲,residential,False,True,100.738,"LINESTRING (55.269836 30.8737162, 55.2706354 30.8743078)",
1111063792,ابن سینا ۱۲,residential,False,True,26.42,"LINESTRING (55.2706354 30.8743078, 55.2708234 30.8744822)",
1111063797,ابن سینا ۱۲,residential,False,False,100.738,"LINESTRING (55.2706354 30.8743078, 55.269836 30.8737162)",
1111063798,,residential,False,False,34.057,"LINESTRING (55.2706354 30.8743078, 55.2703943 30.8745336)",
242948826,رازی شمالی,tertiary,False,False,20.962,"LINESTRING (55.2680897 30.8732621, 55.2682382 30.8731232)",
242948826,رازی شمالی,tertiary,False,True,42.173,"LINESTRING (55.2680897 30.8732621, 55.2677959 30.8735454)",
"[242948896, 1111063793]",ابن سینا ۵,residential,False,"[False, True]",146.902,"LINESTRING (55.2680897 30.8732621, 55.268563 30.8736563, 55.269206 30.8741716)",
242949006,ابن سینا,tertiary,False,False,22.995,"LINESTRING (55.2694863 30.8739698, 55.2693016 30.8741026)",
242949006,ابن سینا,tertiary,False,True,43.693,"LINESTRING (55.2694863 30.8739698, 55.269836 30.8737162)",
"[1111063794, 1111063795]",ابن سینا ۷,residential,False,False,151.424,"LINESTRING (55.2694863 30.8739698, 55.2689176 30.8735285, 55.2683217 30.8730451)",
242948826,رازی شمالی,tertiary,False,False,110.526,"LINESTRING (55.2683217 30.8730451, 55.2691049 30.8723129)",
