osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,maxspeed
71502921,خیابان ولیعصر,secondary,False,False,7.795,"LINESTRING (57.7010391 27.9506514, 57.7010565 27.950583)",,,,
760743487,ولیعصر۳,residential,False,False,17.306,"LINESTRING (57.7010391 27.9506514, 57.7012061 27.950701)",,,,
71502921,خیابان ولیعصر,secondary,False,True,170.559,"LINESTRING (57.7010391 27.9506514, 57.7006873 27.9515763, 57.7005049 27.9521107)",,,,
137830476,میدان امام خمینی,secondary,True,False,9.948,"LINESTRING (57.7011576 27.9481157, 57.701179 27.9480752, 57.7012117 27.948041)",roundabout,,,
594346280,امام خمینی۷,residential,False,False,42.25,"LINESTRING (57.7011576 27.9481157, 57.7009993 27.9481783, 57.7008507 27.9483632)",,,,
137830476,میدان امام خمینی,secondary,True,False,9.941,"LINESTRING (57.7015053 27.9482597, 57.7014726 27.9482938, 57.7014311 27.9483194)",roundabout,,,
137830486,خیابان امام خمینی,secondary,True,False,106.44800000000001,"LINESTRING (57.7015053 27.9482597, 57.7015753 27.948335, 57.7022171 27.9489815)",,,,
71502921,خیابان ولیعصر,secondary,False,True,92.142,"LINESTRING (57.7012378 27.9483115, 57.7011618 27.9484258, 57.7011391 27.9491216)",,,,
137830476,میدان امام خمینی,secondary,True,False,24.828,"LINESTRING (57.7012378 27.9483115, 57.7011991 27.9482828, 57.7011702 27.9482461, 57.7011529 27.9482041, 57.7011487 27.9481596, 57.7011576 27.9481157)",roundabout,,,
248029638,بلوار بهشتی,trunk,True,False,133.142,"LINESTRING (57.7030882 27.9511687, 57.7031503 27.9508863, 57.7032078 27.9506018, 57.7032515 27.9502544, 57.7032583 27.9499833)",,91,,
760743488,کوچه مهدی,residential,False,False,176.093,"LINESTRING (57.7030882 27.9511687, 57.7026912 27.9510541, 57.7023127 27.9508193, 57.7019423 27.9506533, 57.701596 27.950613, 57.7014702 27.9506818)",,,,
248029638,بلوار بهشتی,trunk,True,False,14.373,"LINESTRING (57.7032583 27.9499833, 57.7032761 27.949855)",,91,,
"[778479441, 778479442]",خیابان امام خمینی,secondary,True,False,37.592,"LINESTRING (57.7032583 27.9499833, 57.7031489 27.9499484, 57.7030398 27.9498691, 57.7029581 27.9497854)",,,,
594482414,بهشتی ۱۲,residential,False,False,69.458,"LINESTRING (57.7032609 27.9487353, 57.7027336 27.9483191)",,,,
248029638,بلوار بهشتی,trunk,True,False,109.313,"LINESTRING (57.7032609 27.9487353, 57.7032134 27.9482538, 57.7031836 27.9480978, 57.7031346 27.9478407, 57.7031175 27.9477613)",,91,,
248029639,بلوار بهشتی,trunk,True,False,294.185,"LINESTRING (57.7028733 27.9464062, 57.7029966 27.946799, 57.7031831 27.9473622, 57.7032837 27.9478325, 57.703354 27.9482463, 57.7033987 27.9487367, 57.7034148 27.9489985)",,91,,
778479443,,secondary,True,False,13.829,"LINESTRING (57.7033955 27.9499554, 57.7032583 27.9499833)",,,,
248029639,بلوار بهشتی,trunk,True,False,327.445,"LINESTRING (57.7033955 27.9499554, 57.7033714 27.9502803, 57.7033122 27.9506145, 57.7032554 27.9509126, 57.7031956 27.9512027, 57.7031302 27.9514721, 57.7029835 27.951937, 57.7028393 27.9524016, 57.7026955 27.9528269)",,91,,
248029655,میدان الله,secondary,True,False,14.92,"LINESTRING (57.6993352 27.9545744, 57.6993854 27.9545685, 57.6994357 27.9545742, 57.6994824 27.9545913)",roundabout,,,
248029654,بلوار سید احمد خمینی,secondary,True,False,32.387,"LINESTRING (57.6991984 27.9546958, 57.6991085 27.9545988, 57.6989811 27.9544769)",,,,
248029655,میدان الله,secondary,True,False,19.889,"LINESTRING (57.6991984 27.9546958, 57.6992176 27.9546545, 57.6992484 27.9546189, 57.6992885 27.9545916, 57.6993352 27.9545744)",roundabout,,,
248029654,بلوار سید احمد خمینی,secondary,True,False,43.442,"LINESTRING (57.6989811 27.9544769, 57.6986775 27.9541928)",,,,
71502921,خیابان ولیعصر,secondary,False,False,138.098,"LINESTRING (57.6994824 27.9545913, 57.6999969 27.9534355)",,,,
71502921,خیابان ولیعصر,secondary,False,True,62.505,"LINESTRING (57.7005049 27.9521107, 57.7002948 27.9526413)",,,,
470023412,خیابان شهیدمیثم,tertiary,False,True,58.412,"LINESTRING (57.7005049 27.9521107, 57.7010375 27.9523444)",,,,
71502921,خیابان ولیعصر,secondary,False,False,170.559,"LINESTRING (57.7005049 27.9521107, 57.7006873 27.9515763, 57.7010391 27.9506514)",,,,
470023412,خیابان شهیدمیثم,tertiary,False,False,91.789,"LINESTRING (57.7005049 27.9521107, 57.7002649 27.9520386, 57.7001294 27.9519758, 57.7001058 27.9519565, 57.7000047 27.9518739, 57.6999915 27.95186, 57.6997749 27.9516313)",,,,
759883874,خیابان امام,secondary,True,False,74.905,"LINESTRING (57.7012117 27.948041, 57.7006907 27.9475491)",,,,
137830476,میدان امام خمینی,secondary,True,False,24.817,"LINESTRING (57.7012117 27.948041, 57.7012531 27.9480155, 57.7013007 27.9480003, 57.701351 27.9479966, 57.7014008 27.9480044, 57.7014465 27.9480234)",roundabout,,,
470023415,خیابان رازی,tertiary,False,True,168.728,"LINESTRING (57.6995653 27.9463736, 57.6982608 27.9473608)",,,,
1047791445,خیابان امام,secondary,False,True,76.124,"LINESTRING (57.6995653 27.9463736, 57.6992007 27.9457695)",,,,
"[1084308233, 1084308234, 248029660]",,tertiary,True,False,91.27600000000001,"LINESTRING (57.7037979 27.9463972, 57.7033578 27.9463628, 57.7032642 27.9463641, 57.7028733 27.9464062)",,,yes,
248029661,میدان نیایش,tertiary,True,False,16.973,"LINESTRING (57.7037979 27.9463972, 57.7038261 27.9463101, 57.7038885 27.9462816)",roundabout,,,
248029661,میدان نیایش,tertiary,True,False,57.471,"LINESTRING (57.7038885 27.9462816, 57.7040838 27.9462727, 57.7042388 27.9462638, 57.7043475 27.9462496, 57.7044119 27.946246, 57.7044622 27.9462745)",roundabout,,,
248029661,میدان نیایش,tertiary,True,False,42.754999999999995,"LINESTRING (57.7044622 27.9462745, 57.7044804 27.9463172, 57.7044703 27.9463812, 57.7043817 27.9465626, 57.7043213 27.9466177)",roundabout,,,
594473980,خیابان عدالت,tertiary,False,False,165.391,"LINESTRING (57.7043213 27.9466177, 57.7057064 27.9474634)",,,,
248029661,میدان نیایش,tertiary,True,False,58.70099999999999,"LINESTRING (57.7043213 27.9466177, 57.7042549 27.9466213, 57.7041663 27.9465964, 57.7039549 27.9464986, 57.7038442 27.9464506, 57.7037979 27.9463972)",roundabout,,,
470023358,امام خمینی۳,residential,False,True,82.577,"LINESTRING (57.6991636 27.9471613, 57.699813 27.9466897)",,,,
470023358,امام خمینی۳,residential,False,False,91.732,"LINESTRING (57.6991636 27.9471613, 57.698784 27.9474744, 57.6985134 27.9477518)",,,,
1240615807,,residential,False,False,39.672,"LINESTRING (57.6991636 27.9471613, 57.6993434 27.9472953, 57.6994684 27.9473953)",,,,
691267403,خیابان رازی,tertiary,True,False,84.473,"LINESTRING (57.7002435 27.9459065, 57.6995653 27.9463736)",,,,
470023362,,residential,False,True,123.733,"LINESTRING (57.7002435 27.9459065, 57.7004979 27.9462601, 57.7005851 27.9463513, 57.7010793 27.9467246)",,,,
760463252,خیابان طالقانی,residential,False,False,40.854,"LINESTRING (57.7010793 27.9467246, 57.7013374 27.9464365)",,,,
760463252,خیابان طالقانی,residential,False,True,90.821,"LINESTRING (57.7010793 27.9467246, 57.7004594 27.9473306)",,,,
470023362,,residential,False,False,123.733,"LINESTRING (57.7010793 27.9467246, 57.7005851 27.9463513, 57.7004979 27.9462601, 57.7002435 27.9459065)",,,,
470023363,پاسداران۲,residential,False,True,71.853,"LINESTRING (57.702214 27.9469914, 57.7016016 27.946638)",,,,
470023366,خیابان پاسداران,secondary,True,False,82.22,"LINESTRING (57.702214 27.9469914, 57.7025713 27.9465017, 57.7027183 27.9464138)",,,,
470023363,پاسداران۲,residential,False,False,71.853,"LINESTRING (57.7016016 27.946638, 57.702214 27.9469914)",,,,
470023363,پاسداران۲,residential,False,True,34.286,"LINESTRING (57.7016016 27.946638, 57.7013374 27.9464365)",,,,
761422055,بهشتی۸,residential,False,False,34.608,"LINESTRING (57.7016016 27.946638, 57.7013684 27.9468713)",,,,
