osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed
175815834,residential,False,False,122.735,"LINESTRING (-14.6429526 16.5091318, -14.6427983 16.5086934, -14.6429074 16.5080609)",,
175815834,residential,False,True,87.983,"LINESTRING (-14.6429526 16.5091318, -14.6429569 16.509712, -14.6429304 16.5099215)",,
175815834,residential,False,False,87.983,"LINESTRING (-14.6429304 16.5099215, -14.6429569 16.509712, -14.6429526 16.5091318)",,
340319202,primary,False,True,76.516,"LINESTRING (-14.6429304 16.5099215, -14.6432868 16.5099768, -14.6436381 16.510036)",2,90
340319202,primary,False,True,52.005,"LINESTRING (-14.6436381 16.510036, -14.6441209 16.5101028)",2,90
175815838,unclassified,False,True,199.36599999999999,"LINESTRING (-14.6436381 16.510036, -14.6436522 16.511048, -14.6437517 16.511823)",2,
340319202,primary,False,False,76.516,"LINESTRING (-14.6436381 16.510036, -14.6432868 16.5099768, -14.6429304 16.5099215)",2,90
175815835,residential,False,False,90.517,"LINESTRING (-14.6441209 16.5101028, -14.6438745 16.5093238)",,
340319202,primary,False,False,52.005,"LINESTRING (-14.6441209 16.5101028, -14.6436381 16.510036)",2,90
340319202,primary,False,True,6.32,"LINESTRING (-14.6441209 16.5101028, -14.6441792 16.5101131)",2,90
175815840,unclassified,False,False,77.376,"LINESTRING (-14.6513253 16.5123622, -14.6505998 16.5123819)",,
175815840,unclassified,False,True,26.293,"LINESTRING (-14.6513253 16.5123622, -14.6515717 16.5123519)",,
794993781,residential,False,False,127.255,"LINESTRING (-14.6513253 16.5123622, -14.6512033 16.512578, -14.6510598 16.5128043, -14.6509565 16.5129175, -14.6507314 16.5133504)",,
175818648,residential,False,False,192.525,"LINESTRING (-14.6456556 16.5124486, -14.6455491 16.5107202)",,
175815840,unclassified,False,False,83.77199999999999,"LINESTRING (-14.6456556 16.5124486, -14.6453876 16.5125137, -14.6453504 16.5125227, -14.6449362 16.5127376)",,
175815840,unclassified,False,True,78.242,"LINESTRING (-14.6456556 16.5124486, -14.6457344 16.5124541, -14.6463876 16.5124994)",,
175815840,unclassified,False,True,71.452,"LINESTRING (-14.6463876 16.5124994, -14.6470578 16.5124942)",,
175815840,unclassified,False,False,78.242,"LINESTRING (-14.6463876 16.5124994, -14.6457344 16.5124541, -14.6456556 16.5124486)",,
297504559,residential,False,False,93.45400000000001,"LINESTRING (-14.6463876 16.5124994, -14.6463438 16.5128766, -14.6463061 16.5131007, -14.6462822 16.5132426, -14.6462238 16.5133133)",,
297504559,residential,False,True,223.82000000000002,"LINESTRING (-14.6463876 16.5124994, -14.6463889 16.5119309, -14.6463783 16.5110691, -14.646396 16.5109232, -14.6464102 16.5108485, -14.6464325 16.5107884, -14.6464379 16.5107082, -14.6464845 16.5106449, -14.6465146 16.5105099)",,
175815840,unclassified,False,False,40.587,"LINESTRING (-14.648649 16.5124818, -14.6482683 16.5124848)",,
175815840,unclassified,False,True,29.178,"LINESTRING (-14.648649 16.5124818, -14.6489204 16.5124479)",,
794993774,residential,False,False,57.775,"LINESTRING (-14.648649 16.5124818, -14.6486282 16.513001)",,
175815838,unclassified,False,False,81.315,"LINESTRING (-14.6438449 16.5125488, -14.6437517 16.511823)",2,
175815838,unclassified,False,True,60.509,"LINESTRING (-14.6438449 16.5125488, -14.6441315 16.5130185)",2,
175815838,unclassified,False,False,60.509,"LINESTRING (-14.6441315 16.5130185, -14.6438449 16.5125488)",2,
175815838,unclassified,False,True,67.131,"LINESTRING (-14.6441315 16.5130185, -14.6441141 16.5134635, -14.6441285 16.5136213)",2,
175815840,unclassified,False,True,91.47999999999999,"LINESTRING (-14.6441315 16.5130185, -14.6448187 16.5127986, -14.6448633 16.5127754, -14.6449362 16.5127376)",,
175818648,residential,False,True,40.98,"LINESTRING (-14.6455264 16.5103523, -14.6455491 16.5107202)",,
340319202,primary,False,False,86.239,"LINESTRING (-14.6455264 16.5103523, -14.644731 16.5102111)",2,90
