osmid,oneway,lanes,highway,junction,reversed,length,name,geometry,maxspeed
422575950,True,5,primary,roundabout,False,45.105,,"LINESTRING (69.2809095 41.3121477, 69.2804614 41.3123741)",
22813507,True,4,primary,,False,311.51099999999997,Amir Temur shoh ko'chasi,"LINESTRING (69.2804614 41.3123741, 69.2803206 41.3124613, 69.2802872 41.3124844, 69.280262 41.3125057, 69.2802337 41.3125547, 69.2802128 41.3126093, 69.2802017 41.3126666, 69.2801955 41.3127276, 69.2801897 41.3127832, 69.2801888 41.3128407, 69.2801962 41.3129054, 69.2802114 41.3129708, 69.2806314 41.3147988, 69.280652 41.3148884, 69.2806932 41.3150677)",
183829635,True,3,primary,roundabout,False,111.943,Сквер Амира Тимура,"LINESTRING (69.2804614 41.3123741, 69.2802476 41.3124799, 69.279927 41.3126348, 69.2797017 41.3127393, 69.2795038 41.3127994, 69.2792908 41.3128534)",
633847756,False,,residential,,True,12.543,Istiqlol ko‘chasi,"LINESTRING (69.2806932 41.3150677, 69.2805462 41.3150908)",
"[183843544, 633846649, 183840406]",False,,tertiary,,False,370.526,Istiqlol ko'chasi,"LINESTRING (69.2806932 41.3150677, 69.2808285 41.3150425, 69.2809458 41.3150103, 69.2825311 41.3144501, 69.282703 41.3143679, 69.2834044 41.3137426, 69.2835987 41.3135672, 69.2839831 41.3132203, 69.2841265 41.3130919)",50
183840407,True,,primary,,False,177.59799999999998,Amir Temur shoh ko'chasi,"LINESTRING (69.2806932 41.3150677, 69.280821 41.3156236, 69.2810055 41.3164265, 69.2810181 41.3164813, 69.2810549 41.3166416)",70
633847756,False,,residential,,False,12.543,Istiqlol ko‘chasi,"LINESTRING (69.2805462 41.3150908, 69.2806932 41.3150677)",
"[1018402145, 633846651]",True,4,primary,,False,346.5300000000001,Amir Temur shoh ko'chasi,"LINESTRING (69.2805462 41.3150908, 69.280509 41.3149177, 69.2803368 41.3141888, 69.2800544 41.3129937, 69.2800458 41.312969, 69.2800352 41.3129436, 69.2800223 41.3129292, 69.2800074 41.3129166, 69.2799942 41.3129079, 69.2799785 41.3128991, 69.2799636 41.3128916, 69.2799486 41.3128847, 69.2799131 41.3128721, 69.2798766 41.3128622, 69.2798459 41.3128578, 69.2798152 41.3128562, 69.2797753 41.3128566, 69.2797354 41.3128592, 69.2796936 41.3128645, 69.2796518 41.312871, 69.2790789 41.313002, 69.2790684 41.3130037, 69.2790565 41.3130046, 69.2790446 41.3130043, 69.2790328 41.3130037, 69.279021 41.3130029, 69.2790091 41.3130019, 69.2789971 41.3130004, 69.2789852 41.3129984, 69.2789733 41.312996, 69.2789629 41.3129929, 69.2789525 41.3129892, 69.2789425 41.3129852, 69.2789324 41.3129804, 69.2789221 41.3129748, 69.2789125 41.3129684, 69.2789035 41.3129618, 69.2788965 41.3129546, 69.2788883 41.3129413)",70
633847756,False,,residential,,True,397.47299999999996,Istiqlol ko‘chasi,"LINESTRING (69.2805462 41.3150908, 69.2804131 41.3151117, 69.28023 41.3151457, 69.2794471 41.3153219, 69.2785622 41.3155247, 69.2785059 41.3155366, 69.2771023 41.3158548, 69.2764277 41.3160079, 69.2759847 41.3161084)",
138601204,True,6,primary,roundabout,False,22.522,,"LINESTRING (69.2799201 41.30993, 69.2799871 41.3099237, 69.280054 41.309919, 69.2801887 41.3099131)",
31876591,True,3,primary,,False,310.102,Mahtumquli ko'chasi,"LINESTRING (69.2811501 41.3102174, 69.2815567 41.3104897, 69.281578 41.3104998, 69.2815999 41.3105073, 69.2816222 41.3105137, 69.2816452 41.3105175, 69.2816651 41.3105199, 69.2816906 41.310523, 69.2817246 41.3105265, 69.2817585 41.3105267, 69.2832112 41.3101353, 69.2843602 41.3098257, 69.284542 41.3097768)",
138601201,True,4,primary,roundabout,False,116.36,,"LINESTRING (69.2811501 41.3102174, 69.2814079 41.3105391, 69.2814748 41.3106836, 69.2815144 41.3107883, 69.281526 41.3108427, 69.2815335 41.3108925, 69.2815442 41.3109531, 69.2815787 41.3111945)",
"[542469096, 22795313]",True,"['4', '3']",primary,,False,306.093,Mustaqillik shoh ko'chasi,"LINESTRING (69.2815787 41.3111945, 69.2816398 41.3117472, 69.2816509 41.311781, 69.281665 41.3118148, 69.2816708 41.3118267, 69.2816788 41.3118387, 69.2816872 41.3118487, 69.2816959 41.3118556, 69.2817112 41.3118667, 69.2817301 41.3118779, 69.2818583 41.3119471, 69.2833375 41.3126091, 69.2840632 41.3129339)",
138601197,True,4,primary,roundabout,False,125.51200000000001,,"LINESTRING (69.2815787 41.3111945, 69.2815631 41.3113331, 69.2815415 41.3114507, 69.2815237 41.311522, 69.2815032 41.3115903, 69.281476 41.3116537, 69.2814456 41.3117072, 69.281423 41.3117432, 69.281397 41.3117794, 69.281384 41.311798, 69.2813777 41.3118087, 69.2813656 41.3118224, 69.2813541 41.3118356, 69.2813414 41.3118469, 69.2813084 41.3118774, 69.2812256 41.3119393, 69.2811344 41.3120006, 69.2809095 41.3121477)",
182851751,True,,residential,,False,35.009,Mustaqillik shoh ko'chasi,"LINESTRING (69.2792908 41.3128534, 69.2790494 41.3129061, 69.2788883 41.3129413)",
714757188,True,3,primary,roundabout,False,106.99700000000001,,"LINESTRING (69.2792908 41.3128534, 69.279233 41.3128598, 69.2791925 41.3128615, 69.2791552 41.3128598, 69.2791157 41.3128549, 69.2790783 41.3128471, 69.2790445 41.3128365, 69.2790178 41.3128258, 69.2789907 41.3128127, 69.2789663 41.312799, 69.2789433 41.3127842, 69.2789117 41.3127593, 69.2788702 41.3127193, 69.2788315 41.3126764, 69.2787902 41.3126245, 69.278759 41.3125816, 69.2785227 41.3121853)",
