osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,access,bridge
507103163,3rd Avenue,unclassified,False,False,217.88,"LINESTRING (35.3306184 -15.3820122, 35.3300511 -15.3824486, 35.3299311 -15.3825443, 35.3290661 -15.3832761)",,,,,
33079768,Namiwawa Road,tertiary,False,False,18.373,"LINESTRING (35.3226732 -15.3885998, 35.3225472 -15.3884878)",,,,,
33079768,Namiwawa Road,tertiary,False,True,116.94,"LINESTRING (35.3226732 -15.3885998, 35.3229302 -15.3888068, 35.3230409 -15.3889349, 35.323401 -15.3893769)",,,,,
33079768,Namiwawa Road,tertiary,False,True,18.373,"LINESTRING (35.3225472 -15.3884878, 35.3226732 -15.3885998)",,,,,
652896756,,residential,False,False,171.774,"LINESTRING (35.3225472 -15.3884878, 35.3231814 -15.387964, 35.3234749 -15.3877071, 35.32362 -15.3875541, 35.3236997 -15.3874612, 35.3237115 -15.3874339)",,,,,
39765144,Kalimbuka Road,unclassified,False,True,502.77200000000005,"LINESTRING (35.3234166 -15.3865403, 35.3235134 -15.386433, 35.323755 -15.386208, 35.323925 -15.3860414, 35.3240517 -15.3859247, 35.3242323 -15.3856615, 35.3244201 -15.3854088, 35.3247874 -15.3848161, 35.325156 -15.3843572, 35.3250814 -15.3842081, 35.325493 -15.3833565, 35.3257573 -15.3827581)",,,,,
289543412,,residential,False,True,62.557,"LINESTRING (35.3234166 -15.3865403, 35.3235932 -15.3867486, 35.3236678 -15.3868566, 35.3237456 -15.3870022)",,,,,
507103162,,residential,False,False,131.836,"LINESTRING (35.3290661 -15.3832761, 35.3282712 -15.3823715)",,,,,
507103163,3rd Avenue,unclassified,False,False,91.277,"LINESTRING (35.3290661 -15.3832761, 35.3284277 -15.3838192)",,,,,
507103163,3rd Avenue,unclassified,False,True,217.88,"LINESTRING (35.3290661 -15.3832761, 35.3299311 -15.3825443, 35.3300511 -15.3824486, 35.3306184 -15.3820122)",,,,,
507103162,,residential,False,True,24.132,"LINESTRING (35.3281189 -15.3822117, 35.3282712 -15.3823715)",,,,,
652871596,,residential,False,True,27.316,"LINESTRING (35.3281189 -15.3822117, 35.3279698 -15.3820125)",,,,,
