osmid,oneway,lanes,highway,reversed,length,junction,geometry,name,maxspeed,access
203676432,True,2,primary,False,24.411,,"LINESTRING (39.4796675 13.4939819, 39.4795017 13.4938329)",,,
223100092,False,,residential,True,13.388,,"LINESTRING (39.4796675 13.4939819, 39.4797349 13.4938809)",,,
264222100,False,,residential,True,70.273,,"LINESTRING (39.4796675 13.4939819, 39.4790892 13.4942703)",,,
203744765,False,,residential,True,14.299,,"LINESTRING (39.4762761 13.4938486, 39.4762199 13.493965)",,,
203744782,True,,residential,False,14.489,roundabout,"LINESTRING (39.4762761 13.4938486, 39.4762453 13.4938357, 39.47622 13.4938144, 39.4762024 13.4937867, 39.4761942 13.4937551)",,,
264222241,False,,residential,False,127.533,,"LINESTRING (39.479979 13.498691, 39.47905 13.4993977)",,,
264222241,False,,residential,True,45.651,,"LINESTRING (39.479979 13.498691, 39.4802832 13.4984063)",,,
264222276,False,,residential,False,87.264,,"LINESTRING (39.479979 13.498691, 39.4804671 13.499316)",,,
"[203744826, 264222276]",False,,residential,True,226.07300000000004,,"LINESTRING (39.479979 13.498691, 39.4798194 13.4984719, 39.4797993 13.4984367, 39.4797912 13.4984002, 39.4797845 13.4983623, 39.4797268 13.4979477, 39.4797269 13.497915, 39.4797349 13.4978838, 39.4797564 13.4978616, 39.4797952 13.4978381, 39.4807335 13.497241)",,,
981234347,False,2,residential,True,14.433,,"LINESTRING (39.4730817 13.4928187, 39.4729664 13.4928841)",Romanat Square,,
981234349,False,2,tertiary,False,20.002,,"LINESTRING (39.4730817 13.4928187, 39.4731916 13.492674)",Romanat Square,,
981234349,False,2,tertiary,True,8.612,,"LINESTRING (39.4730817 13.4928187, 39.4730421 13.4928859)",Romanat Square,,
203676432,True,2,primary,False,73.619,,"LINESTRING (39.4809956 13.4953055, 39.4805376 13.4948156)",,,
264222266,False,,residential,True,66.189,,"LINESTRING (39.4809956 13.4953055, 39.4803947 13.4954191)",,,
563498902,False,,residential,False,17.354,,"LINESTRING (39.4809956 13.4953055, 39.4811558 13.4952959)",,,
203744767,False,,residential,False,8.149,,"LINESTRING (39.4790365 13.4935272, 39.479084 13.4934703)",,,
203744767,False,,residential,True,58.311,,"LINESTRING (39.4790365 13.4935272, 39.4784984 13.493562)",,,
224885541,False,,residential,True,41.407,,"LINESTRING (39.4790365 13.4935272, 39.4790643 13.4938986)",,,
203744812,False,,tertiary,True,68.288,,"LINESTRING (39.4780786 13.4959172, 39.4780371 13.4953044)",,,
264222266,False,,residential,False,95.148,,"LINESTRING (39.4780786 13.4959172, 39.4789356 13.4957229)",,,
203744812,False,,tertiary,False,60.075,,"LINESTRING (39.4780786 13.4959172, 39.4780888 13.496016, 39.4781259 13.4963771, 39.4781296 13.4964135, 39.4781296 13.496455)",,,
264222266,False,,residential,True,131.096,,"LINESTRING (39.4780786 13.4959172, 39.4780169 13.4959355, 39.4779807 13.495959, 39.4779472 13.4959824, 39.4777259 13.4961311, 39.4776978 13.4961507, 39.4776669 13.4961637, 39.477632 13.4961728, 39.4776012 13.496178, 39.4770111 13.496268, 39.4769856 13.4962811, 39.4769655 13.4963058)",,,
