osmid,oneway,name,highway,reversed,length,junction,geometry,access,lanes,maxspeed,bridge
758583151,True,Fitawrari Gebeyehu Street,primary,False,19.925,,"LINESTRING (38.7494593 9.0354117, 38.7492962 9.0353332)",,,,
617793902,True,,primary,False,23.787,roundabout,"LINESTRING (38.7494593 9.0354117, 38.7494634 9.0353583, 38.7494837 9.0353088, 38.7495184 9.0352677, 38.749564 9.0352389)",,,,
758583145,True,,primary,False,9.440000000000001,roundabout,"LINESTRING (38.7494864 9.0354916, 38.7494679 9.0354533, 38.7494593 9.0354117)",,,,
758583140,True,,primary,False,17.764000000000003,roundabout,"LINESTRING (38.7497395 9.0355378, 38.7496917 9.0355625, 38.7496386 9.0355719, 38.7495852 9.0355649)",,,,
758583142,True,,primary,False,17.771,roundabout,"LINESTRING (38.7497483 9.0352652, 38.7497837 9.0353054, 38.7498051 9.0353543, 38.7498105 9.0354073)",,,,
"[755326321, 755326319]",True,,primary,False,48.009,roundabout,"LINESTRING (38.7526359 9.0356336, 38.7526582 9.0356727, 38.7526942 9.0357539, 38.7527035 9.035842, 38.7526853 9.0359288, 38.7526249 9.0360341)",,,,
22337880,True,,primary,False,127.661,,"LINESTRING (38.7522162 9.0356145, 38.7521616 9.0354943, 38.7521079 9.0353407, 38.7519698 9.0350348, 38.7517528 9.0345622)",,,,
758195572,True,,primary,False,18.884,roundabout,"LINESTRING (38.7522162 9.0356145, 38.7522876 9.0355672, 38.7523699 9.0355426)",,,,
755326328,True,,primary,False,11.398,roundabout,"LINESTRING (38.7541248 9.0325672, 38.7541393 9.0325884, 38.7541472 9.0326129, 38.754148 9.0326385, 38.7541416 9.0326633)",destination,,,
160749850,False,,residential,False,93.987,,"LINESTRING (38.7547143 9.0318774, 38.7553975 9.0323865)",,,,
533372707,True,Dejazemach Jote Street,secondary,False,100.37299999999999,,"LINESTRING (38.7547143 9.0318774, 38.7544425 9.0321897, 38.7541248 9.0325672)",destination,4,30,
22337878,True,Arbegnoch Street,primary,False,93.162,,"LINESTRING (38.7505625 9.0337916, 38.7504686 9.0339839, 38.7502872 9.0342915, 38.7501601 9.0345287)",,,,
162844956,True,,primary,False,33.135,,"LINESTRING (38.7505625 9.0337916, 38.7504597 9.0338196, 38.7504074 9.0338272, 38.7503463 9.0338304, 38.7502663 9.0338176)",,,,
22337881,True,,primary,False,147.75,,"LINESTRING (38.7516489 9.0332902, 38.7515363 9.0335129, 38.751509 9.03361, 38.7515084 9.033716, 38.7515349 9.0338498, 38.7518512 9.034517)",,,,
"[162844969, 755492727]",True,,primary,False,72.422,,"LINESTRING (38.7516489 9.0332902, 38.7515026 9.0333471, 38.7510526 9.0335674)",,,,
43456207,True,Cunningham Street,primary,False,20.227,,"LINESTRING (38.7527272 9.0324999, 38.7529109 9.0324867)",destination,3,30,
"[162844968, 162844970]",True,,primary_link,False,56.084,,"LINESTRING (38.7527272 9.0324999, 38.7527918 9.0326177, 38.7528134 9.0327005, 38.7528006 9.0327959, 38.7527478 9.0329033, 38.7527165 9.0329653)",,,,
44049491,False,Haile Selassie Street,primary,False,10.241,,"LINESTRING (38.7550286 9.0351105, 38.7550506 9.0352)",,,,
44049491,False,Haile Selassie Street,primary,True,104.07300000000001,,"LINESTRING (38.7550286 9.0351105, 38.7549731 9.0347662, 38.7548926 9.0341843)",,,,
525812732,False,Dejazemach Belay Zeleke Street,tertiary,True,111.94399999999999,,"LINESTRING (38.7550286 9.0351105, 38.7541786 9.0354506, 38.7540807 9.0354798)",,,,
