osmid,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge
313299627,secondary,93,False,False,138.235,,"LINESTRING (41.8859229 5.338126, 41.8871702 5.3380694)",
134798388,primary,,False,False,85.475,B102,"LINESTRING (41.8859229 5.338126, 41.8861753 5.3384061, 41.8863362 5.338569, 41.8864021 5.3387192)",
"[515071408, 515071409, 607277614]",primary,93,False,True,296.209,B102,"LINESTRING (41.8859229 5.338126, 41.8858141 5.3380557, 41.88531 5.33787, 41.8845416 5.3376353, 41.883725 5.3373578, 41.8834033 5.3372432)",yes
406451902,unclassified,,False,False,79.702,,"LINESTRING (41.8788132 5.3371144, 41.8791492 5.3372127, 41.8794959 5.3373405)",
712523298,residential,,False,True,72.303,,"LINESTRING (41.8788132 5.3371144, 41.8787844 5.3371509, 41.8783271 5.3375475)",
313299308,primary,93,False,False,52.487,B102,"LINESTRING (41.8815982 5.3352797, 41.8813864 5.3348574)",
390083218,tertiary,,False,False,61.128,,"LINESTRING (41.8815982 5.3352797, 41.88147 5.33551, 41.8812691 5.335715)",
481847050,unclassified,,False,False,96.93,,"LINESTRING (41.8815982 5.3352797, 41.881938 5.3347848, 41.882016 5.3345239)",
607277614,primary,,False,False,112.905,B102,"LINESTRING (41.8815982 5.3352797, 41.88181 5.33571, 41.8819642 5.3360293, 41.8820554 5.3361869)",
390083218,tertiary,,False,True,39.666,,"LINESTRING (41.8808373 5.3360911, 41.8811115 5.3358615)",
712555778,residential,,False,True,29.055,,"LINESTRING (41.8808373 5.3360911, 41.8810205 5.3362782)",
390083218,tertiary,,False,False,152.313,,"LINESTRING (41.8808373 5.3360911, 41.8805721 5.3363604, 41.8803522 5.3365153, 41.8801323 5.3366622, 41.879746 5.3369159)",
712527655,residential,,False,True,54.034000000000006,,"LINESTRING (41.8808373 5.3360911, 41.8807572 5.3359759, 41.880717 5.3359331, 41.8806231 5.3358049, 41.8805171 5.3357315)",
313299305,unclassified,,False,True,22.137,,"LINESTRING (41.8818983 5.3377836, 41.8817439 5.3379101)",
313299305,unclassified,,False,False,73.506,,"LINESTRING (41.8818983 5.3377836, 41.8821878 5.3375079, 41.8823075 5.3373939, 41.8823908 5.3373431)",
712555777,residential,,False,False,69.613,,"LINESTRING (41.8818983 5.3377836, 41.8818328 5.3376557, 41.8817201 5.3375488, 41.881645 5.3374393, 41.8815297 5.3372818)",
712555777,residential,,False,True,68.68,,"LINESTRING (41.8818983 5.3377836, 41.8820286 5.3379494, 41.8821573 5.3381283, 41.8822776 5.338272)",
313299305,unclassified,,False,True,69.15,,"LINESTRING (41.8829032 5.3369883, 41.8825555 5.3372425, 41.8823908 5.3373431)",
607277614,primary,,False,False,62.312000000000005,B102,"LINESTRING (41.8829032 5.3369883, 41.88331 5.33721, 41.8834033 5.3372432)",
607277614,primary,,False,True,99.045,B102,"LINESTRING (41.8829032 5.3369883, 41.88274 5.33691, 41.8824899 5.336729, 41.8823393 5.3365713, 41.8822136 5.3364352)",
313299305,unclassified,,False,False,50.516,,"LINESTRING (41.8813916 5.3381988, 41.8817439 5.3379101)",
711544161,residential,,False,True,57.823,,"LINESTRING (41.8813916 5.3381988, 41.8817508 5.3385763)",
313299305,unclassified,,False,True,77.262,,"LINESTRING (41.8813916 5.3381988, 41.8809893 5.3385055, 41.8808256 5.3386038)",
711544161,residential,,False,False,116.07900000000001,,"LINESTRING (41.8813916 5.3381988, 41.8809619 5.3378641, 41.8805329 5.3376028)",
390083218,tertiary,,False,True,54.734,,"LINESTRING (41.8794959 5.3373405, 41.879746 5.3369159)",
390083218,tertiary,,False,False,109.024,,"LINESTRING (41.8794959 5.3373405, 41.8790621 5.337685, 41.8787443 5.3379732)",
406451902,unclassified,,False,True,79.702,,"LINESTRING (41.8794959 5.3373405, 41.8791492 5.3372127, 41.8788132 5.3371144)",
711544161,residential,,False,True,104.544,,"LINESTRING (41.8794959 5.3373405, 41.8797567 5.3373112, 41.880238 5.3374941, 41.8803943 5.3375517)",
711544161,residential,,False,False,16.363,,"LINESTRING (41.8805329 5.3376028, 41.8803943 5.3375517)",
313299307,unclassified,,False,False,50.255,,"LINESTRING (41.8805329 5.3376028, 41.8805963 5.337466, 41.8807062 5.3372257, 41.880719 5.3371907)",
711544161,residential,,False,True,116.07900000000001,,"LINESTRING (41.8805329 5.3376028, 41.8809619 5.3378641, 41.8813916 5.3381988)",
313299307,unclassified,,False,True,47.418,,"LINESTRING (41.8811115 5.3358615, 41.8810205 5.3362782)",
390083218,tertiary,,False,False,39.666,,"LINESTRING (41.8811115 5.3358615, 41.8808373 5.3360911)",
390083218,tertiary,,False,True,23.907,,"LINESTRING (41.8811115 5.3358615, 41.8811778 5.3357919, 41.8812691 5.335715)",
