osmid,highway,oneway,reversed,length,ref,name,geometry,junction
164510592,residential,False,False,41.984,,,"LINESTRING (37.7285347 10.3355622, 37.7282185 10.3353482)",
612917839,trunk,True,False,58.036,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.7285347 10.3355622, 37.7286475 10.3350522)",
114643388,trunk,False,False,201.626,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.728508 10.3359055, 37.7283485 10.3362016, 37.7276415 10.3375059)",
114643410,trunk,True,False,19.648,,Abyot Square,"LINESTRING (37.728508 10.3359055, 37.7284896 10.3358879, 37.7284775 10.3358656, 37.7284726 10.3358408, 37.7284756 10.3358158, 37.728486 10.3357927, 37.728503 10.3357738, 37.728525 10.3357608)",roundabout
114643388,trunk,False,True,32.813,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.7268724 10.3390747, 37.726978 10.3387985)",
164510586,residential,False,False,34.321,,,"LINESTRING (37.7268724 10.3390747, 37.7265606 10.3390403)",
114643388,trunk,False,False,46.873000000000005,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.7268724 10.3390747, 37.726823 10.3393069, 37.7267922 10.3394887)",
612917839,trunk,True,False,55.759,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.7292051 10.3329567, 37.729284 10.332674, 37.7293237 10.3324694)",
856437277,residential,False,True,93.42200000000001,,,"LINESTRING (37.7292051 10.3329567, 37.7288336 10.3327924, 37.7287707 10.3327657, 37.7287545 10.3327041, 37.7287323 10.332684, 37.7287187 10.3326519, 37.7287198 10.332507, 37.7286378 10.3324495)",
114643410,trunk,True,False,6.2170000000000005,,Abyot Square,"LINESTRING (37.7285618 10.3359209, 37.7285336 10.3359177, 37.728508 10.3359055)",roundabout
114643410,trunk,True,False,7.132999999999999,,Abyot Square,"LINESTRING (37.728638 10.3358129, 37.7286418 10.3358339, 37.72864 10.3358552, 37.7286327 10.3358754)",roundabout
114643410,trunk,True,False,5.869,,Abyot Square,"LINESTRING (37.7286072 10.3357705, 37.728626 10.3357892, 37.728638 10.3358129)",roundabout
612917839,trunk,True,False,22.109,3,Addis Ababa - Bahir Dar Road,"LINESTRING (37.728525 10.3357608, 37.7285347 10.3355622)",
114643410,trunk,True,False,9.416,,Abyot Square,"LINESTRING (37.728525 10.3357608, 37.728553 10.3357546, 37.7285815 10.335758, 37.7286072 10.3357705)",roundabout
114643382,tertiary,True,False,11.026,,,"LINESTRING (37.7289542 10.3349676, 37.7289395 10.3350657)",
114643412,tertiary,True,False,110.518,,,"LINESTRING (37.7289542 10.3349676, 37.7298623 10.3353476, 37.7298846 10.3353548)",
114643384,secondary,True,False,45.686,,,"LINESTRING (37.7288069 10.3367425, 37.728884 10.3371463)",
