osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,access
"[345212779, 41603519]",tertiary,50,roundabout,True,False,55.699000000000005,"LINESTRING (3.8208734 50.4437369, 3.8209092 50.4436469, 3.8209672 50.443597, 3.8210481 50.4435714, 3.8211524 50.4435587, 3.8212275 50.4435571, 3.8213086 50.4435709, 3.8214802 50.4436193)",,,,
59472680,residential,30,,True,False,373.715,"LINESTRING (3.8209036 50.4437609, 3.8208376 50.44382, 3.8207756 50.4439858, 3.8208187 50.444097, 3.820758 50.4442497, 3.820743 50.444264, 3.8207055 50.4442998, 3.8205633 50.4447281, 3.8206074 50.4447981, 3.8205423 50.4450004, 3.8204463 50.4452981, 3.8204212 50.445328, 3.8203374 50.4454279, 3.8203245 50.4454694, 3.8202766 50.4456438, 3.8201611 50.4461514, 3.8202071 50.4462422, 3.8200982 50.4467019, 3.8200164 50.4467769, 3.8199689 50.4470059)",Rue Grande,,,
345212805,tertiary,50,roundabout,True,False,3.427,"LINESTRING (3.8209036 50.4437609, 3.8208893 50.443748, 3.8208734 50.4437369)",,,,
69631959,tertiary,50,,True,False,9.405,"LINESTRING (3.8235767 50.4446968, 3.8234737 50.4446434)",,1,,
1267894744,tertiary,50,,True,False,34.515,"LINESTRING (3.8235767 50.4446968, 3.8235458 50.4448365, 3.8235206 50.4449183, 3.8235152 50.4450042)",Avenue de la Tour,1,,
846877051,tertiary,50,,True,False,9.271,"LINESTRING (3.8238697 50.4446956, 3.8237885 50.444761)",,,,
392655927,primary,50,,True,False,59.659000000000006,"LINESTRING (3.8238697 50.4446956, 3.823803 50.4446414, 3.8237443 50.4445839, 3.8237061 50.4445315, 3.8236752 50.4444776, 3.8236522 50.4444221, 3.8236378 50.4443654, 3.8236347 50.444317, 3.8236379 50.4442694, 3.8236578 50.4441975)",,1,N547,
"[1268120600, 41603540, 1268120599]",tertiary,50,,True,False,126.28999999999999,"LINESTRING (3.8214802 50.4436193, 3.8218457 50.443742, 3.8229193 50.4441025, 3.8230578 50.444149)",Avenue de la Gare,3,,
251684308,tertiary,50,roundabout,True,False,22.973,"LINESTRING (3.8214802 50.4436193, 3.8215079 50.4436729, 3.8214823 50.4437336, 3.8213684 50.4437822)",,,,
69631962,tertiary,50,,True,False,24.587,"LINESTRING (3.8230578 50.444149, 3.8231443 50.4442137, 3.8232199 50.4442435, 3.8232594 50.4442622, 3.8233161 50.4442941)",Avenue de la Gare,1,,
1268120601,tertiary,50,,True,False,24.258,"LINESTRING (3.8230578 50.444149, 3.8231711 50.4441649, 3.8232234 50.4441716, 3.8232744 50.4441744, 3.8233319 50.4441738, 3.8233961 50.4441699)",Avenue de la Gare,2,,
"[1167419789, 828855949]",tertiary,50,,False,True,47.178,"LINESTRING (3.8136765 50.4433357, 3.8137593 50.4433333, 3.8140506 50.4433204, 3.8143406 50.4433026)",Rue des Canadiens,2,,
1167419793,tertiary,50,,True,False,26.057000000000002,"LINESTRING (3.8136765 50.4433357, 3.8135167 50.4433574, 3.8134099 50.443377, 3.813321 50.4433953)",Rue des Canadiens,1,,
41827499,tertiary_link,50,,True,False,17.189,"LINESTRING (3.8236578 50.4441975, 3.8237168 50.4442239, 3.823745 50.4442376, 3.823771 50.4442536, 3.8238377 50.4443002)",,1,,
846877048,primary,50,,True,False,19.72,"LINESTRING (3.8236578 50.4441975, 3.8236883 50.4441257, 3.8237434 50.4440289)",,1,N547,
