osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,width,access
102021944,Boudewijnlaan,residential,False,False,80.08200000000001,"LINESTRING (3.2856013 51.3425545, 3.2854616 51.3425619, 3.2845673 51.3426117, 3.2844528 51.3426176)",,,,,,
320958754,Paul Parmentierlaan,primary,True,False,45.075,"LINESTRING (3.2856013 51.3425545, 3.2856179 51.3426255, 3.2856473 51.342881, 3.2856572 51.3429582)",1,N49c,,,,
4834280,Paul Parmentierlaan,primary,True,False,81.459,"LINESTRING (3.2855321 51.3418232, 3.2855412 51.3419182, 3.2855614 51.3421279, 3.2855935 51.3424613, 3.2856013 51.3425545)",2,N49c,50,,,
227748892,Pastoor Opdedrinckplein,primary,True,False,34.784,"LINESTRING (3.2855321 51.3418232, 3.2854726 51.341847, 3.2853918 51.341858, 3.2853017 51.3418601, 3.2852528 51.3418569, 3.285203 51.3418402, 3.2851444 51.3418182, 3.2850894 51.3417792)",2,N49,50,roundabout,,
227748921,Pastoor Opdedrinckplein,primary,True,False,80.932,"LINESTRING (3.2850894 51.3417792, 3.2850572 51.3417183, 3.285053 51.3416742, 3.2850745 51.3416178, 3.2851296 51.3415675, 3.2853194 51.3414267, 3.2854258 51.3413289, 3.2854758 51.3412681, 3.2855596 51.3411492)",2,N49,50,roundabout,,
78812533,Pastoor Opdedrinckplein,primary,True,False,101.00899999999999,"LINESTRING (3.2862937 51.3410821, 3.2862531 51.3411094, 3.2861661 51.3411488, 3.2861277 51.3411691, 3.2860675 51.3411999, 3.2860127 51.3412317, 3.2859312 51.341288, 3.285825 51.341367, 3.2857551 51.3414418, 3.2856901 51.3415233, 3.2856496 51.3416023, 3.2856185 51.3416941, 3.2856005 51.3417636, 3.2855321 51.3418232)",2,N49,50,roundabout,,
"[227748845, 79057094]",Maurice Lippensplein,secondary,True,False,42.057,"LINESTRING (3.2863304 51.3409199, 3.2864021 51.3409647, 3.286457 51.3409936, 3.286514 51.3410131, 3.2865871 51.3410259, 3.2866886 51.3410399, 3.2867954 51.3410386, 3.286876 51.3410388)",1,,50,,,
79057096,Maurice Lippensplein,primary,True,False,18.572,"LINESTRING (3.2863304 51.3409199, 3.2863381 51.3409743, 3.2863298 51.3410258, 3.2862937 51.3410821)",2,N49,50,roundabout,,
248182333,Maurice Lippensplein,primary,True,False,26.274,"LINESTRING (3.2860791 51.3407607, 3.2861502 51.3407749, 3.286226 51.3408084, 3.2862958 51.3408578, 3.2863304 51.3409199)",2,N49,50,roundabout,,
248182334,Maurice Lippensplein,primary,True,False,14.331,"LINESTRING (3.2858749 51.3407732, 3.2859746 51.3407603, 3.2860791 51.3407607)",2,N49,50,roundabout,,
1211224050,Natiënlaan,primary,True,False,83.917,"LINESTRING (3.2858749 51.3407732, 3.2858983 51.3407316, 3.2859262 51.3406338, 3.2859573 51.3404597, 3.28604 51.3400267)",2,N49,50,,,
79057099,Maurice Lippensplein,primary,True,False,38.247,"LINESTRING (3.2856109 51.341059, 3.2856476 51.3409795, 3.2856542 51.3409629, 3.2856656 51.3409378, 3.2857049 51.340871, 3.2857802 51.3408094, 3.2858749 51.3407732)",2,N49,50,roundabout,,
4834305,Alfred Verweeplein,residential,False,False,8.972,"LINESTRING (3.2878799 51.3431826, 3.2877508 51.3431854)",,,,,,
126551571,Lippenslaan,secondary,True,False,51.78,"LINESTRING (3.2878799 51.3431826, 3.2878895 51.3432629, 3.2879693 51.3436448)",,,,,3,
130435113,Alfred Verweeplein,residential,True,False,75.166,"LINESTRING (3.2878799 51.3431826, 3.2879915 51.3431806, 3.2882378 51.3431679, 3.2888804 51.3431277, 3.2889576 51.343123)",,,,,,
4834296,Lippenslaan,secondary,True,False,12.465,"LINESTRING (3.2877687 51.3424286, 3.2877856 51.3425402)",,,50,,3,
106295689,Boudewijnlaan,residential,True,False,8.124,"LINESTRING (3.2877687 51.3424286, 3.2876519 51.3424325)",,,,,,
4834302,Victor Lamoralstraat,residential,False,False,74.532,"LINESTRING (3.2881704 51.3451594, 3.2882391 51.3451553, 3.2891366 51.345116, 3.2892408 51.3451121)",,,,,,
"[320958738, 194108566]",Lippenslaan,secondary,True,False,165.071,"LINESTRING (3.2881704 51.3451594, 3.2881878 51.3452778, 3.2882849 51.345971, 3.2883009 51.3460948, 3.2883423 51.3463964, 3.2883637 51.3464337, 3.2883769 51.3465246, 3.2883796 51.3465455, 3.2883861 51.3466364)",2,,,,3,
4834303,Piers de Raveschootlaan,residential,False,True,65.299,"LINESTRING (3.2892408 51.3451121, 3.2893364 51.3456963)",,,,,,
4834302,Victor Lamoralstraat,residential,False,False,76.41,"LINESTRING (3.2892408 51.3451121, 3.2901598 51.3450599, 3.2903335 51.3450376)",,,,,,
4834302,Victor Lamoralstraat,residential,False,True,74.53200000000001,"LINESTRING (3.2892408 51.3451121, 3.2891366 51.345116, 3.2882391 51.3451553, 3.2881704 51.3451594)",,,,,,
4834303,Piers de Raveschootlaan,residential,False,False,169.97799999999998,"LINESTRING (3.2892408 51.3451121, 3.2890393 51.3436726, 3.2890254 51.3435894)",,,,,,
4834303,Piers de Raveschootlaan,residential,False,False,52.075,"LINESTRING (3.2890254 51.3435894, 3.2890135 51.3435074, 3.2889919 51.3433585, 3.2889576 51.343123)",,,,,,
4834303,Piers de Raveschootlaan,residential,False,True,169.97799999999998,"LINESTRING (3.2890254 51.3435894, 3.2890393 51.3436726, 3.2892408 51.3451121)",,,,,,
106433222,Alfred Verweeplein,residential,False,True,35.367,"LINESTRING (3.2890254 51.3435894, 3.2891104 51.343585, 3.289484 51.3435654, 3.2895328 51.3435628)",,,,,,
106433222,Alfred Verweeplein,residential,False,False,59.921,"LINESTRING (3.2903925 51.3435179, 3.2895328 51.3435628)",,,,,,
194108559,Albertlaan,residential,False,True,5.477,"LINESTRING (3.2903925 51.3435179, 3.2903845 51.3434689)",,,,,,
194108558,Albertlaan,residential,False,False,147.99699999999999,"LINESTRING (3.2903925 51.3435179, 3.2904778 51.3440872, 3.290564 51.3446623, 3.2905823 51.3448435)",,,,,,
985911796,Albertlaan,residential,False,False,45.436,"LINESTRING (3.2903213 51.3430622, 3.2903845 51.3434689)",,,,,,
985911796,Albertlaan,residential,False,True,61.393,"LINESTRING (3.2903213 51.3430622, 3.2902216 51.3425136)",,,,,,
320958737,Lippenslaan,secondary,True,False,17.267,"LINESTRING (3.2883861 51.3466364, 3.2884058 51.3467912)",,N49c,,,3,
50906058,Burgemeester Frans Desmidtplein,tertiary,True,False,68.428,"LINESTRING (3.2883861 51.3466364, 3.2884725 51.3466022, 3.2886761 51.3465989, 3.2888567 51.3465882, 3.2890277 51.3465801, 3.2891943 51.346578, 3.2893503 51.3465995)",,N360,,,,
4834303,Piers de Raveschootlaan,residential,False,True,52.075,"LINESTRING (3.2889576 51.343123, 3.2889919 51.3433585, 3.2890135 51.3435074, 3.2890254 51.3435894)",,,,,,
4834304,Alfred Verweeplein,residential,True,False,36.044,"LINESTRING (3.2889576 51.343123, 3.2890501 51.3431189, 3.2894055 51.343103, 3.2894752 51.3430999)",,,,,,
126551575,Piers de Raveschootlaan,residential,False,False,71.77900000000001,"LINESTRING (3.2889576 51.343123, 3.2889529 51.3430829, 3.2888532 51.3424808)",,,,,,
248182331,Meerlaan,residential,False,True,82.432,"LINESTRING (3.2823492 51.3425453, 3.2835347 51.3425796)",,,,,,
248182331,Meerlaan,residential,False,False,82.432,"LINESTRING (3.2835347 51.3425796, 3.2823492 51.3425453)",,,,,,
