osmid,oneway,name,highway,junction,reversed,length,lanes,geometry,maxspeed
121801954,True,Brusselbaan,secondary,roundabout,False,1.226,,"LINESTRING (4.2457738 50.7810833, 4.2457625 50.7810917)",
257374247,True,Brusselbaan,secondary,roundabout,False,22.014999999999997,1,"LINESTRING (4.2455817 50.780888, 4.2456242 50.7808854, 4.2457013 50.7808963, 4.2457529 50.7809179, 4.2457915 50.7809493, 4.2458099 50.7809717, 4.2458126 50.7809885)",
23146996,True,Brusselbaan,secondary,roundabout,False,5.632,1,"LINESTRING (4.2455141 50.78111, 4.2454843 50.781094, 4.2454584 50.7810739)",
23147034,True,Victor Nonnemanstraat,secondary,,False,27.008,1,"LINESTRING (4.2455141 50.78111, 4.2454531 50.7811417, 4.2454094 50.7811627, 4.2451865 50.7812347)",
80836655,True,Brusselbaan,secondary,roundabout,False,9.646,1,"LINESTRING (4.2456448 50.7811293, 4.2456142 50.781131, 4.2455595 50.7811244, 4.2455141 50.78111)",
257376301,True,Edouard Rooselaersstraat,secondary,,False,9.952,,"LINESTRING (4.2462751 50.7811282, 4.2461354 50.7811426)",
828541843,False,Edouard Rooselaersstraat,secondary,,True,45.899,,"LINESTRING (4.2462751 50.7811282, 4.2469273 50.7811099)",50
257374243,False,Brusselbaan,tertiary,,True,15.308,2,"LINESTRING (4.2458282 50.7814236, 4.2457934 50.7812877)",
24591362,True,Nieuwenhovenlaan,residential,,False,104.561,,"LINESTRING (4.2458282 50.7814236, 4.2459004 50.7814348, 4.2460335 50.7814553, 4.2468059 50.7820974)",
257374243,False,Brusselbaan,tertiary,,False,302.988,2,"LINESTRING (4.2458282 50.7814236, 4.2460943 50.7822213, 4.2461894 50.7825661, 4.2462574 50.7828129, 4.246472 50.7835455, 4.2465323 50.7838222, 4.2465717 50.7841058)",
257374272,False,Victor Nonnemanstraat,secondary,,True,163.76100000000002,2,"LINESTRING (4.2437865 50.7823119, 4.2437941 50.7822086, 4.2438159 50.7821121, 4.2438599 50.7820157, 4.2439181 50.7819285, 4.2439716 50.7818644, 4.2440306 50.7818042, 4.2441803 50.7816787, 4.2445143 50.7815164, 4.2449069 50.7813449, 4.2451865 50.7812347)",
266818305,False,Victor Nonnemanstraat,residential,,False,61.82299999999999,,"LINESTRING (4.2437865 50.7823119, 4.2437304 50.7822874, 4.2436769 50.782286, 4.2436128 50.7822734, 4.2433795 50.7821214, 4.2433516 50.782097, 4.2433391 50.7820807, 4.243307 50.7819888, 4.2432885 50.7819072)",
335382123,False,Victor Nonnemanstraat,secondary,,False,56.407,,"LINESTRING (4.2437865 50.7823119, 4.2438092 50.782452, 4.2438829 50.7827094, 4.2439132 50.7828125)",
335382123,False,Victor Nonnemanstraat,secondary,,False,44.868,,"LINESTRING (4.2440638 50.7833359, 4.2441304 50.7837372)",
335382123,False,Victor Nonnemanstraat,secondary,,True,59.154999999999994,,"LINESTRING (4.2440638 50.7833359, 4.244004 50.7831281, 4.2439295 50.7828691, 4.2439132 50.7828125)",
341437080,False,Victor Nonnemanstraat,residential,,True,10.761,,"LINESTRING (4.2440638 50.7833359, 4.2441143 50.7833221, 4.2441278 50.7833168, 4.2441974 50.7832892)",
"[257374264, 428460272, 257374262, 477218175]",False,Pastorijstraat,tertiary,,False,152.746,,"LINESTRING (4.2452109 50.780716, 4.245081 50.7806639, 4.2449718 50.7806201, 4.2448649 50.7805763, 4.2447122 50.7805137, 4.2440555 50.780234, 4.2438407 50.7801008, 4.2437734 50.7800515, 4.2436937 50.7799931, 4.2436431 50.7799259, 4.2436104 50.7798368)","['50', '30']"
257374263,True,Pastorijstraat,tertiary,,False,32.63,1,"LINESTRING (4.2452109 50.780716, 4.2454045 50.7807823, 4.245448 50.7808061, 4.2454864 50.7808259, 4.2455211 50.7808489, 4.2455817 50.780888)",
24591130,False,Rink,residential,,False,79.254,,"LINESTRING (4.2436104 50.7798368, 4.2435718 50.7798647, 4.2434289 50.779968, 4.2429139 50.7803968)",
39325631,False,Pastorijstraat,tertiary,,False,30.006,,"LINESTRING (4.2436104 50.7798368, 4.2436226 50.7797837, 4.2436561 50.779729, 4.2437453 50.7795819)",30
