osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,access
496997707,Square Astrid,secondary,30,False,False,6.36,"LINESTRING (5.8098282 49.6850738, 5.8099027 49.6851046)",,,,,
"[398820418, 25616550]",Rue des Faubourgs,residential,"['30', '50']",False,False,107.579,"LINESTRING (5.8098282 49.6850738, 5.8100175 49.6850325, 5.8102363 49.6849885, 5.8104346 49.6849342, 5.8105355 49.6848916, 5.8106587 49.6848396, 5.8108949 49.6847275, 5.8109295 49.6847096, 5.8111219 49.6846101)",,,,,
25616551,Rue de la Caserne,residential,30,True,False,116.55799999999999,"LINESTRING (5.8191068 49.6843763, 5.8190177 49.6844351, 5.818117 49.6850357, 5.8180257 49.6850943, 5.8179738 49.6851255)",,,,,
"[25616555, 398820413]",Rue Godefroid Kurth,residential,"['30', '50']",False,False,80.941,"LINESTRING (5.8191068 49.6843763, 5.8192275 49.6844578, 5.8195084 49.6846383, 5.8196767 49.6847498, 5.8197901 49.6848149, 5.8199195 49.6848782)",,,,,
140507817,Rue Paul Reuter,residential,30,True,False,29.564,"LINESTRING (5.8191068 49.6843763, 5.8188935 49.6842296, 5.8188245 49.6841831)",,,,,
25691763,Rue des Faubourgs,residential,30,True,False,52.701,"LINESTRING (5.8118607 49.6841727, 5.8119575 49.6841205, 5.8124122 49.6838608)",2,,,,
114295578,Rue des Faubourgs,residential,50,False,True,50.236000000000004,"LINESTRING (5.8118607 49.6841727, 5.8117444 49.6842368, 5.8115379 49.684344, 5.8113326 49.6844679)",2,,,,
822188109,Rue des Martyrs,residential,30,True,False,29.701999999999995,"LINESTRING (5.8118607 49.6841727, 5.8117693 49.6841106, 5.8116945 49.6840459, 5.8116661 49.6840201, 5.8116613 49.6840017, 5.8116737 49.6839805, 5.811687 49.6839543)",,,,,
25691762,Rue Joseph Netzer,residential,30,True,False,21.315,"LINESTRING (5.8133705 49.68252, 5.8136089 49.6824062)",,,,,
170774362,Rue Joseph Netzer,residential,30,True,False,17.573,"LINESTRING (5.8133705 49.68252, 5.8134118 49.682456, 5.8134131 49.6824114, 5.8133768 49.6823741)",1,,,,
"[814002912, 398820414]",Rue Saint-Jean,residential,30,True,False,105.67599999999999,"LINESTRING (5.8187705 49.6834512, 5.818838 49.6836419, 5.8189972 49.6840682, 5.8190643 49.6842518, 5.8191068 49.6843763)",,,,,
41773003,Rue des Déportés,secondary,50,False,False,11.197,"LINESTRING (5.8179549 49.6820204, 5.8180437 49.6819377)",,N881,,,
24832240,Avenue Victor Tesch,secondary,50,False,False,19.25,"LINESTRING (5.8179549 49.6820204, 5.8178386 49.6819527, 5.8177484 49.6819107)",,N881,,,
25616553,Rue de la Synagogue,residential,50,True,False,110.33,"LINESTRING (5.8179549 49.6820204, 5.8180374 49.6820604, 5.81906 49.6825566, 5.8191771 49.6826195)",,,,,
252786248,Rue de la Synagogue,residential,50,True,False,90.849,"LINESTRING (5.8191771 49.6826195, 5.8191647 49.6827888, 5.8188375 49.6832563, 5.8187827 49.6833276, 5.8187421 49.6833756)",,,,,
25691760,Rue Busleyden,residential,50,True,False,144.608,"LINESTRING (5.8199195 49.6848782, 5.820043 49.6848204, 5.8201907 49.6845334, 5.8202139 49.6844372, 5.8203158 49.6836379)",,,,,
361774946,Rue Godefroid Kurth,residential,50,False,False,207.57500000000002,"LINESTRING (5.8199195 49.6848782, 5.8200867 49.6849086, 5.8203607 49.6849414, 5.8207075 49.6849596, 5.8212709 49.684967, 5.822363 49.6849812, 5.8227921 49.6849868)",2,,,,
361774948,Rue de Seymerich,residential,50,False,True,85.641,"LINESTRING (5.8199195 49.6848782, 5.8198102 49.6849537, 5.819094 49.6854331)",,,,,
