osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,access,junction,tunnel,width
238888040,True,Rue de la Presse - Drukpersstraat,residential,30,False,77.329,"LINESTRING (4.3671095 50.8477829, 4.3671436 50.8477089, 4.3672852 50.8472475, 4.3673275 50.8471632, 4.367393 50.8471198)",,,,,,
"[257033812, 466218519]",False,Rue de Ligne - de Lignestraat,residential,30,False,129.225,"LINESTRING (4.3621918 50.8488391, 4.3623807 50.848945, 4.3624458 50.8489981, 4.362781 50.8492715, 4.3629056 50.8494322, 4.3630679 50.8497428, 4.3631209 50.8498196)",,,,,,
257033819,True,Place du Congrès - Congresplein,residential,30,False,51.498,"LINESTRING (4.3631209 50.8498196, 4.3636472 50.8497259, 4.3636786 50.8497203, 4.363827 50.8496941)",,,,,,
"[257033812, 466218519]",False,Rue de Ligne - de Lignestraat,residential,30,True,129.225,"LINESTRING (4.3631209 50.8498196, 4.3630679 50.8497428, 4.3629056 50.8494322, 4.362781 50.8492715, 4.3624458 50.8489981, 4.3623807 50.848945, 4.3621918 50.8488391)",,,,,,
13862149,True,Boulevard du Jardin Botanique - Kruidtuinlaan,primary,30,False,10.939,"LINESTRING (4.3655455 50.8530906, 4.3655934 50.8530769, 4.3656399 50.8530637, 4.3656875 50.8530501)",,,,,,
"[1067958597, 1176539943]",True,Rue Royale - Koningsstraat,tertiary,30,False,87.492,"LINESTRING (4.3655455 50.8530906, 4.3655498 50.8530624, 4.3655369 50.8530387, 4.3654509 50.8528809, 4.3651885 50.8523391)",,,,,,
"[40664914, 509417639]",True,Place Madou - Madouplein,living_street,20,False,54.346999999999994,"LINESTRING (4.3693019 50.848966, 4.369432 50.8489936, 4.3694891 50.8490025, 4.369972 50.8491389, 4.3700176 50.8491503)",1,,,,,
"[137409060, 14183854]",True,Place Madou - Madouplein,primary,50,False,60.801,"LINESTRING (4.3693019 50.848966, 4.3693122 50.8490289, 4.3692812 50.8491483, 4.3692131 50.8494222, 4.3691956 50.8495068)",2,,,,,
273449518,True,Boulevard du Jardin Botanique - Kruidtuinlaan,primary,30,False,28.735,"LINESTRING (4.3632014 50.8537605, 4.3635743 50.8536539)",2,,,,,
"[588318544, 1150723779, 273449517, 1174712535]",True,Boulevard Pachéco - Pachecolaan,tertiary,30,False,160.589,"LINESTRING (4.3632014 50.8537605, 4.3631636 50.8537079, 4.3631182 50.8536446, 4.3630677 50.8535455, 4.3627676 50.8529572, 4.362706 50.8528535, 4.362673 50.8527983, 4.3626526 50.852755, 4.3626336 50.8527145, 4.3626178 50.8526769, 4.3626041 50.8525559, 4.362611 50.852467, 4.3626178 50.8523787)","['1', '2']",,,,,
403665648,False,Rue Scailquin - Scailquinstraat,secondary,30,True,57.09400000000001,"LINESTRING (4.369613 50.8496773, 4.3699613 50.8497994, 4.370149 50.8498851, 4.370313 50.8499367)",3,N2,,,,
"[14183853, 510791782]",True,Rue Scailquin - Scailquinstraat,secondary,30,False,32.043,"LINESTRING (4.369613 50.8496773, 4.3694957 50.8496675, 4.3693566 50.8496369, 4.3693284 50.8496331, 4.3692629 50.8496249, 4.3691711 50.849609)",2,N2,,,,
8241451,False,Rue Scailquin - Scailquinstraat,secondary,30,False,33.034,"LINESTRING (4.3730237 50.8498758, 4.3728438 50.8499586, 4.372805 50.8499722, 4.3727497 50.8499915, 4.3726269 50.8500344)",2,N2,,,,
14183849,False,Chaussée de Louvain - Leuvense Steenweg,secondary,30,False,66.456,"LINESTRING (4.3730237 50.8498758, 4.3731532 50.849864, 4.3731941 50.8498603, 4.3732505 50.8498555, 4.373754 50.8498128, 4.3737888 50.8498099, 4.3738407 50.8498051, 4.3739614 50.849794)",4,N2,,,,
314181172,False,Rue Verbist - Verbiststraat,secondary,30,True,19.734,"LINESTRING (4.3749088 50.8498312, 4.3749506 50.8500067)",,N2,,,,
