osmid,highway,maxspeed,junction,oneway,reversed,length,ref,name,geometry
248931856,secondary,50,roundabout,True,False,9.811,,,"LINESTRING (3.0069691 51.2012734, 3.0071039 51.2012989)"
1201063521,secondary,50,,False,False,9.889,N358,Stationsstraat,"LINESTRING (3.0065532 51.201927, 3.0065075 51.2020112)"
145628658,secondary,30,,True,False,33.128,N358,Stationsstraat,"LINESTRING (3.0065532 51.201927, 3.0066201 51.201791, 3.0066484 51.2017268, 3.0066499 51.2016378)"
163234955,unclassified,,,False,True,6.54,,,"LINESTRING (3.0035444 51.2058372, 3.0034621 51.2058089)"
188368865,unclassified,70,,False,True,374.441,,Puidebroekstraat,"LINESTRING (3.0035444 51.2058372, 3.0035891 51.2058491, 3.0036874 51.2058623, 3.003801 51.2058712, 3.0041927 51.2058312, 3.008753 51.2050825)"
145628659,secondary,50,,True,False,25.523,N358,Stationsstraat,"LINESTRING (3.0068932 51.201051, 3.0069134 51.2011834, 3.0069691 51.2012734)"
799154354,secondary,50,,True,False,39.347,,,"LINESTRING (3.0068932 51.201051, 3.0069447 51.20112, 3.0069931 51.2011456, 3.0070503 51.2011615, 3.0071267 51.2011657, 3.0071929 51.2011635, 3.0072622 51.201147, 3.0073572 51.2011272)"
132063275,secondary,50,,True,False,36.93,,,"LINESTRING (3.0073572 51.2011272, 3.0074834 51.201058, 3.007526 51.2010453, 3.007662 51.2010239, 3.0078367 51.2010181)"
100946820,secondary,50,,True,False,28.247,N358,Stationsstraat,"LINESTRING (3.0067798 51.2012942, 3.0068365 51.2012044, 3.0068932 51.201051)"
248931857,secondary,50,roundabout,True,False,13.518,,,"LINESTRING (3.0067798 51.2012942, 3.0068722 51.2012756, 3.0069691 51.2012734)"
51715337,motorway_link,,,True,False,314.312,,,"LINESTRING (3.0125985 51.2008644, 3.0122561 51.2009579, 3.0111253 51.2011326, 3.0082907 51.2016945)"
145628656,secondary,50,,False,False,10.969,N358,Stationsstraat,"LINESTRING (3.0043479 51.204905, 3.0042489 51.2049817)"
"[145628656, 1201063521]",secondary,50,,False,True,359.94599999999997,N358,Stationsstraat,"LINESTRING (3.0043479 51.204905, 3.0043975 51.2048714, 3.0044605 51.2048262, 3.0045802 51.2047563, 3.0047953 51.2046393, 3.0048643 51.2045973, 3.004914 51.2045602, 3.0049698 51.2045122, 3.0050266 51.2044549, 3.0050724 51.2044022, 3.0051017 51.2043621, 3.0051443 51.2043024, 3.0059701 51.20293, 3.0060683 51.2027667, 3.0062879 51.202389, 3.0065075 51.2020112)"
100946823,secondary,50,roundabout,True,False,14.701,,,"LINESTRING (3.0068252 51.2017088, 3.0067242 51.2016794, 3.0066499 51.2016378)"
145628657,secondary,50,,True,False,30.828999999999997,N358,Stationsstraat,"LINESTRING (3.0068252 51.2017088, 3.0067494 51.2017594, 3.0065532 51.201927)"
145628656,secondary,50,,False,True,10.969,N358,Stationsstraat,"LINESTRING (3.0042489 51.2049817, 3.0043479 51.204905)"
163234951,secondary,50,,True,False,60.800000000000004,N358,Stationsstraat,"LINESTRING (3.0042489 51.2049817, 3.004219 51.205041, 3.0041581 51.205111, 3.0038578 51.2054695)"
