osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge,junction
93158973,True,Rue de la Collégiale,residential,False,72.507,"LINESTRING (5.237775 50.5190554, 5.2380085 50.519022, 5.2385241 50.5189614, 5.2387844 50.5189797)",,,,,
360625084,False,Quai de Namur,primary,False,48.315,"LINESTRING (5.237775 50.5190554, 5.2380394 50.5192868, 5.2381826 50.5194041)",N90,50,,,
"[375005626, 946415190]",False,"['Chaussée Napoléon', 'Quai de Namur']",primary,True,230.44000000000003,"LINESTRING (5.237775 50.5190554, 5.2374275 50.518813, 5.2370359 50.5185485, 5.236679 50.5183059, 5.2363063 50.5180333, 5.2361157 50.5178945, 5.2359473 50.5177408, 5.2357841 50.5175552, 5.2357097 50.5174631)",N90,50,,,
"[54202322, 109573794, 54202327, 109573791]",True,"['Rue des Augustins', 'Rue des Rôtisseurs']",residential,False,140.251,"LINESTRING (5.239588 50.5186846, 5.2397563 50.5187203, 5.2400742 50.5188076, 5.2401815 50.5188395, 5.2406903 50.5190067, 5.2408342 50.519255, 5.2410083 50.51945)",,30,,,
"[245167003, 392462924]",False,Avenue des Ardennes,primary,False,118.725,"LINESTRING (5.239588 50.5186846, 5.2395497 50.518782, 5.2395303 50.5188348, 5.2395012 50.5189063, 5.2394472 50.5190309, 5.2393442 50.5191916, 5.239188 50.5193219, 5.2391056 50.5193752, 5.2390364 50.5194147, 5.2387073 50.5195297)",N641,50,,,
"[22937290, 1196003490]",False,Avenue des Ardennes,primary,True,48.387,"LINESTRING (5.239588 50.5186846, 5.2396109 50.5186306, 5.2396546 50.5185274, 5.2397721 50.5182655)",N64,50,,,
24509680,True,Avenue des Ardennes,primary,False,10.164,"LINESTRING (5.2387073 50.5195297, 5.2386479 50.5195708, 5.2386146 50.5195994)",N90,50,,,
"[245167003, 392462924]",False,Avenue des Ardennes,primary,True,118.72500000000001,"LINESTRING (5.2387073 50.5195297, 5.2390364 50.5194147, 5.2391056 50.5193752, 5.239188 50.5193219, 5.2393442 50.5191916, 5.2394472 50.5190309, 5.2395012 50.5189063, 5.2395303 50.5188348, 5.2395497 50.518782, 5.239588 50.5186846)",N641,50,,,
8594068,False,Rue Neuve,primary,False,14.483,"LINESTRING (5.236683 50.52038, 5.2365126 50.5204523)",N64,50,3,,
"[946397667, 946397668, 28854824, 614278359, 614278360]",False,Pont Roi Baudouin,primary,True,140.92500000000004,"LINESTRING (5.236683 50.52038, 5.2368584 50.5203062, 5.2372487 50.5201419, 5.2376135 50.5199891, 5.2382095 50.5197398, 5.2382847 50.5197094, 5.2383056 50.5197015, 5.2383488 50.519684)",,50,4,yes,
