osmid,tunnel,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge,width,access
142494522,yes,True,Anneau Central-Nord,secondary,50,False,91.888,"LINESTRING (4.6143204 50.6700383, 4.6140443 50.6700282, 4.6138457 50.6700233, 4.6130177 50.6700042)",,,,,,
31812532,yes,True,Anneau Central,secondary,50,False,42.650000000000006,"LINESTRING (4.6130177 50.6700042, 4.612938 50.6700447, 4.6128783 50.6701187, 4.6128353 50.6702057, 4.6128157 50.6703497)",,,,,,
8047029,,True,Boulevard de l'Est,secondary,50,False,95.76400000000001,"LINESTRING (4.6191099 50.6725792, 4.6190888 50.6726763, 4.6190587 50.6727646, 4.6190118 50.6728116, 4.6189582 50.6728434, 4.6188942 50.6728718, 4.6188784 50.6728788, 4.6187852 50.6729004, 4.618722 50.6729075, 4.6186586 50.6729079, 4.6185509 50.672876, 4.6184776 50.6728277, 4.6182185 50.672677)",,,,,,
"[594533706, 594533707, 31812559, 569002741, 569002742, 31812662]",yes,True,Boulevard de Wallonie-Nord,secondary,50,False,404.394,"LINESTRING (4.6182185 50.672677, 4.6181215 50.6726068, 4.6176793 50.6722748, 4.6176142 50.6722271, 4.6168275 50.6716797, 4.6162558 50.6712558, 4.6159771 50.671059, 4.6158458 50.6709628, 4.6155635 50.6707615, 4.6151145 50.6704409, 4.6147126 50.6701539, 4.6145224 50.6700901, 4.6143204 50.6700383)",3,,,,,
"[357299680, 599369614]",,True,Boulevard de Lauzelle,secondary,50,False,226.74699999999999,"LINESTRING (4.6197274 50.6782251, 4.6194975 50.6781373, 4.6192346 50.6780167, 4.6189222 50.6778432, 4.6186986 50.6777041, 4.6181851 50.6773386, 4.6178279 50.67707, 4.6174877 50.6768597, 4.6174201 50.6768179)","['2', '3']",N250,,,,
"[31820258, 142494523, 31820259, 223035079]","['yes', 'building_passage']",True,"['Anneau Central-Nord', 'Anneau Central']",secondary,50,False,129.251,"LINESTRING (4.6128157 50.6703497, 4.6129368 50.6705225, 4.6129709 50.6705637, 4.6130539 50.6706921, 4.6130774 50.6707551, 4.6130749 50.6708534, 4.6129947 50.6709609, 4.6129067 50.6710053, 4.6126336 50.6710797, 4.612353 50.6711398, 4.6122639 50.6711557)",2,,,,,
64890196,,False,Avenue de Citeaux,residential,50,True,11.539,"LINESTRING (4.6179628 50.6764906, 4.6180496 50.6764496, 4.6180929 50.6764276)",,,,,,
201348795,,True,Avenue de Citeaux,residential,50,False,42.961,"LINESTRING (4.6179628 50.6764906, 4.617788 50.6766257, 4.6177135 50.6767125, 4.6176977 50.6767699, 4.6177079 50.6768241)",,,,,,
584977551,,False,Rue de Clairvaux,residential,50,True,77.17,"LINESTRING (4.6189669 50.6762227, 4.6192916 50.6768855)",,,,,,
64890196,,False,Avenue de Citeaux,residential,50,False,65.84700000000001,"LINESTRING (4.6189669 50.6762227, 4.6183323 50.6763503, 4.6180929 50.6764276)",,,,,,
64890196,,False,Avenue de Citeaux,residential,50,True,20.875,"LINESTRING (4.6189669 50.6762227, 4.6191689 50.676177, 4.6192473 50.6761623)",,,,,,
149368076,,True,Boulevard du Nord,tertiary,50,False,55.893,"LINESTRING (4.6098795 50.673665, 4.609638 50.6738249, 4.6096015 50.6738964, 4.6095957 50.6739107, 4.6096082 50.6740057, 4.6096549 50.6740971)",,,,,,
"[532476106, 403360770, 155575469]",,False,Boulevard du Nord,tertiary,"['50', '30']",True,351.513,"LINESTRING (4.6098795 50.673665, 4.6105591 50.6732456, 4.610838 50.6730992, 4.6110766 50.6729937, 4.6112983 50.6729179, 4.6115088 50.6728488, 4.6118357 50.672751, 4.6118614 50.6727433, 4.6120172 50.6726867, 4.61215 50.6726222, 4.6122966 50.6725105, 4.6123581 50.6724435, 4.6124119 50.6723769, 4.6124466 50.6723122, 4.6124643 50.6722456, 4.6124794 50.6721591, 4.6124818 50.672096, 4.612476 50.6720492, 4.6124574 50.6720023, 4.6123649 50.6718395, 4.6123037 50.6717121, 4.6122103 50.6715178, 4.6121119 50.6713478)",2,,,,,
341994642,,True,Chaussée de Wavre,primary,70,False,14.475000000000001,"LINESTRING (4.6204691 50.6786362, 4.6204219 50.6785784, 4.6203993 50.6785149)",1,N4,roundabout,,,
31812669,,True,Boulevard de Lauzelle,secondary,50,False,58.423,"LINESTRING (4.6203993 50.6785149, 4.620333 50.6784517, 4.6202659 50.6784047, 4.6201768 50.6783663, 4.6197274 50.6782251)",1,,,,,
341994642,,True,Chaussée de Wavre,primary,70,False,27.922,"LINESTRING (4.6203993 50.6785149, 4.6204022 50.6784522, 4.6204291 50.6783917, 4.6204784 50.6783373, 4.6205472 50.6782921)",1,N4,roundabout,,,
