osmid,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,access
40347983,N5,Chaussée de Bruxelles,primary,50,roundabout,True,False,12.114,"LINESTRING (4.3976726 50.7196522, 4.3976336 50.71965, 4.3975979 50.7196394, 4.3975702 50.7196218, 4.3975505 50.7195898)",,
"[175319674, 42440557]",N5,Chaussée de Bruxelles,primary,50,,False,True,65.492,"LINESTRING (4.3976726 50.7196522, 4.3976631 50.7197775, 4.3976948 50.7200211, 4.3977112 50.7201477, 4.3977173 50.7202397)","['2', '4']",
288509393,N5,Chaussée de Bruxelles,primary,50,roundabout,True,False,24.029000000000003,"LINESTRING (4.397664 50.7195095, 4.3977026 50.7195141, 4.3977348 50.719526, 4.3977602 50.7195449, 4.3977743 50.7195698, 4.397773 50.719585, 4.3977711 50.719601, 4.3977426 50.7196315, 4.3977106 50.7196457, 4.3976726 50.7196522)",,
"[291970860, 1050410341]",N5,Chaussée de Bruxelles,primary,50,,False,True,181.316,"LINESTRING (4.397664 50.7195095, 4.3976577 50.7193761, 4.3976639 50.7192771, 4.3977003 50.71908, 4.3978692 50.7182092, 4.3978969 50.7180909, 4.3979011 50.7180598, 4.3979328 50.7178895)","['2', '4']",
27611287,,Venelle des Trois Sapins,residential,30,,False,False,99.16199999999999,"LINESTRING (4.3975505 50.7195898, 4.3973296 50.7196526, 4.3962941 50.719758, 4.3961765 50.7197567)",,
40347983,N5,Chaussée de Bruxelles,primary,50,roundabout,True,False,13.492,"LINESTRING (4.3975505 50.7195898, 4.3975504 50.7195746, 4.3975607 50.7195506, 4.3975713 50.7195392, 4.3975995 50.7195218, 4.3976354 50.7195117, 4.397664 50.7195095)",,
13886065,,Rue de la Station,tertiary,30,,False,False,28.475,"LINESTRING (4.3979328 50.7178895, 4.3977231 50.7178681, 4.3976698 50.7178633, 4.3975338 50.7178477)",,
"[291970860, 1050410341]",N5,Chaussée de Bruxelles,primary,50,,False,False,181.316,"LINESTRING (4.3979328 50.7178895, 4.3979011 50.7180598, 4.3978969 50.7180909, 4.3978692 50.7182092, 4.3977003 50.71908, 4.3976639 50.7192771, 4.3976577 50.7193761, 4.397664 50.7195095)","['2', '4']",
"[509307317, 349933647]",N5,Chaussée de Bruxelles,primary,50,,False,True,125.70100000000001,"LINESTRING (4.3979328 50.7178895, 4.3979544 50.7177632, 4.3979626 50.7177134, 4.3979934 50.7175692, 4.3980604 50.7172746, 4.398108 50.7170528, 4.398174 50.7168158, 4.3981865 50.7167708)",2,
"[354301161, 1045541453]",,Avenue Reine Astrid,tertiary,50,,False,True,240.075,"LINESTRING (4.3979328 50.7178895, 4.3981055 50.7179018, 4.3982126 50.7179093, 4.3987031 50.7179441, 4.3989034 50.7179565, 4.3989415 50.7179589, 4.3992681 50.7179825, 4.3993371 50.717988, 4.3995764 50.7180048, 4.4004005 50.7180626, 4.4013221 50.7181272)",3,
