osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,width,junction
231945290,True,Avenue Louise - Louizalaan,residential,30,False,83.644,"LINESTRING (4.3618924 50.8295477, 4.3612402 50.8301771)",,,
4730648,False,Rue du Beau Site - Welgelegenstraat,residential,30,False,155.705,"LINESTRING (4.362796 50.8286768, 4.3628135 50.8286951, 4.362836 50.8287179, 4.3635605 50.8294795, 4.3639388 50.8298767)",,,
40493385,True,Avenue Louise - Louizalaan,residential,30,False,59.647000000000006,"LINESTRING (4.362796 50.8286768, 4.362439 50.8290185, 4.3624226 50.8290348, 4.3623314 50.8291258)",,,
"[36786445, 628757206]",False,Rue du Trône - Troonstraat,secondary,30,True,173.311,"LINESTRING (4.3729853 50.8345717, 4.3729428 50.8346064, 4.3729233 50.834622, 4.3728842 50.8346531, 4.372211 50.8351897, 4.3719683 50.8353861, 4.3717275 50.8355814, 4.3715779 50.8357096, 4.3715436 50.835739, 4.3715243 50.8357555, 4.3714825 50.8358067)",3,,
36786443,False,Chaussée de Wavre - Waverse Steenweg,tertiary,30,False,171.46900000000002,"LINESTRING (4.3714825 50.8358067, 4.371618 50.8358298, 4.3717349 50.8358437, 4.3717983 50.8358524, 4.372306 50.8359259, 4.372485 50.8359524, 4.3725518 50.8359631, 4.3726539 50.8359754, 4.3728025 50.8359804, 4.3730456 50.8359697, 4.3737302 50.8359093, 4.3738849 50.8358956)",,,
"[36786445, 628757206]",False,Rue du Trône - Troonstraat,secondary,30,False,173.31100000000004,"LINESTRING (4.3714825 50.8358067, 4.3715243 50.8357555, 4.3715436 50.835739, 4.3715779 50.8357096, 4.3717275 50.8355814, 4.3719683 50.8353861, 4.372211 50.8351897, 4.3728842 50.8346531, 4.3729233 50.834622, 4.3729428 50.8346064, 4.3729853 50.8345717)",3,,
231483339,True,Chaussée de Wavre - Waverse Steenweg,tertiary,30,False,131.446,"LINESTRING (4.3714825 50.8358067, 4.3713568 50.8357852, 4.3711579 50.8357524, 4.3710897 50.8357411, 4.3705863 50.8356574, 4.3700427 50.8355671, 4.3698079 50.8355431, 4.3696631 50.8355384)",,,
"[900443644, 36786444]",False,Rue du Trône - Troonstraat,secondary,30,True,97.89099999999999,"LINESTRING (4.3714825 50.8358067, 4.3714349 50.835866, 4.3714086 50.8358867, 4.3713616 50.8359236, 4.3711828 50.8360641, 4.3708197 50.8363495, 4.3707815 50.8363791, 4.3707414 50.8364103, 4.3707058 50.8364379, 4.3706301 50.8365016)",3,,
"[900443644, 36786444]",False,Rue du Trône - Troonstraat,secondary,30,False,97.891,"LINESTRING (4.3706301 50.8365016, 4.3707058 50.8364379, 4.3707414 50.8364103, 4.3707815 50.8363791, 4.3708197 50.8363495, 4.3711828 50.8360641, 4.3713616 50.8359236, 4.3714086 50.8358867, 4.3714349 50.835866, 4.3714825 50.8358067)",3,,
231483332,False,Rue d'Idalie - Idaliestraat,tertiary,30,True,125.945,"LINESTRING (4.3706301 50.8365016, 4.3707095 50.8365604, 4.3707255 50.8365714, 4.3707688 50.8366008, 4.3715554 50.8371041, 4.3716409 50.8371616, 4.3717865 50.8372675, 4.3718684 50.8373204)",3,,
832629331,False,Rue Maria Malibran - Maria Malibranstraat,secondary,30,False,11.607,"LINESTRING (4.3729007 50.8297243, 4.3729593 50.8298219)",,7.3,
150276011,True,Rue Scarron - Scarronstraat,residential,30,False,168.63,"LINESTRING (4.3729007 50.8297243, 4.3727831 50.8297452, 4.3726987 50.8297627, 4.3706349 50.8297245, 4.3705096 50.8297242)",1,,
17670100,False,Rue Maria Malibran - Maria Malibranstraat,secondary,30,True,94.325,"LINESTRING (4.3735036 50.8307182, 4.3734635 50.8306472, 4.3734419 50.8306085, 4.373292 50.8303663, 4.3731486 50.8301348, 4.3730199 50.8299269)",,7.3,
4730637,True,Rue Sans Souci - Sans Soucistraat,residential,30,False,162.51299999999998,"LINESTRING (4.3730632 50.8321592, 4.3718693 50.8328401, 4.3713288 50.8331264)",,,
8152056,True,Rue du Viaduc - Viaductstraat,living_street,20,False,128.54,"LINESTRING (4.372119 50.8341919, 4.3720641 50.834168, 4.3706115 50.8335363)",,,
"[1198625656, 28208880]",True,Rue du Viaduc - Viaductstraat,residential,30,False,74.065,"LINESTRING (4.372119 50.8341919, 4.3721713 50.8342152, 4.3722141 50.8342341, 4.372835 50.8345083, 4.3728867 50.8345312, 4.3729111 50.834542, 4.3729853 50.8345717)",,6.5,
"[1198625658, 231483335]",True,Rue Goffart - Goffartstraat,residential,30,False,155.65999999999997,"LINESTRING (4.372119 50.8341919, 4.3720642 50.834221, 4.3720153 50.834247, 4.3715332 50.8345032, 4.371284 50.8346337, 4.3704644 50.835063, 4.3704165 50.8350883)",,,
4730637,True,Rue Sans Souci - Sans Soucistraat,residential,30,False,67.934,"LINESTRING (4.3713288 50.8331264, 4.3706115 50.8335363)",,,
31448937,True,Rue du Viaduc - Viaductstraat,residential,30,False,80.895,"LINESTRING (4.3706115 50.8335363, 4.3696591 50.8331271)",,,
4730637,True,Rue Sans Souci - Sans Soucistraat,residential,30,False,141.529,"LINESTRING (4.3706115 50.8335363, 4.3705267 50.8335845, 4.3691417 50.834305, 4.3690561 50.8343454)",,,
1111106315,True,Rue Jean Van Volsem - Jean Van Volsemstraat,residential,30,False,84.592,"LINESTRING (4.3722312 50.8316091, 4.3730632 50.8321592)",,,
8384914,False,Rue Jean Van Volsem - Jean Van Volsemstraat,residential,30,False,87.678,"LINESTRING (4.3722312 50.8316091, 4.3714429 50.8310844, 4.3714036 50.8310633, 4.3713644 50.8310421)",,,
4730631,True,Rue de la Cité - Woonwijkstraat,residential,30,False,80.492,"LINESTRING (4.37052 50.8326135, 4.3713288 50.8331264)",,,
65583365,True,Rue Van Aa - Van Aastraat,residential,30,False,164.061,"LINESTRING (4.37052 50.8326135, 4.3722312 50.8316091)",,,
4730631,True,Rue de la Cité - Woonwijkstraat,residential,30,False,67.243,"LINESTRING (4.3698428 50.832186, 4.37052 50.8326135)",,,
265117578,True,Rue du Collège - Collegestraat,residential,30,False,160.183,"LINESTRING (4.3698428 50.832186, 4.3711929 50.8311141, 4.3712242 50.8310847, 4.3712555 50.8310553)",,,
14118783,True,Rue Maes - Maesstraat,residential,30,False,142.16199999999998,"LINESTRING (4.3691702 50.8311894, 4.3692725 50.8311776, 4.3710988 50.8309947, 4.371169 50.8309877)",,,
567036033,True,Rue Maes - Maesstraat,residential,30,False,50.032999999999994,"LINESTRING (4.3691702 50.8311894, 4.3690862 50.831199, 4.3686338 50.8312483, 4.3686073 50.8312471, 4.3685748 50.8312395, 4.3684789 50.8312099)",,,
14118784,False,Rue Jean Van Volsem - Jean Van Volsemstraat,residential,30,False,45.061,"LINESTRING (4.3701033 50.8301544, 4.3700569 50.8301231, 4.3697474 50.8299145, 4.369726 50.8299001, 4.3696646 50.8298587)",,5.9,
14118784,False,Rue Jean Van Volsem - Jean Van Volsemstraat,residential,30,True,115.718,"LINESTRING (4.3701033 50.8301544, 4.3701603 50.8301934, 4.3711521 50.8308716, 4.3712212 50.8309189)",,5.9,
150276013,True,Rue de Venise - Venetiëstraat,residential,30,False,132.438,"LINESTRING (4.3701033 50.8301544, 4.3700603 50.8302021, 4.3692293 50.8311239, 4.3691702 50.8311894)",,,
107118812,True,Rue du Couloir - Gangstraat,residential,30,False,127.66399999999999,"LINESTRING (4.3705096 50.8297242, 4.370674 50.8298181, 4.3718037 50.8304766, 4.3718475 50.8305014)",,,
150276013,True,Rue de Venise - Venetiëstraat,residential,30,False,55.983,"LINESTRING (4.3705096 50.8297242, 4.3704536 50.8297605, 4.370423 50.8297804, 4.3701336 50.830119, 4.3701033 50.8301544)",,,
