osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,bridge,ref,access,tunnel
25397828,True,1,Kaai,residential,30,2.5,False,56.818999999999996,"LINESTRING (3.8802863 50.77158, 3.8802756 50.7716263, 3.8802701 50.7716611, 3.8802341 50.7717823, 3.880222 50.7718186, 3.8801852 50.7719293, 3.8801182 50.7720791)",,,,
31295090,False,2,Brugstraat,residential,30,,False,32.992,"LINESTRING (3.8802863 50.77158, 3.8803937 50.7715693, 3.8807518 50.7715434)",,,,
"[229368632, 51812713, 1049733123, 51812708]",False,,Brugstraat,residential,,,False,41.961,"LINESTRING (3.8802863 50.77158, 3.8802285 50.7715872, 3.8801604 50.7715934, 3.879787 50.7716283, 3.8796966 50.7716374)",yes,,,
38353925,True,,Wegvoeringstraat,residential,30,,False,165.14299999999997,"LINESTRING (3.8779756 50.771737, 3.8779999 50.7717867, 3.8780629 50.7719213, 3.8781671 50.7721436, 3.8783112 50.7724512, 3.8785604 50.7730396, 3.8785802 50.7731144, 3.8785951 50.7731687)",,,,
226829598,True,,Grotestraat,residential,30,,False,64.097,"LINESTRING (3.8779756 50.771737, 3.8780626 50.7717309, 3.8788809 50.7716699)",,,,
116939682,False,,Sint-Annastraat,residential,,,True,140.423,"LINESTRING (3.8816118 50.7755693, 3.8814996 50.7755561, 3.8796472 50.7753426)",,,,
"[226833141, 226829615]",False,,Weverijstraat,residential,,,False,235.851,"LINESTRING (3.8816118 50.7755693, 3.8815882 50.7753436, 3.8815112 50.7747729, 3.8814882 50.7744293, 3.8815117 50.7743068, 3.8815165 50.7742645, 3.8815147 50.7741871, 3.8815003 50.774082, 3.8814823 50.7739762, 3.8814411 50.7735846, 3.8814423 50.773516, 3.8814433 50.773454)",,,,
140833952,False,,Denderstraat,residential,30,,False,89.22999999999999,"LINESTRING (3.8814433 50.773454, 3.8815318 50.7734751, 3.8816714 50.773494, 3.8821663 50.7735788, 3.8825613 50.7736491, 3.8826646 50.7736701)",,,,
147154143,False,,Denderstraat,residential,30,,True,106.75800000000001,"LINESTRING (3.8814433 50.773454, 3.8813372 50.7734288, 3.8808158 50.7733695, 3.8803878 50.7733331, 3.8801573 50.7733069, 3.8799503 50.7732884)",,,,
"[226833141, 226829615]",False,,Weverijstraat,residential,,,True,235.851,"LINESTRING (3.8814433 50.773454, 3.8814423 50.773516, 3.8814411 50.7735846, 3.8814823 50.7739762, 3.8815003 50.774082, 3.8815147 50.7741871, 3.8815165 50.7742645, 3.8815117 50.7743068, 3.8814882 50.7744293, 3.8815112 50.7747729, 3.8815882 50.7753436, 3.8816118 50.7755693)",,,,
