osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,lanes
405922414,N141,Heidestraat,secondary,70,False,True,7.076,"LINESTRING (5.1544294 51.1029904, 5.1543314 51.1029742)",,,
"[405922417, 529896573]",N141,Heidestraat,secondary,70,False,False,381.769,"LINESTRING (5.1544294 51.1029904, 5.1546427 51.1030227, 5.1572664 51.1034159, 5.1573184 51.1034237, 5.1597467 51.1037904)",,,
"[417246429, 93370594, 417246437]",,Diktestraat,residential,50,False,True,103.631,"LINESTRING (5.1544294 51.1029904, 5.1544342 51.1030361, 5.1544425 51.1031162, 5.154504 51.1032641, 5.1545653 51.1034565, 5.1546493 51.1037199, 5.1546785 51.1038314, 5.154698 51.1039056)",3,,
93370594,,Diktestraat,residential,50,False,False,35.083,"LINESTRING (5.1546642 51.1042189, 5.1546939 51.104119, 5.1547072 51.1040142, 5.154698 51.1039056)",3,,
"[117182057, 417246467]",,Groenstraat,residential,50,False,False,315.829,"LINESTRING (5.1546642 51.1042189, 5.155026 51.1042887, 5.1557735 51.1044329, 5.156192 51.1045596, 5.1565307 51.1046839, 5.1583497 51.1055759, 5.1585194 51.1056401)",3.5,,
93370574,,Gerhoevenstraat,residential,,False,True,224.469,"LINESTRING (5.1557078 51.1082557, 5.1565044 51.1090522, 5.1567153 51.1092434, 5.1569178 51.1094118, 5.1575093 51.1099264)",,,
117182053,,Nieuwstraat,residential,,False,False,344.236,"LINESTRING (5.1557078 51.1082557, 5.1565553 51.1079352, 5.1567377 51.1077962, 5.1571512 51.1072801, 5.1581979 51.1061667, 5.1583257 51.106003, 5.1584488 51.1057741)",,,
405922397,,Broekstraat,residential,,False,False,50.582,"LINESTRING (5.1557078 51.1082557, 5.1556019 51.1082983, 5.1555216 51.1082968, 5.1550578 51.1081514)",,,
"[405922432, 117182055]",,Mastentopstraat,unclassified,,False,False,116.417,"LINESTRING (5.1615082 51.1011091, 5.1614423 51.1012115, 5.1613877 51.1012896, 5.1608885 51.102081)",,,
"[816118930, 417246475, 816118931, 93388828]",,Meulenven,residential,"['50', '30']",False,True,258.075,"LINESTRING (5.1545331 51.1013059, 5.1548075 51.1013241, 5.1555714 51.1014019, 5.1557518 51.1014372, 5.1560538 51.1014701, 5.15644 51.1015057, 5.1569389 51.1015581, 5.1572087 51.1015476, 5.1577299 51.1016146, 5.1581725 51.1016731)",,,
