osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,maxspeed,access,ref,junction
"[106664203, 29092220, 106664110]",Rue de Gerlinpont,tertiary,False,True,79.529,yes,"LINESTRING (4.4262742 50.247549, 4.425939 50.2472537, 4.4257607 50.2470872, 4.4255351 50.2470519)",,,,,
313204894,Rue de Gerlinpont,tertiary,True,False,44.97,,"LINESTRING (4.4262742 50.247549, 4.426522 50.247757, 4.4266035 50.2478423, 4.4266112 50.247885)",,,,,
97293056,Rue Notre-Dame,tertiary,False,False,206.678,,"LINESTRING (4.427398 50.2489308, 4.4291319 50.250013, 4.4293326 50.2501358, 4.429462 50.2502383)",,,,,
106664275,Rue de Gerlinpont,tertiary,False,True,104.805,,"LINESTRING (4.427398 50.2489308, 4.4269192 50.2486793, 4.4267024 50.2484454, 4.426654 50.2483114, 4.4266433 50.2482817, 4.4266416 50.2481753)",,,,,
263776371,Rue de Bourgogne,tertiary,False,False,174.328,,"LINESTRING (4.427398 50.2489308, 4.4275412 50.2489124, 4.4295738 50.2496084)",2,50,,,
453081544,Rue de Bourgogne,tertiary,False,False,109.269,,"LINESTRING (4.4295738 50.2496084, 4.430883 50.2490938)",2,50,,,
263776371,Rue de Bourgogne,tertiary,False,True,174.328,,"LINESTRING (4.4295738 50.2496084, 4.4275412 50.2489124, 4.427398 50.2489308)",2,50,,,
"[91373218, 239262818, 239262830]",Rue Saint-Pierre,tertiary,False,"[False, True]",126.118,yes,"LINESTRING (4.434822 50.25386, 4.4348831 50.2537974, 4.4349223 50.2537579, 4.4349625 50.2537202, 4.4350697 50.2536307, 4.4353625 50.253201, 4.4354934 50.2531028, 4.4355406 50.2531084, 4.4355827 50.2531156, 4.43576 50.2531572, 4.4358793 50.2531745)","['1', '2']",50,,,
"[484917835, 484517068, 484917836]",Rue de la Montagne,tertiary,False,False,53.343999999999994,yes,"LINESTRING (4.434822 50.25386, 4.434685 50.2537869, 4.4345016 50.2537769, 4.4342751 50.2537963, 4.4341171 50.2538092)",2,50,,,
"[1044297530, 263776364]",Grand Place,residential,False,False,84.726,,"LINESTRING (4.4317446 50.2518237, 4.431841 50.2518258, 4.43213 50.2518321, 4.4323218 50.2518052, 4.4323983 50.2517834, 4.4325164 50.2517047, 4.432715 50.2515163)",1,50,,,
"[409235692, 263776366]","['Place des Combattants', 'Grand Place']",tertiary,False,True,132.67999999999998,,"LINESTRING (4.4317446 50.2518237, 4.4317797 50.2519492, 4.4318796 50.2524842, 4.4319218 50.2527289, 4.4319298 50.2530096)",2,50,,,
