osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,ref,width,bridge,junction
24302500,Bovenweg,residential,30,False,False,134.376,"LINESTRING (4.461136 50.985711, 4.4612908 50.9856133, 4.461894 50.9852396, 4.4622978 50.9849975, 4.462531 50.9848822)",,,,,,
24302510,Bovenweg,residential,50,False,False,223.73100000000002,"LINESTRING (4.461136 50.985711, 4.4608659 50.9859088, 4.4605119 50.9860257, 4.4600335 50.9861681, 4.459587 50.9863032, 4.4591321 50.9864599, 4.458763 50.986649, 4.4585294 50.986824)",,,,,,
926869253,Graaf de Bailletstraat,residential,,False,True,140.929,"LINESTRING (4.461136 50.985711, 4.4610704 50.9856616, 4.4602819 50.9852596, 4.4600152 50.9851543, 4.4595689 50.9849196)",,,,,,
"[24302465, 24293157, 927156702]","['Boskerkweg', 'Bovenweg']",residential,"['30', '50']",False,"[False, True]",429.11199999999997,"LINESTRING (4.462531 50.9848822, 4.4628228 50.9847093, 4.4605873 50.9835207, 4.4599208 50.9832026, 4.4583535 50.9824546)",1,destination,,,,
24302500,Bovenweg,residential,30,False,True,134.376,"LINESTRING (4.462531 50.9848822, 4.4622978 50.9849975, 4.461894 50.9852396, 4.4612908 50.9856133, 4.461136 50.985711)",,,,,,
879921272,Bovenweg,residential,30,False,False,106.759,"LINESTRING (4.462531 50.9848822, 4.4626132 50.9849372, 4.4632377 50.9854694, 4.4633276 50.985551, 4.4633772 50.9856047, 4.463391 50.9856656)",,,,,,
366532477,Hoogstraat,tertiary,30,False,False,127.48500000000001,"LINESTRING (4.463391 50.9856656, 4.4631085 50.9856876, 4.4627721 50.9857355, 4.4626098 50.9857729, 4.462462 50.9858234, 4.4622199 50.9859363, 4.461761 50.9861265)",,,,,,
366532477,Hoogstraat,tertiary,30,False,True,64.028,"LINESTRING (4.463391 50.9856656, 4.4637069 50.9856407, 4.463819 50.9856221, 4.464071 50.9855546, 4.4642534 50.9854936)",,,,,,
879921272,Bovenweg,residential,30,False,True,106.759,"LINESTRING (4.463391 50.9856656, 4.4633772 50.9856047, 4.4633276 50.985551, 4.4632377 50.9854694, 4.4626132 50.9849372, 4.462531 50.9848822)",,,,,,
24330475,Smiskensweg,residential,30,False,False,134.185,"LINESTRING (4.4642534 50.9854936, 4.4646012 50.9857803, 4.4649765 50.9861069, 4.4653877 50.9863912, 4.465468 50.9864205)",,,,,,
366532477,Hoogstraat,tertiary,30,False,False,64.028,"LINESTRING (4.4642534 50.9854936, 4.464071 50.9855546, 4.463819 50.9856221, 4.4637069 50.9856407, 4.463391 50.9856656)",,,,,,
"[366532477, 1155222478, 23586255]",Hoogstraat,tertiary,"['30', '50']",False,True,61.351,"LINESTRING (4.4642534 50.9854936, 4.4644309 50.9853999, 4.4645657 50.985315, 4.4647538 50.9851866, 4.4647983 50.9851529, 4.464811 50.9851398, 4.4648666 50.9851013)",3,,,,,
"[295320577, 295320578, 476603691]",Brusselsesteenweg,primary,50,False,False,196.75,"LINESTRING (4.4648666 50.9851013, 4.4650509 50.9851887, 4.4652801 50.985302, 4.4654265 50.985358, 4.465685 50.9854416, 4.465895 50.9854882, 4.4661292 50.9855239, 4.4663449 50.985539, 4.4669437 50.9855867, 4.4672513 50.9856172, 4.4674731 50.9856579)","['2', '3']",,N1,,,
"[295320579, 295320580]",Brusselsesteenweg,primary,50,False,True,125.299,"LINESTRING (4.4648666 50.9851013, 4.4647361 50.9850385, 4.4645684 50.9849517, 4.4642221 50.9847802, 4.463809 50.9845802, 4.4636251 50.9844803, 4.4635497 50.9844253, 4.4635018 50.9843784)","['2', '3']",,N1,,,
"[366532480, 23209217, 1155222476]",Stationslaan,tertiary,"['50', '30']",False,False,90.95700000000001,"LINESTRING (4.4648666 50.9851013, 4.4649035 50.9850739, 4.4649299 50.9850542, 4.4649502 50.9850396, 4.4649933 50.9850044, 4.4651931 50.9847891, 4.4652947 50.9846173, 4.4653724 50.9844858, 4.4654244 50.9843993, 4.4654406 50.9843743)",3,,,,,
"[366532477, 1155222478, 23586255]",Hoogstraat,tertiary,"['50', '30']",False,False,61.351,"LINESTRING (4.4648666 50.9851013, 4.464811 50.9851398, 4.4647983 50.9851529, 4.4647538 50.9851866, 4.4645657 50.985315, 4.4644309 50.9853999, 4.4642534 50.9854936)",3,,,,,
24288377,Sint-Pietersstraat,residential,50,False,False,246.902,"LINESTRING (4.4677407 50.9825753, 4.4676869 50.9825346, 4.4676353 50.9824738, 4.4674891 50.9822489, 4.4674023 50.9821421, 4.4672093 50.9819497, 4.4669652 50.9817161, 4.4667558 50.9815151, 4.4667171 50.9814779, 4.4665076 50.9813021, 4.4656531 50.9808179)",,,,,,
"[315150220, 315150221, 650737553, 223838611, 23572415, 23572413, 927156703]",Stationslaan,tertiary,50,False,False,292.224,"LINESTRING (4.4677407 50.9825753, 4.4678111 50.9825252, 4.4680134 50.9823801, 4.4687471 50.981846, 4.468802 50.9818114, 4.4689703 50.9816962, 4.4689929 50.9816795, 4.4694613 50.9813337, 4.4695936 50.9812723, 4.4703606 50.9807369, 4.4705046 50.9806104)",,,,4,yes,
"[315150219, 201513462, 315150222, 879850739]",Stationslaan,tertiary,"['50', '30']",False,True,174.224,"LINESTRING (4.4677407 50.9825753, 4.4677274 50.9825896, 4.4676236 50.9826669, 4.4664298 50.9835022, 4.4662902 50.9836017, 4.4661111 50.9837259, 4.4660891 50.9837466)",,,,4,,
477674505,Vredelaan,residential,50,False,False,10.971,"LINESTRING (4.4707423 50.9804503, 4.4708472 50.980377)",,,,,,
25874953,Stationslaan,tertiary,50,False,True,24.39,"LINESTRING (4.4707423 50.9804503, 4.4706277 50.9805208, 4.4705046 50.9806104)",,,,,,
23211084,Limietvoetweg,unclassified,,False,False,62.964,"LINESTRING (4.4705046 50.9806104, 4.4698001 50.9802584)",,,,,,
25874953,Stationslaan,tertiary,50,False,False,24.39,"LINESTRING (4.4705046 50.9806104, 4.4706277 50.9805208, 4.4707423 50.9804503)",,,,,,
"[315150220, 315150221, 650737553, 223838611, 23572415, 23572413, 927156703]",Stationslaan,tertiary,50,False,True,292.224,"LINESTRING (4.4705046 50.9806104, 4.4703606 50.9807369, 4.4695936 50.9812723, 4.4694613 50.9813337, 4.4689929 50.9816795, 4.4689703 50.9816962, 4.468802 50.9818114, 4.4687471 50.981846, 4.4680134 50.9823801, 4.4678111 50.9825252, 4.4677407 50.9825753)",,,,4,yes,
23211084,Limietvoetweg,unclassified,,False,True,62.964,"LINESTRING (4.4698001 50.9802584, 4.4705046 50.9806104)",,,,,,
23211187,Kloosterstraat,residential,30,False,False,133.695,"LINESTRING (4.4660891 50.9837466, 4.4665231 50.9839921, 4.4670295 50.9842083, 4.4673048 50.9843281, 4.4675152 50.9844196, 4.4676174 50.984464)",,,,,,
"[315150218, 23213814]",Schoolstraat,residential,50,False,False,192.16599999999997,"LINESTRING (4.4660891 50.9837466, 4.465785 50.9835707, 4.4653114 50.9833348, 4.4650013 50.9831743, 4.4647951 50.9830521, 4.4645958 50.9829329, 4.4645962 50.982931, 4.4642486 50.9827169, 4.4640426 50.9825981)",,,,5,,
"[315150222, 879850739, 315150219, 201513462]",Stationslaan,tertiary,"['30', '50']",False,False,174.224,"LINESTRING (4.4660891 50.9837466, 4.4661111 50.9837259, 4.4662902 50.9836017, 4.4664298 50.9835022, 4.4676236 50.9826669, 4.4677274 50.9825896, 4.4677407 50.9825753)",,,,4,,
879850740,Stationslaan,tertiary,30,False,True,22.906,"LINESTRING (4.4660891 50.9837466, 4.465948 50.9838508, 4.4658784 50.9839042)",,,,,,
23214470,Kloosterstraat,residential,30,False,False,76.43,"LINESTRING (4.4676174 50.984464, 4.4684471 50.9840172)",,,,,,
"[879850738, 23211187]",Kloosterstraat,residential,30,False,"[False, True]",99.01100000000001,"LINESTRING (4.4676174 50.984464, 4.4676732 50.9845325, 4.4677075 50.9846153, 4.467802 50.9848369, 4.4679509 50.9851739, 4.4679924 50.9852601, 4.4680116 50.9853174)",,,,,,
23211187,Kloosterstraat,residential,30,False,True,133.695,"LINESTRING (4.4676174 50.984464, 4.4675152 50.9844196, 4.4673048 50.9843281, 4.4670295 50.9842083, 4.4665231 50.9839921, 4.4660891 50.9837466)",,,,,,
25521821,Kloosterstraat,residential,30,False,True,6.266,"LINESTRING (4.4679148 50.9857355, 4.4678781 50.9857869)",,,,,,
"[879850738, 25521821]",Kloosterstraat,residential,30,False,False,49.586,"LINESTRING (4.4679148 50.9857355, 4.4679435 50.9856959, 4.4679543 50.9856809, 4.4679788 50.9856444, 4.4680763 50.9855134, 4.4680769 50.985464, 4.4680116 50.9853174)",,,,,,
319719101,Brusselsesteenweg,primary,50,True,False,98.02199999999999,"LINESTRING (4.4679148 50.9857355, 4.4680596 50.9857811, 4.468094 50.985792, 4.4684037 50.9859287, 4.4686195 50.9860387, 4.468794 50.9861329, 4.4689858 50.9862895)",2,,N1,,,
187054750,Achter de Melkerij,residential,30,False,False,140.172,"LINESTRING (4.4680116 50.9853174, 4.4681047 50.9853011, 4.468259 50.9852313, 4.4684944 50.9851428, 4.4687297 50.9850879, 4.4689875 50.985097, 4.4691738 50.9851285, 4.4693219 50.9851229, 4.4694585 50.9850401, 4.4695079 50.9849421, 4.4694433 50.984837, 4.4693923 50.984818)",,,,,,
"[879850738, 23211187]",Kloosterstraat,residential,30,False,"[False, True]",99.01100000000001,"LINESTRING (4.4680116 50.9853174, 4.4679924 50.9852601, 4.4679509 50.9851739, 4.467802 50.9848369, 4.4677075 50.9846153, 4.4676732 50.9845325, 4.4676174 50.984464)",,,,,,
"[879850738, 25521821]",Kloosterstraat,residential,30,False,True,49.586,"LINESTRING (4.4680116 50.9853174, 4.4680769 50.985464, 4.4680763 50.9855134, 4.4679788 50.9856444, 4.4679543 50.9856809, 4.4679435 50.9856959, 4.4679148 50.9857355)",,,,,,
23227534,Edgard Tinelstraat,residential,50,False,False,38.886,"LINESTRING (4.4603262 50.9798638, 4.4600986 50.9800064, 4.4600638 50.9800282, 4.460033 50.980055, 4.4599552 50.9801227)",,,,6,,
