osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes
34510963,Sint-Annastraat,residential,30,5,False,False,204.581,"LINESTRING (4.9070592 50.9379885, 4.9069566 50.9379449, 4.9068271 50.9379117, 4.9043616 50.9378399, 4.9041739 50.9378338)",
"[379155860, 101930301]",Rillaarseweg,tertiary,"['30', '50']",5,False,False,251.519,"LINESTRING (4.9070592 50.9379885, 4.9072443 50.9378437, 4.907371 50.9377753, 4.9075925 50.9376685, 4.9082445 50.9374157, 4.908477 50.9373015, 4.9086415 50.9372022, 4.9087162 50.9371502, 4.9088231 50.9370616, 4.9088753 50.9370084, 4.9089644 50.9369084, 4.9090199 50.9368414, 4.9090696 50.9367735, 4.9091116 50.9367041, 4.9091407 50.9366449, 4.909164 50.936594, 4.909205 50.9364695, 4.9092231 50.9363119)",2
52329555,Kruisstraat,tertiary,50,,False,False,209.257,"LINESTRING (4.9092231 50.9363119, 4.9092712 50.9363113, 4.909331 50.9363107, 4.9094022 50.9363029, 4.9094605 50.9362838, 4.9097408 50.9361773, 4.9101515 50.9360212, 4.9102273 50.9359924, 4.9103697 50.9359458, 4.9104904 50.9359112, 4.9106509 50.9358717, 4.9119519 50.9355825)",
379155848,Blerebergstraat,tertiary,50,6,False,False,235.885,"LINESTRING (4.9092231 50.9363119, 4.9092153 50.9362123, 4.9091937 50.93599, 4.9091785 50.9358164, 4.9091645 50.9356038, 4.9091216 50.9351929, 4.9090168 50.9341946)",
"[379155860, 101930301]",Rillaarseweg,tertiary,"['50', '30']",5,False,True,251.519,"LINESTRING (4.9092231 50.9363119, 4.909205 50.9364695, 4.909164 50.936594, 4.9091407 50.9366449, 4.9091116 50.9367041, 4.9090696 50.9367735, 4.9090199 50.9368414, 4.9089644 50.9369084, 4.9088753 50.9370084, 4.9088231 50.9370616, 4.9087162 50.9371502, 4.9086415 50.9372022, 4.908477 50.9373015, 4.9082445 50.9374157, 4.9075925 50.9376685, 4.907371 50.9377753, 4.9072443 50.9378437, 4.9070592 50.9379885)",2
34299414,Blerebergstraat,tertiary,50,6,False,False,173.425,"LINESTRING (4.9090168 50.9341946, 4.9090014 50.9339726, 4.9089997 50.9337704, 4.9090203 50.9335568, 4.909072 50.9332542, 4.9091831 50.9326413)",
81361954,Postweg,residential,30,3,False,False,116.36000000000001,"LINESTRING (4.9090168 50.9341946, 4.9087031 50.934241, 4.9081411 50.9343536, 4.9079918 50.9343657, 4.9077928 50.9343415, 4.9074132 50.9342719)",
379155848,Blerebergstraat,tertiary,50,6,False,True,235.885,"LINESTRING (4.9090168 50.9341946, 4.9091216 50.9351929, 4.9091645 50.9356038, 4.9091785 50.9358164, 4.9091937 50.93599, 4.9092153 50.9362123, 4.9092231 50.9363119)",
34299414,Blerebergstraat,tertiary,50,6,False,True,5.976,"LINESTRING (4.9091927 50.9325879, 4.9091831 50.9326413)",
34335435,Keulestraat,residential,50,5,False,False,296.698,"LINESTRING (4.9091927 50.9325879, 4.909114 50.9325821, 4.9086282 50.9325464, 4.9070769 50.9324387, 4.9066756 50.9324108, 4.9064918 50.932386, 4.9063303 50.9323539, 4.9061482 50.9322989, 4.9060323 50.9322525, 4.9053352 50.9317967)",
105318314,Hellekens,residential,30,3,False,False,12.6,"LINESTRING (4.9167676 50.9330502, 4.9168667 50.9330341, 4.9169434 50.9330273)",
