osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,junction,bridge
"[283924594, 88286675]",Rue du Chemin de Fer - Spoorwegstraat,residential,False,False,285.062,"LINESTRING (2.9974148 50.7711411, 2.9975012 50.7711658, 2.9979369 50.7712858, 2.9982567 50.7713746, 2.9983529 50.7714004, 2.9984228 50.7714173, 2.9984911 50.7714326, 2.9986574 50.7714657, 2.998715 50.7714793, 2.9990845 50.7715837, 2.9991834 50.7716115, 2.9993092 50.7716463, 2.9993534 50.771659, 2.9994329 50.7716857, 2.9995103 50.7717133, 2.9996014 50.7717392, 3.0009817 50.7721198, 3.0011314 50.7721613)",,,,,
"[283924592, 291717348]",Rue de la Gare - Stationstraat,tertiary,False,True,17.693,"LINESTRING (2.9974148 50.7711411, 2.9973908 50.7711682, 2.9973232 50.7712493, 2.997298 50.771282)",,,,,
291717349,Rue de la Gare - Stationstraat,tertiary,False,False,100.99,"LINESTRING (2.9974148 50.7711411, 2.9974853 50.7710696, 2.997899 50.7706758, 2.9981326 50.7704561, 2.9982159 50.7703876)",,,,,
"[30134878, 368642279]",Rue des Déportés - Gedeporteerdenstraat,residential,False,False,112.534,"LINESTRING (2.997298 50.771282, 2.9972145 50.7712609, 2.9970846 50.7712282, 2.9960406 50.7709677, 2.9958097 50.7709101)",,,,,
161453326,Rue de la Gare - Stationstraat,tertiary,False,True,37.915,"LINESTRING (2.997298 50.771282, 2.9972734 50.7713222, 2.9972535 50.7713627, 2.9972346 50.7714036, 2.9972218 50.7714286, 2.9971934 50.7715192, 2.9971764 50.7716128)",,,,,
"[283924592, 291717348]",Rue de la Gare - Stationstraat,tertiary,False,False,17.693,"LINESTRING (2.997298 50.771282, 2.9973232 50.7712493, 2.9973908 50.7711682, 2.9974148 50.7711411)",,,,,
283730242,Rue de la République,tertiary,False,True,29.381,"LINESTRING (3.0049955 50.7640846, 3.0050909 50.7641374, 3.0051745 50.7641805, 3.0053155 50.7642544)",,,,,
283992725,Rue des Bateliers,residential,False,True,86.667,"LINESTRING (3.0049955 50.7640846, 3.0049304 50.7641375, 3.0049017 50.7641595, 3.0042599 50.7646321, 3.0041996 50.7646795)",,,,,
283730242,Rue de la République,tertiary,False,False,77.346,"LINESTRING (3.0061219 50.7647263, 3.0060223 50.7646625, 3.0058805 50.764574, 3.0057614 50.764497, 3.0057071 50.7644641, 3.0056594 50.7644356, 3.0055938 50.7644017, 3.0055163 50.7643611, 3.0053757 50.7642851, 3.0053155 50.7642544)",,,,,
"[237456303, 283924596, 879061407]",Rue du Maréchal Foch,tertiary,False,True,88.88499999999999,"LINESTRING (3.0061219 50.7647263, 3.0060565 50.7647753, 3.0060103 50.7648138, 3.0059554 50.7648594, 3.0058171 50.7649745, 3.0057576 50.7650241, 3.0054873 50.7652494, 3.0053536 50.7653609)",M 308,,,,
27225342,Rue des Bateliers,residential,False,True,44.501,"LINESTRING (3.0041996 50.7646795, 3.0038004 50.76499)",,,,,
52208526,Rue Basse Bretagne,residential,False,True,128.40599999999998,"LINESTRING (3.0041996 50.7646795, 3.0040999 50.7646374, 3.003766 50.7644943, 3.0033205 50.7643104, 3.003291 50.7642982, 3.0032021 50.7642633, 3.0031196 50.7642338, 3.003037 50.7642049, 3.0028583 50.7641479, 3.0027652 50.7641177, 3.0026464 50.7640749)",,30,,,
283992725,Rue des Bateliers,residential,False,False,86.66699999999999,"LINESTRING (3.0041996 50.7646795, 3.0042599 50.7646321, 3.0049017 50.7641595, 3.0049304 50.7641375, 3.0049955 50.7640846)",,,,,
52208521,Rue Saint-Pierre,residential,False,False,87.798,"LINESTRING (3.0045833 50.7648939, 3.0053155 50.7642544)",,,,,
27225343,Rue Pierre Housez,residential,True,False,36.04,"LINESTRING (3.0045833 50.7648939, 3.0043342 50.7647471, 3.0042761 50.7647158, 3.0041996 50.7646795)",,,,,
879061408,Rue Neuve,residential,False,False,47.833,"LINESTRING (3.0023046 50.7644468, 3.0026464 50.7640749)",,30,,,
