osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access,lanes,ref,tunnel
30165927,Herderstraat,residential,False,True,15.991999999999999,"LINESTRING (4.0493674 51.0725664, 4.0492678 51.072529, 4.0491833 51.072482)",,,,,,
1237830453,Dommekensstraat,residential,False,True,15.104,"LINESTRING (4.0461984 51.0763031, 4.0459826 51.0762949)",50,,,,,
24151375,Dommekensstraat,residential,False,False,19.488,"LINESTRING (4.0461984 51.0763031, 4.0463024 51.0763122, 4.0464747 51.0763272)",50,,,,,
24151375,Dommekensstraat,residential,False,True,19.488,"LINESTRING (4.0464747 51.0763272, 4.0463024 51.0763122, 4.0461984 51.0763031)",50,,,,,
1237830454,Lokerenbaan,tertiary,False,False,21.839,"LINESTRING (4.0404673 51.0745875, 4.040519 51.0747812)",50,,,,,
30385368,Binnenhof,residential,False,False,67.336,"LINESTRING (4.0404673 51.0745875, 4.0403145 51.0745456, 4.0399424 51.0744058, 4.0397059 51.074323, 4.0396538 51.0743222, 4.0396202 51.0743366)",,,,,,
217166416,Lokerenbaan,tertiary,False,True,80.76599999999999,"LINESTRING (4.0404673 51.0745875, 4.0403915 51.0742656, 4.0403213 51.0740309, 4.0402997 51.0739566, 4.0402777 51.0738711)",30,,,,,
30166492,Elststraat,residential,True,False,141.00400000000002,"LINESTRING (4.0402777 51.0738711, 4.0401946 51.0739014, 4.0394918 51.0742061, 4.039415 51.0742078, 4.039341 51.0741744, 4.0390547 51.0740376, 4.0386252 51.0738313)",30,,,,,
145666769,Lokerenbaan,tertiary,False,True,21.786,"LINESTRING (4.0402777 51.0738711, 4.0402496 51.0737717, 4.0402231 51.0736782)",30,,,,,
217166416,Lokerenbaan,tertiary,False,False,80.76599999999999,"LINESTRING (4.0402777 51.0738711, 4.0402997 51.0739566, 4.0403213 51.0740309, 4.0403915 51.0742656, 4.0404673 51.0745875)",30,,,,,
699631395,Avil Geerincklaan,residential,True,False,40.964,"LINESTRING (4.0362124 51.0701732, 4.0362119 51.0701432, 4.03622 51.0701294, 4.0362827 51.0700346, 4.0364192 51.0698309)",30,roundabout,,,,
