osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,junction,bridge,width,access
569441994,Heldenplein,tertiary,50,False,True,6.934,,"LINESTRING (4.4243805 50.9266545, 4.4243978 50.9265931)",,,,,
"[596641366, 16355399]",Vuurkruisenlaan,secondary,50,True,False,120.02000000000001,N211,"LINESTRING (4.4243805 50.9266545, 4.424203 50.9266482, 4.424092 50.926631, 4.4239943 50.9266194, 4.4238711 50.9266047, 4.4236493 50.9265632, 4.4233616 50.9264892, 4.4229442 50.9263647, 4.4228051 50.9262816)",,,,,
"[1164437099, 131423020]","['Lange Molenstraat', 'Heldenplein']",tertiary,"['50', '30']",False,False,88.92899999999999,,"LINESTRING (4.4243805 50.9266545, 4.4243527 50.9267533, 4.4243406 50.9267965, 4.4242583 50.927089, 4.424231 50.9271862, 4.4242074 50.9272495, 4.4241866 50.9272779, 4.4241654 50.9273069, 4.4241164 50.9273594, 4.4240527 50.9274175)",2,,,,
569441994,Heldenplein,tertiary,50,False,False,6.934,,"LINESTRING (4.4243978 50.9265931, 4.4243805 50.9266545)",,,,,
40163479,Heldenplein,secondary,50,True,False,105.658,N211,"LINESTRING (4.4243978 50.9265931, 4.4244553 50.9265863, 4.4246376 50.9265291, 4.4255356 50.9262473, 4.4255658 50.9262449, 4.4257759 50.9262281)",2,,,,
"[1051017258, 147952429, 28657486]",Tuchthuisstraat,residential,30,False,False,128.53199999999998,,"LINESTRING (4.4243978 50.9265931, 4.4244548 50.9264535, 4.4244833 50.926393, 4.4244898 50.9263465, 4.4242925 50.9260301, 4.4240985 50.9257225, 4.4240335 50.9256093, 4.4240095 50.9255675, 4.423998 50.9255345, 4.4239869 50.9255029)",,,,,
"[127454264, 353744117, 640568934, 353744119]",Jean-Baptiste Nowélei,secondary,50,True,False,119.35,N1,"LINESTRING (4.4257116 50.9278254, 4.4256907 50.9277973, 4.4256694 50.9277539, 4.4256467 50.927689, 4.4256402 50.9276532, 4.425632 50.9275949, 4.4256305 50.927559, 4.4256306 50.9275043, 4.4256367 50.9274554, 4.4256454 50.9274116, 4.4256598 50.9273774, 4.4256879 50.9273217, 4.4257602 50.927212, 4.425795 50.9271582, 4.4258164 50.9271282, 4.4258369 50.9270968, 4.4258529 50.9270662, 4.4258612 50.9270431, 4.4258659 50.9270209, 4.4258584 50.9269323, 4.4258479 50.926785)",1,,,,
"[353744113, 189302418, 353744118]",Jean-Baptiste Nowélei,secondary,50,True,False,178.759,N1,"LINESTRING (4.4258479 50.926785, 4.4259393 50.9269255, 4.4259489 50.9269694, 4.4259499 50.9269962, 4.4259473 50.927019, 4.4259403 50.927058, 4.4259269 50.9270888, 4.4259109 50.9271189, 4.425893 50.9271466, 4.4258704 50.927181, 4.4258384 50.9272323, 4.4257713 50.927338, 4.42574 50.9273909, 4.4257278 50.9274254, 4.4257196 50.9274593, 4.4257136 50.9275077, 4.425713 50.9275565, 4.4257161 50.9276061, 4.4257216 50.9276503, 4.4257281 50.9276822, 4.4257507 50.9277434, 4.4257707 50.9277797, 4.4257923 50.9278101, 4.4258216 50.927846, 4.4258529 50.9278798, 4.4259715 50.928007, 4.4261606 50.9282064, 4.4262297 50.9282726)",1,,,,
465927431,Jean-Baptiste Nowélei,secondary,50,False,False,49.101,N1,"LINESTRING (4.4258479 50.926785, 4.425801 50.9266207, 4.4257997 50.9266009, 4.4257982 50.9265778, 4.4257834 50.9263463)",3,,,,
41710958,Kleine Molenstraat,residential,30,True,False,130.916,,"LINESTRING (4.4240527 50.9274175, 4.4242549 50.9275133, 4.4246678 50.9277362, 4.4247563 50.9277625, 4.4249792 50.9278159, 4.4254375 50.9278394, 4.4256075 50.9278341, 4.4256329 50.927832, 4.4257116 50.9278254)",,,,,
131423020,Lange Molenstraat,tertiary,30,False,False,79.16300000000001,,"LINESTRING (4.4240527 50.9274175, 4.4239213 50.927509, 4.4238166 50.9275749, 4.4236071 50.9277066, 4.423248 50.9279166)",2,,,,
"[1164437099, 131423020]","['Lange Molenstraat', 'Heldenplein']",tertiary,"['30', '50']",False,True,88.929,,"LINESTRING (4.4240527 50.9274175, 4.4241164 50.9273594, 4.4241654 50.9273069, 4.4241866 50.9272779, 4.4242074 50.9272495, 4.424231 50.9271862, 4.4242583 50.927089, 4.4243406 50.9267965, 4.4243527 50.9267533, 4.4243805 50.9266545)",2,,,,
"[314335680, 84306051]",Lange Molenstraat,tertiary,30,False,False,84.024,,"LINESTRING (4.423248 50.9279166, 4.4231664 50.9279532, 4.422603 50.92816, 4.4224999 50.9281937, 4.4222046 50.9282874)",2,,,,
131423020,Lange Molenstraat,tertiary,30,False,True,79.163,,"LINESTRING (4.423248 50.9279166, 4.4236071 50.9277066, 4.4238166 50.9275749, 4.4239213 50.927509, 4.4240527 50.9274175)",2,,,,
136604765,Vlaanderenstraat,residential,30,False,False,33.562,,"LINESTRING (4.4211984 50.9289559, 4.4215675 50.9291482)",,,,,
351704708,Vlaanderenstraat,residential,30,False,True,10.785,,"LINESTRING (4.4211984 50.9289559, 4.4210839 50.9288911)",2,,,,
314335680,Lange Molenstraat,tertiary,30,False,True,103.07299999999998,,"LINESTRING (4.4211984 50.9289559, 4.421667 50.9285886, 4.4218916 50.9284397, 4.4219827 50.9283865, 4.4220331 50.928357, 4.4222046 50.9282874)",2,,,,
24671053,Mechelsestraat,residential,,False,False,84.99199999999999,,"LINESTRING (4.4221341 50.9295394, 4.4221322 50.9295683, 4.4221229 50.9296001, 4.4218772 50.9301888, 4.421867 50.9302219, 4.4218692 50.9302523, 4.421878 50.930282)",,,,,
136604765,Vlaanderenstraat,residential,30,False,True,31.752,,"LINESTRING (4.4221341 50.9295394, 4.4221153 50.9295058, 4.4220942 50.9294709, 4.4220544 50.9294394, 4.4218558 50.929321)",,,,,
24671053,Mechelsestraat,residential,,False,True,84.99199999999999,,"LINESTRING (4.421878 50.930282, 4.4218692 50.9302523, 4.421867 50.9302219, 4.4218772 50.9301888, 4.4221229 50.9296001, 4.4221322 50.9295683, 4.4221341 50.9295394)",,,,,
24671057,Mechelsestraat,residential,30,True,False,80.80399999999999,,"LINESTRING (4.421878 50.930282, 4.4218929 50.9303158, 4.4219166 50.9303391, 4.42232 50.9306042, 4.4226047 50.9307806, 4.4226619 50.9308075)",,,,,
29001341,Kolveniersstraat,residential,30,False,True,110.082,,"LINESTRING (4.421878 50.930282, 4.4218292 50.9303637, 4.4213565 50.9310101, 4.4212167 50.9311795)",,,,,
24671037,Franklin Rooseveltlaan,residential,50,True,False,137.04399999999998,,"LINESTRING (4.4279011 50.9303675, 4.4278146 50.9303834, 4.4277542 50.9303959, 4.4268968 50.9305738, 4.4265471 50.9306479, 4.4260437 50.9307528)",,,,,
"[353744112, 596641365]",Hendrik I-lei,primary,50,True,False,45.07,N1,"LINESTRING (4.4279011 50.9303675, 4.4277508 50.9301299, 4.4276625 50.9299911)",2,,,,
"[314335682, 24666078]",Mechelsesteenweg,residential,30,False,False,53.763,,"LINESTRING (4.4234115 50.9313002, 4.4234778 50.9313882, 4.4236511 50.931643, 4.4236905 50.9316962, 4.423729 50.9317401)",,,,,
29001382,Drenkplaatsstraat,residential,30,True,False,182.03400000000002,,"LINESTRING (4.4234115 50.9313002, 4.4210329 50.9317514, 4.4209195 50.9317543)",,,,,
73153237,Vlaanderenstraat,residential,30,False,True,43.708,,"LINESTRING (4.4201255 50.9281587, 4.4197073 50.9278671)",2,,,,
351704708,Vlaanderenstraat,residential,30,False,False,28.155,,"LINESTRING (4.4201255 50.9281587, 4.4204023 50.9283422)",2,,,,
