osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,bridge,access
42437917,2,N6,Rue de Bruxelles,primary,False,False,12.947,"LINESTRING (4.2042459 50.6933128, 4.2042134 50.6934274)",,,,
24885775,2,N6,Grand-Place,primary,False,True,60.804,"LINESTRING (4.2042459 50.6933128, 4.204289 50.6931771, 4.2043315 50.693098, 4.2044167 50.6930228, 4.2046016 50.6929198, 4.2046731 50.6928584)",,,,
1235156825,1,,Grand-Place,residential,True,False,59.504,"LINESTRING (4.2042459 50.6933128, 4.2047907 50.6934051, 4.2048035 50.6934074, 4.2049792 50.6934367, 4.2050094 50.6934419, 4.205062 50.693451)",30,,,
"[367047632, 1107810469]",2,N6,Rue de Mons,primary,False,False,152.151,"LINESTRING (4.201024 50.6890119, 4.2014463 50.6894193, 4.2019029 50.6898598, 4.2020926 50.6900493, 4.202206 50.6901571)","['50', '30']",,,
23149686,,,"Rond-Point du ""Trafic""",secondary,True,False,17.179,"LINESTRING (4.2071436 50.6936646, 4.2071761 50.6936319, 4.2072235 50.6936076, 4.2072807 50.6935942, 4.2073416 50.6935933)",,roundabout,,
23330108,,N246,Rue de la Déportation,secondary,True,False,85.943,"LINESTRING (4.2071436 50.6936646, 4.2072068 50.6934007, 4.2072075 50.6931728, 4.2071572 50.6930186, 4.2071084 50.692902)",,,,
130867769,,,Rue du Pont Demeur,residential,False,False,35.201,"LINESTRING (4.2074122 50.6938121, 4.2075108 50.6938572, 4.2077087 50.6940613)",,,,
257539011,,,"Rond-Point du ""Trafic""",secondary,True,False,13.697,"LINESTRING (4.2074122 50.6938121, 4.2073517 50.6938269, 4.2072869 50.6938276, 4.2072256 50.6938143)",,roundabout,,
257539011,,,"Rond-Point du ""Trafic""",secondary,True,False,13.692,"LINESTRING (4.2075029 50.6937088, 4.2074926 50.6937493, 4.2074612 50.6937852, 4.2074122 50.6938121)",,roundabout,,
138543216,3,N6,Rue de Bruxelles,primary,False,False,28.073999999999998,"LINESTRING (4.2039958 50.6957272, 4.2039607 50.6956675, 4.2039432 50.6956033, 4.2039394 50.6954797)",,,,
897637919,,N224,Chaussée d'Hondzocht,secondary,False,False,54.239,"LINESTRING (4.2039958 50.6957272, 4.203919 50.6957596, 4.2038453 50.6958065, 4.2037666 50.695876, 4.2036944 50.6959696, 4.2035857 50.6961288)",,,,
23149892,,,Rue Lacroix,residential,False,False,44.546,"LINESTRING (4.2039394 50.6954797, 4.2038426 50.6954785, 4.203653 50.6954787, 4.2035092 50.6954788, 4.2033113 50.6955051)",,,,
138543216,3,N6,Rue de Bruxelles,primary,False,True,28.074,"LINESTRING (4.2039394 50.6954797, 4.2039432 50.6956033, 4.2039607 50.6956675, 4.2039958 50.6957272)",,,,
"[1107810473, 1107810471]",3,N6,Rue de Bruxelles,primary,False,False,48.093999999999994,"LINESTRING (4.2039394 50.6954797, 4.2039401 50.6953984, 4.2039426 50.6952018, 4.2039453 50.6950472)",,,,
23149892,,,Rue Lacroix,residential,False,False,51.874,"LINESTRING (4.2033113 50.6955051, 4.2031365 50.6955602, 4.2026607 50.6957236)",,,,
23149892,,,Rue Lacroix,residential,False,True,44.54600000000001,"LINESTRING (4.2033113 50.6955051, 4.2035092 50.6954788, 4.203653 50.6954787, 4.2038426 50.6954785, 4.2039394 50.6954797)",,,,
