osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed,junction,tunnel
294768772,Square de la Brigade Piron,unclassified,False,True,9.861,,"LINESTRING (4.9087329 50.2608668, 4.9085975 50.2608475)",,,,,
235269324,Rue de la Station,primary,False,False,80.18,N96,"LINESTRING (4.9087329 50.2608668, 4.9089407 50.2606611, 4.9090837 50.2605319, 4.9092788 50.2603852, 4.9094224 50.2602998)",,,,,
"[799465896, 25672371]",Pont Charles de Gaulle,primary,False,False,107.735,N936,"LINESTRING (4.9104734 50.260209, 4.910585 50.26023, 4.9118382 50.2604718, 4.9119246 50.2604883)",2,yes,40,,
25672470,Rue de la Station,primary,False,True,37.148,N96,"LINESTRING (4.9104734 50.260209, 4.9100786 50.260121, 4.9099818 50.2600959)",,,,,
108014064,Avenue Colonel Cadoux,residential,True,False,73.297,,"LINESTRING (4.9104734 50.260209, 4.9104172 50.2602797, 4.9103894 50.2603147, 4.9101224 50.2606274, 4.9099738 50.2607854)",,,,,
"[940010361, 25672652]",Avenue Winston Churchill,primary,True,False,135.734,N95,"LINESTRING (4.9123984 50.2595905, 4.9125022 50.2592786, 4.9126118 50.2589441, 4.9126382 50.2588637, 4.9128408 50.2584037)",1,,30,,
77889525,Rue Georges Cousot,primary,True,False,52.278,N95,"LINESTRING (4.9148671 50.2554544, 4.9148942 50.2553218, 4.9149213 50.2551773, 4.9149558 50.2549877)",1,,,,
"[1151517704, 25672239]",Avenue Winston Churchill,primary,True,False,43.933,N95,"LINESTRING (4.9121908 50.2604039, 4.9121965 50.2603873, 4.9122991 50.2601149, 4.9123056 50.2600959, 4.9123315 50.2600192)",,,,,
234571510,,residential,False,True,13.127,,"LINESTRING (4.9162559 50.2560443, 4.9164246 50.2560923)",,,,,
"[651012010, 25674994, 509317583]","['Place Saint-Nicolas', 'Rue Grande']",primary,True,False,71.135,N95A,"LINESTRING (4.9162559 50.2560443, 4.9161303 50.2562222, 4.9161171 50.2562371, 4.916084 50.2562745, 4.915829 50.2565779, 4.915797 50.2566123)",,,,,
235270758,Rue Grande,primary,True,False,78.436,N95A,"LINESTRING (4.9133346 50.2594171, 4.913105 50.2599792, 4.9130558 50.2600996)",,,,,
25675418,Place Reine Astrid,primary,True,False,25.708999999999996,N95A,"LINESTRING (4.9124853 50.2607046, 4.9123596 50.2607387, 4.9122657 50.2607696, 4.9121664 50.2608121)",,,,,
650976708,Place Reine Astrid,primary,True,False,18.217,,"LINESTRING (4.9124853 50.2607046, 4.9123703 50.2606943, 4.9122892 50.2606873, 4.9122327 50.2606781)",,,,,
93916688,Place Reine Astrid,primary,False,True,10.43,N936,"LINESTRING (4.9120456 50.2608734, 4.9121196 50.2607924)",,,,,
152333652,Rue Adolphe Sax,primary,False,False,29.083,N92A,"LINESTRING (4.9120456 50.2608734, 4.9120242 50.2608983, 4.9119673 50.2609645, 4.9118343 50.2610972)",2,,,,
528098844,Rue Saint-Jacques,secondary,False,False,5.992,N936,"LINESTRING (4.9106663 50.2626247, 4.910641 50.2626761)",,,50,,
"[602935097, 77889517, 77889519]","['Rue Petite', 'Rue Sous-Les-Roches', 'Rue Victor Collard']",residential,True,False,225.13500000000002,,"LINESTRING (4.9106663 50.2626247, 4.9107396 50.2625656, 4.9108824 50.2623479, 4.9110454 50.2620968, 4.9110968 50.2620192, 4.9111554 50.2619435, 4.9112072 50.261925, 4.9112741 50.2618969, 4.9114073 50.2618467, 4.9116567 50.2617113, 4.9118949 50.2615747, 4.9120084 50.2615093, 4.9121344 50.2613996, 4.91217 50.2613199, 4.9122017 50.261247, 4.9118343 50.2610972)",,,,,
77889515,Rue Saint-Jacques,secondary,False,False,4.88,N936,"LINESTRING (4.910641 50.2626761, 4.9106131 50.2627162)",,,50,,
528098844,Rue Saint-Jacques,secondary,False,True,5.992,N936,"LINESTRING (4.910641 50.2626761, 4.9106663 50.2626247)",,,50,,
77889515,Rue Saint-Jacques,secondary,False,True,4.88,N936,"LINESTRING (4.9106131 50.2627162, 4.910641 50.2626761)",,,50,,
93756631,Rue Petite,residential,True,False,47.181,,"LINESTRING (4.9106131 50.2627162, 4.9105512 50.2627909, 4.9102599 50.2630751)",,,,,
528098846,Rue Saint-Jacques,secondary,True,False,41.355000000000004,N936,"LINESTRING (4.9106131 50.2627162, 4.9105129 50.2626879, 4.9102298 50.26259, 4.9100975 50.2625443)",,,50,,
235284131,,secondary,False,False,5.882,N92A,"LINESTRING (4.9100975 50.2625443, 4.9101448 50.2625009)",,,,,
234261981,Rue Adolphe Sax,residential,True,False,47.087999999999994,N92A,"LINESTRING (4.9100975 50.2625443, 4.9100234 50.2626166, 4.9098354 50.2627917, 4.9097786 50.2628235, 4.9097184 50.2628895)",,,,,
235284131,,secondary,False,True,5.882,N92A,"LINESTRING (4.9101448 50.2625009, 4.9100975 50.2625443)",,,,,
