osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width
"[295078800, 295078817, 477913236]",True,"['2', '3']",N72,Kasteletsingel,primary,False,296.3,"LINESTRING (5.2187098 51.0478233, 5.2187161 51.0478568, 5.218715 51.0479351, 5.2187052 51.0480651, 5.2186269 51.0483151, 5.2185059 51.0486437, 5.2182976 51.0492825, 5.2182324 51.049488, 5.2181997 51.049591, 5.2181722 51.0497985, 5.2181558 51.0499399, 5.2181221 51.0502234, 5.2181187 51.0502542, 5.2181148 51.050289, 5.2180968 51.0504523)",,
637739846,False,,,Brugstraat,residential,True,92.693,"LINESTRING (5.2187098 51.0478233, 5.2187986 51.0478189, 5.21888 51.0478253, 5.2189811 51.0478418, 5.2199752 51.0480551)",30,4
36987191,False,,N72a,Hasseltsesteenweg,tertiary,True,110.036,"LINESTRING (5.2260692 51.0467244, 5.2261013 51.0466846, 5.2261474 51.0466275, 5.2264859 51.0461714, 5.2267469 51.0458313)",50,
36987744,False,,,Hasseltsesteenweg,residential,False,129.64100000000002,"LINESTRING (5.2260692 51.0467244, 5.2260465 51.0467555, 5.2256054 51.0473596, 5.22548 51.0474756, 5.2254088 51.047563, 5.2253457 51.0476508, 5.2253299 51.0476905, 5.2253299 51.0477252, 5.2253366 51.0477528, 5.2253486 51.0477804)",30,
36987745,False,,,Pieter Bruegelstraat,tertiary,False,135.318,"LINESTRING (5.2260692 51.0467244, 5.2262803 51.0467774, 5.2264715 51.0468515, 5.2266001 51.0469103, 5.2274014 51.0473586, 5.2275562 51.0474506, 5.2275768 51.0474715)",50,
"[36987746, 71222710]",False,,N29,"['Scheigoorstraat', 'Rozenlaan']",tertiary,True,107.49600000000001,"LINESTRING (5.2260692 51.0467244, 5.2259009 51.0466833, 5.2256643 51.0466269, 5.2253007 51.046521, 5.2248775 51.0463994, 5.2247755 51.0463735, 5.2247168 51.0463684, 5.224649 51.0463758)",50,
36987744,False,,,Hasseltsesteenweg,residential,True,129.64100000000002,"LINESTRING (5.2253486 51.0477804, 5.2253366 51.0477528, 5.2253299 51.0477252, 5.2253299 51.0476905, 5.2253457 51.0476508, 5.2254088 51.047563, 5.22548 51.0474756, 5.2256054 51.0473596, 5.2260465 51.0467555, 5.2260692 51.0467244)",30,
53004385,True,,,Koerselsesteenweg,residential,False,110.228,"LINESTRING (5.2253486 51.0477804, 5.2253819 51.0478184, 5.2254339 51.0478581, 5.2254855 51.0478838, 5.2255452 51.0479021, 5.2257322 51.0479488, 5.2259317 51.0479972, 5.226005 51.0480147, 5.2261147 51.0480507, 5.2262266 51.0481036, 5.22624 51.0481126, 5.2262976 51.0481513, 5.226373 51.0482144, 5.2264741 51.0483351, 5.2265038 51.0483886)",30,
1043408657,True,,,,living_street,False,102.60099999999998,"LINESTRING (5.2253486 51.0477804, 5.2251879 51.0478548, 5.2251338 51.0478799, 5.2250691 51.0479008, 5.2249037 51.0479272, 5.2248349 51.0479382, 5.2246041 51.047975, 5.2244347 51.0480021, 5.2242518 51.0482151, 5.2241685 51.0482341)",,
"[225497018, 225497034]",True,,,"['Hoogstraat', 'Markt']",residential,False,71.17599999999999,"LINESTRING (5.2241685 51.0482341, 5.2241328 51.0482052, 5.2240876 51.0481775, 5.2240338 51.0481422, 5.223966 51.0481086, 5.2238895 51.0480764, 5.2238178 51.0480567, 5.2237832 51.0480472, 5.2235778 51.0479975, 5.2233708 51.0479508, 5.2232868 51.0479441)",30,
39153013,False,,,Koolmijnlaan,tertiary,False,23.598,"LINESTRING (5.2236271 51.0507529, 5.2235525 51.0507842, 5.223503 51.0508211, 5.2234686 51.0508542, 5.2234472 51.0509209)",50,
53004384,False,,,Geiteling,tertiary,True,224.37800000000001,"LINESTRING (5.2236271 51.0507529, 5.2237272 51.0507373, 5.2238021 51.0507459, 5.2239134 51.0507765, 5.224213 51.0509617, 5.2245283 51.0511465, 5.224644 51.0512029, 5.2247557 51.051248, 5.224869 51.0512893, 5.2250119 51.0513323, 5.2251784 51.0513711, 5.2263263 51.0516225, 5.2264167 51.0516433)",50,
225497008,False,,,Koolmijnlaan,residential,True,36.407,"LINESTRING (5.2236271 51.0507529, 5.2235918 51.0506901, 5.2235684 51.0506483, 5.2235491 51.0506015, 5.2235375 51.0505188, 5.2235165 51.0504347)",30,
"[71222710, 225497046]",False,,N29,"['Paalsesteenweg', 'Rozenlaan']",tertiary,False,202.042,"LINESTRING (5.2231859 51.0474696, 5.223481 51.0475992, 5.2235248 51.0476154, 5.2235576 51.0476245, 5.2235869 51.0476297, 5.2236271 51.0476338, 5.2236674 51.0476343, 5.2237017 51.0476327, 5.2237428 51.0476274, 5.2237826 51.0476184, 5.2238204 51.0476078, 5.2238535 51.0475957, 5.2238856 51.0475778, 5.2239098 51.0475618, 5.2239363 51.0475398, 5.2239781 51.0474787, 5.2244932 51.046486, 5.2245145 51.0464504, 5.2245435 51.0464195, 5.2245861 51.0463953, 5.224649 51.0463758)",50,
428388247,True,,N29,Paalsesteenweg,tertiary,False,22.662,"LINESTRING (5.2231859 51.0474696, 5.223113 51.0474566, 5.2229011 51.0473751)",50,
167621377,False,,,Ward Schoutedenstraat,tertiary,False,42.483000000000004,"LINESTRING (5.2278074 51.0513123, 5.227584 51.0515206, 5.2274579 51.0516247)",50,
167621380,False,,,Violetstraat,residential,True,198.846,"LINESTRING (5.2278074 51.0513123, 5.2263165 51.0505614, 5.2261305 51.0505035, 5.2254445 51.0503527)",50,
