osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge,junction,access,tunnel
244164485,2,Rue des Dominicains,residential,False,False,44.227000000000004,"LINESTRING (5.570023 50.6429806, 5.5699174 50.6430784, 5.5696687 50.6433088)",,,,,,
244164487,,Rue de l'Université,residential,True,False,130.86,"LINESTRING (5.5735814 50.6420434, 5.5736406 50.641991, 5.5740986 50.6415568, 5.5743759 50.6412939, 5.5745197 50.6411641, 5.5746285 50.641072)",30,,,,,
150887064,,Rue de l'Etuve,residential,True,False,116.382,"LINESTRING (5.5744542 50.6424154, 5.5744272 50.6422947, 5.5751236 50.6415546, 5.5751579 50.6414956)",,,,,,
244164486,1,Rue de la Cathédrale,residential,True,False,74.15599999999999,"LINESTRING (5.5744542 50.6424154, 5.5742802 50.642343, 5.5736636 50.6420794, 5.5735814 50.6420434)",,,,,,
281936236,1,Rue de la Régence,residential,True,False,57.312,"LINESTRING (5.5744542 50.6424154, 5.5743141 50.642462, 5.5737389 50.6426601)",30,,,,,
40028206,,Rue Souverain Pont,residential,True,False,70.912,"LINESTRING (5.5760472 50.6430914, 5.5759841 50.6431285, 5.5758314 50.6432296, 5.5755297 50.6434903, 5.5754024 50.6435788)",,,,,,
244164486,1,Rue de la Cathédrale,residential,True,False,72.17800000000001,"LINESTRING (5.5760472 50.6430914, 5.5759824 50.6430639, 5.5751965 50.6427304)",,,,,,
8106844,1,Rue de la Cathédrale,residential,True,False,47.472,"LINESTRING (5.5765169 50.6434243, 5.5764622 50.6433781, 5.5762733 50.6432318, 5.5761485 50.6431392, 5.5760867 50.6430961)",,,,,,
8106844,1,Rue de la Cathédrale,residential,True,False,28.778,"LINESTRING (5.576944 50.6437117, 5.5768899 50.6436768, 5.5766578 50.6435272)",,,,,,
37341970,1,Rue Nagelmackers,residential,True,False,76.178,"LINESTRING (5.576944 50.6437117, 5.5769899 50.6436848, 5.5775771 50.6433502, 5.5777872 50.6432934)",,,,,,
8106844,1,Rue de la Cathédrale,residential,True,False,46.407000000000004,"LINESTRING (5.5773568 50.6440361, 5.5772684 50.6439794, 5.5769931 50.6437524, 5.576944 50.6437117)",,,,,,
74543533,2,Rue Léopold,primary,False,True,33.841,"LINESTRING (5.5773568 50.6440361, 5.5772113 50.6440832, 5.5769292 50.6441743)",50,N3,,,,
"[1245659746, 635310119, 8063762, 131406518, 1000889341]",3,"['Pont des Arches', 'Rue Léopold']",primary,False,False,180.511,"LINESTRING (5.5773568 50.6440361, 5.5774892 50.6439934, 5.5779729 50.6438288, 5.5780051 50.6438175, 5.5780326 50.6438087, 5.5794407 50.6433641, 5.5794729 50.6433538, 5.579518 50.6433393, 5.5795967 50.6433168, 5.5796405 50.643303)",50,N3,yes,,,
"[30179313, 1230580820]",1,Rue Florimont,residential,True,False,118.14700000000002,"LINESTRING (5.5754062 50.6420635, 5.575463 50.6421223, 5.5758719 50.6425848, 5.5760608 50.6427209, 5.5761035 50.6427517, 5.5763763 50.6429195)",,,,,,
281936236,1,Rue de la Régence,residential,True,False,77.711,"LINESTRING (5.5754062 50.6420635, 5.5752273 50.6421254, 5.5745932 50.6423619, 5.5744542 50.6424154)",30,,,,,
"[1215959922, 39544589]",,Place Cockerill,tertiary,True,False,78.195,"LINESTRING (5.5761619 50.6417884, 5.5759406 50.6417345, 5.5757321 50.6416807, 5.5755189 50.6416257, 5.5753316 50.6415704, 5.5751579 50.6414956)",50,,,,,
281936236,1,Rue de la Régence,residential,True,False,61.446,"LINESTRING (5.5761619 50.6417884, 5.5759452 50.6418665, 5.5757251 50.6419454, 5.5754062 50.6420635)",30,,,,,
8039272,,Rue de l'Université,residential,True,False,139.07899999999998,"LINESTRING (5.5725009 50.643088, 5.5725461 50.6430186, 5.5727316 50.6428432, 5.572742 50.6428335, 5.5729987 50.6426002, 5.5731167 50.6424854, 5.5735274 50.6420935, 5.5735814 50.6420434)",30,,,,,
30480125,2,Place du Vingt Août,residential,True,False,30.704,"LINESTRING (5.5746285 50.641072, 5.5748012 50.6409449, 5.5749095 50.6408611)",50,,,,,
"[106432802, 839382356]",3,Rue Charles Magnette,residential,False,True,100.06300000000002,"LINESTRING (5.5746285 50.641072, 5.5745377 50.6410325, 5.5742401 50.6409832, 5.5741916 50.6409752, 5.5740708 50.6409552, 5.5736976 50.6408934, 5.5732713 50.6408228)",,,,,,
