osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,access
6184749,2,Schoolstraat,tertiary,50,False,False,94.304,"LINESTRING (4.5815637 51.2359342, 4.5815171 51.2360021, 4.5814866 51.2360464, 4.5809101 51.2365586, 4.5808187 51.2366398)",,,
6184749,2,Schoolstraat,tertiary,50,False,True,143.66899999999998,"LINESTRING (4.5815637 51.2359342, 4.5815929 51.2358703, 4.5816153 51.2358214, 4.5816759 51.2354992, 4.581732 51.2351573, 4.5817987 51.2347501, 4.5818263 51.2346544)",,,
35475954,2,Petrus Bogaertslaan,residential,50,False,True,166.982,"LINESTRING (4.5815637 51.2359342, 4.5814302 51.2358989, 4.5813673 51.2358823, 4.5800124 51.2355539, 4.579717 51.2355165, 4.5792918 51.2354723)",,,
991565679,,Petrus Bogaertslaan,residential,30,False,False,141.749,"LINESTRING (4.5815637 51.2359342, 4.5816948 51.2359863, 4.5829873 51.2365, 4.5833073 51.2365885)",,,
"[297789039, 297789038, 22091855]","['2', '4', '3']",Turnhoutsebaan,primary,50,False,False,106.686,"LINESTRING (4.5791865 51.238984, 4.5794215 51.2390584, 4.5795356 51.239096, 4.5797747 51.2391872, 4.5798508 51.2392145, 4.5800364 51.2392988, 4.5803979 51.2394692, 4.5804707 51.2395031)",N12,,
"[297789043, 277137277]","['2', '4']",Turnhoutsebaan,primary,50,False,True,173.706,"LINESTRING (4.5791865 51.238984, 4.5788426 51.2388803, 4.5786379 51.2388175, 4.5784626 51.2387674, 4.5777224 51.2385436, 4.5774719 51.2384717, 4.5769265 51.2383224)",N12,,
"[319184441, 545972907, 6184749, 319184439]","['2', '3']",Schoolstraat,tertiary,50,False,True,176.71599999999998,"LINESTRING (4.5791865 51.238984, 4.5792192 51.2388433, 4.5792503 51.2386866, 4.5792988 51.2385985, 4.5793998 51.2383849, 4.579527 51.2381847, 4.5795797 51.2380999, 4.5796221 51.2380319, 4.5796645 51.2379666, 4.579938 51.2375943, 4.5799538 51.2375728, 4.5800137 51.2374912)",,,
"[147553473, 545972908, 960851110]","['2', '3']",Brasschaatsebaan,secondary,50,False,False,93.243,"LINESTRING (4.5791865 51.238984, 4.5790299 51.2391084, 4.5789789 51.2391482, 4.5788052 51.2392855, 4.5785713 51.2394731, 4.5785433 51.2394964, 4.5783727 51.2396497)",N121,,
129429243,2,Hendrik Consciencestraat,residential,50,False,True,193.843,"LINESTRING (4.5753692 51.2378658, 4.5766824 51.2363286)",,,
277137277,2,Turnhoutsebaan,primary,50,False,False,119.716,"LINESTRING (4.5753692 51.2378658, 4.5755391 51.2379148, 4.5769265 51.2383224)",N12,,
"[32937281, 1055717503]",2,Kerkelei,residential,30,False,True,262.892,"LINESTRING (4.5826841 51.2405975, 4.5827073 51.240521, 4.5827327 51.2404528, 4.5827646 51.2403734, 4.5828415 51.2401747, 4.5835318 51.2383815, 4.5835638 51.2382984)",,,
297789038,2,Turnhoutsebaan,primary,50,False,False,44.95,"LINESTRING (4.5826841 51.2405975, 4.5829239 51.2406878, 4.5832373 51.240806)",N12,,
